SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"8,661",Masked,"8,082","7,248","3,424",>95%,93%,47%
Unknown,Unknown,Unknown,Maori,5-11,"1,553",455,162,NA,NA,29%,10%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,314",Masked,Masked,"3,312","1,662",>95%,>95%,50%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,351,133,43,NA,NA,38%,12%,NA
100100,North Cape,Northland,Maori,12+,857,761,744,670,412,89%,87%,61%
100100,North Cape,Northland,Maori,5-11,160,42,13,NA,NA,26%,8%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,034",887,852,765,392,86%,82%,51%
100200,Rangaunu Harbour,Northland,Maori,5-11,191,34,11,NA,NA,18%,6%,NA
100400,Karikari Peninsula,Northland,Maori,12+,530,447,432,397,206,84%,82%,52%
100400,Karikari Peninsula,Northland,Maori,5-11,86,20,Masked,NA,NA,23%,6%,NA
100500,Tangonge,Northland,Maori,12+,552,479,469,419,228,87%,85%,54%
100500,Tangonge,Northland,Maori,5-11,94,19,Masked,NA,NA,20%,<5%,NA
100600,Ahipara,Northland,Maori,12+,580,489,472,435,255,84%,81%,59%
100600,Ahipara,Northland,Maori,5-11,108,36,9,NA,NA,33%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,321","1,167","1,100",967,449,88%,83%,46%
100700,Kaitaia East,Northland,Maori,5-11,292,85,21,NA,NA,29%,7%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,55,Masked,Masked,54,27,>95%,>95%,50%
100800,Kaitaia West,Northland,Maori,12+,"1,842","1,608","1,518","1,312",607,87%,82%,46%
100800,Kaitaia West,Northland,Maori,5-11,401,79,28,NA,NA,20%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,98,90,88,79,38,92%,90%,48%
100900,Rangitihi,Northland,Maori,12+,387,330,317,276,137,85%,82%,50%
100900,Rangitihi,Northland,Maori,5-11,58,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,312,256,243,221,106,82%,78%,48%
101000,Oruru-Parapara,Northland,Maori,5-11,64,14,Masked,NA,NA,22%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,577,510,485,435,240,88%,84%,55%
101100,Taumarumaru,Northland,Maori,5-11,143,31,8,NA,NA,22%,6%,NA
101200,Herekino-Takahue,Northland,Maori,12+,430,353,333,297,153,82%,77%,52%
101200,Herekino-Takahue,Northland,Maori,5-11,83,25,Masked,NA,NA,30%,<5%,NA
101300,Peria,Northland,Maori,12+,329,257,245,220,104,78%,74%,47%
101300,Peria,Northland,Maori,5-11,83,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,305,241,227,201,103,79%,74%,51%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,72,21,Masked,NA,NA,29%,6%,NA
101500,Whakapaku,Northland,Maori,12+,264,212,199,180,99,80%,75%,55%
101500,Whakapaku,Northland,Maori,5-11,58,18,Masked,NA,NA,31%,5%,NA
101600,Hokianga North,Northland,Maori,12+,674,566,549,498,327,84%,81%,66%
101600,Hokianga North,Northland,Maori,5-11,133,35,6,NA,NA,26%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,369,296,290,261,164,80%,79%,63%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,48,11,Masked,NA,NA,23%,<5%,NA
101800,Whakarara,Northland,Maori,12+,549,482,465,426,269,88%,85%,63%
101800,Whakarara,Northland,Maori,5-11,75,32,16,NA,NA,43%,21%,NA
101900,Kaeo,Northland,Maori,12+,460,371,350,320,185,81%,76%,58%
101900,Kaeo,Northland,Maori,5-11,107,35,15,NA,NA,33%,14%,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,646,468,437,399,218,72%,68%,55%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,124,13,Masked,NA,NA,10%,<5%,NA
102100,Hokianga South,Northland,Maori,12+,709,541,512,463,273,76%,72%,59%
102100,Hokianga South,Northland,Maori,5-11,114,26,6,NA,NA,23%,5%,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,251,212,203,174,88,84%,81%,51%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,54,19,Masked,NA,NA,35%,<5%,NA
