Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,276164,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,239413,Maori
Pfizer BioNTech COVID-19,2,902,European or other
Pfizer BioNTech COVID-19,Third primary,361,Unknown
AstraZeneca,1,47,Unknown
AstraZeneca,Booster,98,Unknown
Pfizer BioNTech COVID-19,1,520923,Maori
Paediatric Pfizer,1,59836,Asian
Pfizer BioNTech COVID-19,2,32671,Unknown
AstraZeneca,2,247,Pacific Peoples
Paediatric Pfizer,2,640,Unknown
AstraZeneca,2,2700,European or other
Novavax,Booster,31,Asian
Pfizer BioNTech COVID-19,2,503987,Maori
Pfizer BioNTech COVID-19,Booster,432163,Asian
Pfizer BioNTech COVID-19,2,39,Maori
Paediatric Pfizer,1,23982,Pacific Peoples
Paediatric Pfizer,2,70432,European or other
Novavax,1,1481,European or other
AstraZeneca,2,351,Maori
AstraZeneca,Booster,102,Maori
Novavax,Third primary,23,European or other
Novavax,1,22,Unknown
AstraZeneca,Booster,1293,European or other
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,1,2559864,European or other
Pfizer BioNTech COVID-19,Booster,143031,Pacific Peoples
Paediatric Pfizer,1,136752,European or other
AstraZeneca,1,2573,European or other
Novavax,2,1262,European or other
AstraZeneca,1,366,Maori
Pfizer BioNTech COVID-19,2,7,Unknown
Novavax,Booster,5,Unknown
Novavax,2,18,Unknown
Pfizer BioNTech COVID-19,2,272197,Pacific Peoples
AstraZeneca,2,230,Asian
Novavax,1,151,Maori
Pfizer BioNTech COVID-19,2,75,Asian
AstraZeneca,1,107,Pacific Peoples
Novavax,2,30,Pacific Peoples
Paediatric Pfizer,Third primary,5,Maori
Pfizer BioNTech COVID-19,2,2536291,European or other
Paediatric Pfizer,2,32567,Asian
Pfizer BioNTech COVID-19,Booster,26670,Unknown
Paediatric Pfizer,2,14795,Maori
Pfizer BioNTech COVID-19,Third primary,2429,Maori
AstraZeneca,1,217,Asian
Pfizer BioNTech COVID-19,Third primary,2000,Asian
Paediatric Pfizer,Third primary,8,Asian
AstraZeneca,Booster,252,Asian
AstraZeneca,Third primary,5,Asian
Novavax,Third primary,5,Asian
Pfizer BioNTech COVID-19,1,631969,Asian
Pfizer BioNTech COVID-19,2,628343,Asian
Pfizer BioNTech COVID-19,Third primary,26423,European or other
AstraZeneca,Booster,98,Pacific Peoples
Paediatric Pfizer,2,7848,Pacific Peoples
AstraZeneca,2,91,Unknown
Paediatric Pfizer,Third primary,32,European or other
Novavax,1,343,Asian
Novavax,2,289,Asian
Novavax,1,41,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,1820592,European or other
Paediatric Pfizer,1,41528,Maori
Pfizer BioNTech COVID-19,1,33513,Unknown
Paediatric Pfizer,1,1167,Unknown
Novavax,Booster,203,European or other
Pfizer BioNTech COVID-19,Third primary,1155,Pacific Peoples
Novavax,2,112,Maori
Pfizer BioNTech COVID-19,2,15,Pacific Peoples
AstraZeneca,Third primary,23,European or other
Novavax,Booster,14,Maori
