Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,165,65520,NA
2021-02-28,4491,6711,141570,NA
2021-03-07,14420,15618,207090,NA
2021-03-14,21715,23161,271440,NA
2021-03-21,35595,36605,325260,NA
2021-03-28,56290,56347,396630,NA
2021-04-04,84595,84930,450450,NA
2021-04-11,117992,121487,528840,NA
2021-04-18,164107,171214,607230,NA
2021-04-25,216158,226769,685620,NA
2021-05-02,273749,284923,685620,NA
2021-05-09,338813,366596,746460,NA
2021-05-16,414824,451340,807300,NA
2021-05-23,493606,535474,868140,NA
2021-05-30,581932,637559,928980,NA
2021-06-06,680290,751337,1055790,NA
2021-06-13,793013,854179,1103760,NA
2021-06-20,909422,982488,1252900,NA
2021-06-27,1033848,1115597,1302040,NA
2021-07-04,1161952,1238037,1351180,1161952
2021-07-11,1289999,1367539,1502110,1369338
2021-07-18,1425371,1503616,1682290,1576724
2021-07-25,1633071,1692920,2032290,1750577
2021-08-01,1887555,1947690,2411370,2063064
2021-08-08,2164231,2212907,2769390,2375551
2021-08-15,2451622,2513127,3157830,2654505
2021-08-22,2754616,2797679,3602430,2932955
2021-08-29,3056599,3350683,3985020,3226921
2021-09-05,NA,3903862,4630860,3520887
2021-09-12,NA,4336116,5228730,3814853
2021-09-19,NA,4721133,5729490,4348809
2021-09-26,NA,5054138,6150690,4882765
2021-10-03,NA,5353554,6577740,5416721
2021-10-10,NA,5838853,6800430,5950677
2021-10-17,NA,6351023,7101120,6484633
2021-10-24,NA,6629109,7801560,7018589
2021-10-31,NA,6874129,9396270,7552545
2021-11-07,NA,7062977,9396270,7707286
2021-11-14,NA,7219895,9648990,7862027
2021-11-21,NA,7361358,9956142,8016768
2021-11-28,NA,7498873,10096110,8016768
2021-12-05,NA,7741866,10252170,8016768
2021-12-12,NA,7881501,10292490,8016768
2021-12-19,NA,8007878,10818990,NA
2021-12-26,NA,8110308,10877490,NA
2022-01-02,NA,8189102,10978290,NA
