Vaccine,Dose number,Ethnic group,Number of doses administered
Pfizer BioNTech COVID-19,1,Pacific Peoples,269370
Pfizer BioNTech COVID-19,Third primary,Unknown,271
AstraZeneca,1,Unknown,55
Pfizer BioNTech COVID-19,1,Maori,499679
Pfizer BioNTech COVID-19,2,Unknown,36666
AstraZeneca,Boosters,European or other,151
Pfizer BioNTech COVID-19,Boosters,Pacific Peoples,15305
AstraZeneca,2,Pacific Peoples,116
AstraZeneca,2,European or other,787
Pfizer BioNTech COVID-19,Boosters,Asian,45521
Pfizer BioNTech COVID-19,2,Maori,461597
Pfizer BioNTech COVID-19,Boosters,Maori,27483
AstraZeneca,Boosters,Asian,24
AstraZeneca,2,Maori,78
Pfizer BioNTech COVID-19,1,European or other,2538910
Pfizer BioNTech COVID-19,Boosters,European or other,246954
AstraZeneca,1,European or other,2054
AstraZeneca,1,Maori,247
Pfizer BioNTech COVID-19,2,Pacific Peoples,258075
AstraZeneca,1,Pacific Peoples,67
AstraZeneca,2,Asian,54
AstraZeneca,Boosters,Unknown,19
Pfizer BioNTech COVID-19,2,European or other,2483250
Pfizer BioNTech COVID-19,Third primary,Maori,2215
Pfizer BioNTech COVID-19,Third primary,Asian,2174
AstraZeneca,1,Asian,173
AstraZeneca,Boosters,Maori,11
AstraZeneca,Boosters,Pacific Peoples,7
Pfizer BioNTech COVID-19,1,Asian,626002
Pfizer BioNTech COVID-19,2,Asian,617440
Pfizer BioNTech COVID-19,Third primary,European or other,23392
AstraZeneca,2,Unknown,46
Pfizer BioNTech COVID-19,1,Unknown,39365
Pfizer BioNTech COVID-19,Third primary,Pacific Peoples,1157
Pfizer BioNTech COVID-19,Boosters,Unknown,3677
AstraZeneca,Third primary,European or other,29
