DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-15,Female,3130,3019,2947,1062,1024
Auckland,Asian,12-15,Male,3277,3139,3085,1062,1018
Auckland,Asian,16-19,Female,3268,3219,2904,1125,1108
Auckland,Asian,16-19,Male,3387,3337,2826,1199,1181
Auckland,Asian,16-19,Unknown/Other,42,42,9,4667,4667
Auckland,Asian,20-24,Female,5995,5923,5122,1170,1156
Auckland,Asian,20-24,Male,6224,6115,4850,1283,1261
Auckland,Asian,20-24,Unknown/Other,77,74,12,6417,6167
Auckland,Asian,25-29,Female,7968,7900,8392,949,941
Auckland,Asian,25-29,Male,9114,9011,7740,1178,1164
Auckland,Asian,25-29,Unknown/Other,133,129,25,5320,5160
Auckland,Asian,30-34,Female,8970,8871,9316,963,952
Auckland,Asian,30-34,Male,9060,8937,8382,1081,1066
Auckland,Asian,30-34,Unknown/Other,110,106,19,5789,5579
Auckland,Asian,35-39,Female,7685,7565,8154,942,928
Auckland,Asian,35-39,Male,7743,7668,7336,1055,1045
Auckland,Asian,35-39,Unknown/Other,65,63,14,4643,4500
Auckland,Asian,40-44,Female,5711,5636,5623,1016,1002
Auckland,Asian,40-44,Male,5701,5636,5231,1090,1077
Auckland,Asian,40-44,Unknown/Other,43,41,15,2867,2733
Auckland,Asian,45-49,Female,4704,4646,4861,968,956
Auckland,Asian,45-49,Male,4265,4214,3985,1070,1057
Auckland,Asian,50-54,Female,4315,4258,4411,978,965
Auckland,Asian,50-54,Male,3425,3391,3467,988,978
Auckland,Asian,55-59,Female,3940,3889,4228,932,920
Auckland,Asian,55-59,Male,3372,3324,3468,972,958
Auckland,Asian,60-64,Female,3209,3175,3608,889,880
Auckland,Asian,60-64,Male,2693,2670,2922,922,914
Auckland,Asian,65-69,Female,2735,2706,2935,932,922
Auckland,Asian,65-69,Male,2286,2267,2584,885,877
Auckland,Asian,70-74,Female,1777,1759,1918,926,917
Auckland,Asian,70-74,Male,1644,1632,1743,943,936
Auckland,Asian,75-79,Female,1107,1099,1240,893,886
Auckland,Asian,75-79,Male,954,936,1080,883,867
Auckland,Asian,80-84,Female,817,801,943,866,849
Auckland,Asian,80-84,Male,703,696,819,858,850
Auckland,Asian,85-89,Female,407,392,441,923,889
Auckland,Asian,85-89,Male,396,383,420,943,912
Auckland,Asian,90+,Female,176,168,179,983,939
Auckland,Asian,90+,Male,109,107,126,865,849
Auckland,European or Other,12-15,Female,4928,4790,4934,999,971
Auckland,European or Other,12-15,Male,5044,4896,5110,987,958
Auckland,European or Other,12-15,Unknown/Other,7,7,5,1400,1400
Auckland,European or Other,16-19,Female,4750,4710,4912,967,959
Auckland,European or Other,16-19,Male,4666,4610,4777,977,965
Auckland,European or Other,16-19,Unknown/Other,10,9,12,833,750
Auckland,European or Other,20-24,Female,8371,8287,9005,930,920
Auckland,European or Other,20-24,Male,7695,7570,7930,970,955
Auckland,European or Other,20-24,Unknown/Other,35,34,29,1207,1172
Auckland,European or Other,25-29,Female,10251,10143,11855,865,856
Auckland,European or Other,25-29,Male,10390,10221,10769,965,949
Auckland,European or Other,25-29,Unknown/Other,47,47,23,2043,2043
Auckland,European or Other,30-34,Female,9404,9302,10714,878,868
Auckland,European or Other,30-34,Male,10263,10103,10361,991,975
Auckland,European or Other,30-34,Unknown/Other,45,44,22,2045,2000
Auckland,European or Other,35-39,Female,7599,7499,8521,892,880
Auckland,European or Other,35-39,Male,8195,8078,8574,956,942
Auckland,European or Other,35-39,Unknown/Other,17,16,15,1133,1067
Auckland,European or Other,40-44,Female,7140,7059,8032,889,879
Auckland,European or Other,40-44,Male,7438,7351,8027,927,916
Auckland,European or Other,45-49,Female,7972,7905,8961,890,882
Auckland,European or Other,45-49,Male,8117,8016,8951,907,896
Auckland,European or Other,50-54,Female,8052,7985,8362,963,955
Auckland,European or Other,50-54,Male,8533,8440,8858,963,953
Auckland,European or Other,50-54,Unknown/Other,9,9,5,1800,1800
Auckland,European or Other,55-59,Female,7440,7370,8093,919,911
Auckland,European or Other,55-59,Male,8013,7932,8644,927,918
Auckland,European or Other,60-64,Female,6700,6646,6988,959,951
Auckland,European or Other,60-64,Male,7164,7104,7440,963,955
Auckland,European or Other,65-69,Female,5664,5627,5985,946,940
Auckland,European or Other,65-69,Male,5843,5792,6084,960,952
Auckland,European or Other,70-74,Female,5122,5087,5399,949,942
Auckland,European or Other,70-74,Male,4956,4922,5182,956,950
Auckland,European or Other,75-79,Female,3771,3740,3829,985,977
Auckland,European or Other,75-79,Male,3382,3348,3442,983,973
Auckland,European or Other,80-84,Female,2884,2859,2825,1021,1012
Auckland,European or Other,80-84,Male,2323,2304,2219,1047,1038
Auckland,European or Other,85-89,Female,1820,1797,1874,971,959
Auckland,European or Other,85-89,Male,1187,1173,1257,944,933
Auckland,European or Other,90+,Female,1615,1575,1629,991,967
Auckland,European or Other,90+,Male,804,788,782,1028,1008
Auckland,Maori,12-15,Female,1086,1001,1131,960,885
Auckland,Maori,12-15,Male,1128,1060,1225,921,865
Auckland,Maori,16-19,Female,1087,1009,1162,935,868
Auckland,Maori,16-19,Male,1017,936,1120,908,836
Auckland,Maori,20-24,Female,1605,1508,1762,911,856
Auckland,Maori,20-24,Male,1524,1419,1662,917,854
Auckland,Maori,25-29,Female,1487,1402,1774,838,790
Auckland,Maori,25-29,Male,1539,1418,1611,955,880
Auckland,Maori,30-34,Female,1244,1162,1398,890,831
Auckland,Maori,30-34,Male,1209,1130,1265,956,893
Auckland,Maori,35-39,Female,985,935,1101,895,849
Auckland,Maori,35-39,Male,926,862,1003,923,859
Auckland,Maori,40-44,Female,883,827,1032,856,801
Auckland,Maori,40-44,Male,888,835,997,891,838
Auckland,Maori,45-49,Female,1018,991,1169,871,848
Auckland,Maori,45-49,Male,981,935,1053,932,888
Auckland,Maori,50-54,Female,988,959,1055,936,909
Auckland,Maori,50-54,Male,905,863,911,993,947
Auckland,Maori,55-59,Female,903,881,988,914,892
Auckland,Maori,55-59,Male,875,853,915,956,932
Auckland,Maori,60-64,Female,734,722,744,987,970
Auckland,Maori,60-64,Male,642,629,607,1058,1036
Auckland,Maori,65-69,Female,500,494,520,962,950
Auckland,Maori,65-69,Male,378,375,421,898,891
Auckland,Maori,70-74,Female,305,301,304,1003,990
Auckland,Maori,70-74,Male,275,269,261,1054,1031
Auckland,Maori,75-79,Female,150,149,158,949,943
Auckland,Maori,75-79,Male,139,136,138,1007,986
Auckland,Maori,80-84,Female,112,112,122,918,918
Auckland,Maori,80-84,Male,71,69,74,959,932
Auckland,Maori,85-89,Female,53,50,53,1000,943
Auckland,Maori,85-89,Male,25,24,27,926,889
Auckland,Maori,90+,Female,24,23,22,1091,1045
Auckland,Pacific Peoples,12-15,Female,1849,1740,1958,944,889
Auckland,Pacific Peoples,12-15,Male,1866,1754,2031,919,864
Auckland,Pacific Peoples,16-19,Female,1838,1758,2005,917,877
Auckland,Pacific Peoples,16-19,Male,1779,1652,2065,862,800
Auckland,Pacific Peoples,20-24,Female,2489,2387,2760,902,865
Auckland,Pacific Peoples,20-24,Male,2288,2125,2498,916,851
Auckland,Pacific Peoples,25-29,Female,2326,2207,2713,857,813
Auckland,Pacific Peoples,25-29,Male,2353,2182,2582,911,845
Auckland,Pacific Peoples,30-34,Female,1954,1857,2120,922,876
Auckland,Pacific Peoples,30-34,Male,1922,1794,1958,982,916
Auckland,Pacific Peoples,35-39,Female,1589,1538,1819,874,846
Auckland,Pacific Peoples,35-39,Male,1587,1499,1791,886,837
Auckland,Pacific Peoples,40-44,Female,1582,1534,1764,897,870
Auckland,Pacific Peoples,40-44,Male,1572,1511,1630,964,927
Auckland,Pacific Peoples,45-49,Female,1575,1537,1728,911,889
Auckland,Pacific Peoples,45-49,Male,1551,1497,1671,928,896
Auckland,Pacific Peoples,50-54,Female,1626,1602,1810,898,885
Auckland,Pacific Peoples,50-54,Male,1595,1559,1678,951,929
Auckland,Pacific Peoples,55-59,Female,1521,1497,1566,971,956
Auckland,Pacific Peoples,55-59,Male,1392,1362,1431,973,952
Auckland,Pacific Peoples,60-64,Female,1197,1183,1274,940,929
Auckland,Pacific Peoples,60-64,Male,1133,1124,1187,955,947
Auckland,Pacific Peoples,65-69,Female,879,865,974,902,888
Auckland,Pacific Peoples,65-69,Male,858,848,915,938,927
Auckland,Pacific Peoples,70-74,Female,661,654,666,992,982
Auckland,Pacific Peoples,70-74,Male,535,527,559,957,943
Auckland,Pacific Peoples,75-79,Female,419,409,482,869,849
Auckland,Pacific Peoples,75-79,Male,304,298,336,905,887
Auckland,Pacific Peoples,80-84,Female,311,301,326,954,923
Auckland,Pacific Peoples,80-84,Male,167,163,185,903,881
Auckland,Pacific Peoples,85-89,Female,149,142,185,805,768
Auckland,Pacific Peoples,85-89,Male,73,70,79,924,886
Auckland,Pacific Peoples,90+,Female,73,67,81,901,827
Auckland,Pacific Peoples,90+,Male,22,21,24,917,875
Auckland,Unknown,12-15,Female,160,141,22,7273,6409
Auckland,Unknown,12-15,Male,169,135,13,13000,10385
Auckland,Unknown,16-19,Female,158,149,16,9875,9312
Auckland,Unknown,16-19,Male,163,138,10,16300,13800
Auckland,Unknown,20-24,Female,321,303,24,13375,12625
Auckland,Unknown,20-24,Male,356,336,28,12714,12000
Auckland,Unknown,25-29,Female,643,620,50,12860,12400
Auckland,Unknown,25-29,Male,629,590,46,13674,12826
Auckland,Unknown,30-34,Female,552,525,48,11500,10938
Auckland,Unknown,30-34,Male,751,716,58,12948,12345
Auckland,Unknown,35-39,Female,350,322,50,7000,6440
Auckland,Unknown,35-39,Male,585,548,98,5969,5592
Auckland,Unknown,40-44,Female,245,231,50,4900,4620
Auckland,Unknown,40-44,Male,425,408,81,5247,5037
Auckland,Unknown,45-49,Female,200,192,42,4762,4571
Auckland,Unknown,45-49,Male,327,304,103,3175,2951
Auckland,Unknown,50-54,Female,146,133,40,3650,3325
Auckland,Unknown,50-54,Male,280,256,91,3077,2813
Auckland,Unknown,55-59,Female,135,128,40,3375,3200
Auckland,Unknown,55-59,Male,256,241,87,2943,2770
Auckland,Unknown,60-64,Female,137,127,39,3513,3256
Auckland,Unknown,60-64,Male,211,201,82,2573,2451
Auckland,Unknown,65-69,Female,89,85,43,2070,1977
Auckland,Unknown,65-69,Male,129,124,77,1675,1610
Auckland,Unknown,70-74,Female,63,59,44,1432,1341
Auckland,Unknown,70-74,Male,72,67,47,1532,1426
Auckland,Unknown,75-79,Female,29,26,26,1115,1000
Auckland,Unknown,75-79,Male,17,16,18,944,889
Auckland,Unknown,80-84,Female,11,10,22,500,455
Auckland,Unknown,80-84,Male,15,15,10,1500,1500
Auckland,Unknown,85-89,Female,8,7,12,667,583
Auckland,Unknown,90+,Male,5,5,5,1000,1000
Bay of Plenty,Asian,12-15,Female,426,397,380,1121,1045
Bay of Plenty,Asian,12-15,Male,473,434,421,1124,1031
Bay of Plenty,Asian,16-19,Female,352,346,289,1218,1197
Bay of Plenty,Asian,16-19,Male,406,389,305,1331,1275
Bay of Plenty,Asian,20-24,Female,452,449,353,1280,1272
Bay of Plenty,Asian,20-24,Male,1081,1041,546,1980,1907
Bay of Plenty,Asian,25-29,Female,1026,1013,948,1082,1069
Bay of Plenty,Asian,25-29,Male,1703,1654,1083,1572,1527
Bay of Plenty,Asian,30-34,Female,1336,1303,1117,1196,1167
Bay of Plenty,Asian,30-34,Male,1414,1375,1026,1378,1340
Bay of Plenty,Asian,35-39,Female,1009,986,919,1098,1073
Bay of Plenty,Asian,35-39,Male,982,955,739,1329,1292
Bay of Plenty,Asian,40-44,Female,770,752,678,1136,1109
Bay of Plenty,Asian,40-44,Male,721,712,604,1194,1179
Bay of Plenty,Asian,45-49,Female,618,610,556,1112,1097
Bay of Plenty,Asian,45-49,Male,556,549,407,1366,1349
Bay of Plenty,Asian,50-54,Female,417,414,399,1045,1038
Bay of Plenty,Asian,50-54,Male,366,362,318,1151,1138
Bay of Plenty,Asian,55-59,Female,356,348,328,1085,1061
Bay of Plenty,Asian,55-59,Male,247,245,240,1029,1021
Bay of Plenty,Asian,60-64,Female,301,299,313,962,955
Bay of Plenty,Asian,60-64,Male,182,179,206,883,869
Bay of Plenty,Asian,65-69,Female,240,238,249,964,956
Bay of Plenty,Asian,65-69,Male,199,193,192,1036,1005
Bay of Plenty,Asian,70-74,Female,159,157,157,1013,1000
Bay of Plenty,Asian,70-74,Male,123,121,132,932,917
Bay of Plenty,Asian,75-79,Female,65,62,73,890,849
Bay of Plenty,Asian,75-79,Male,67,66,63,1063,1048
Bay of Plenty,Asian,80-84,Female,43,43,45,956,956
Bay of Plenty,Asian,80-84,Male,34,34,42,810,810
Bay of Plenty,Asian,85-89,Female,11,11,9,1222,1222
Bay of Plenty,Asian,85-89,Male,13,13,14,929,929
Bay of Plenty,Asian,90+,Male,5,0,5,1000,800
Bay of Plenty,European or Other,12-15,Female,3398,3164,3739,909,846
Bay of Plenty,European or Other,12-15,Male,3593,3323,3990,901,833
Bay of Plenty,European or Other,16-19,Female,3030,2911,3257,930,894
Bay of Plenty,European or Other,16-19,Male,3244,3056,3453,939,885
Bay of Plenty,European or Other,20-24,Female,3179,3075,3592,885,856
Bay of Plenty,European or Other,20-24,Male,3371,3193,3718,907,859
Bay of Plenty,European or Other,25-29,Female,3882,3725,4548,854,819
Bay of Plenty,European or Other,25-29,Male,3683,3483,4018,917,867
Bay of Plenty,European or Other,25-29,Unknown/Other,10,10,8,1250,1250
Bay of Plenty,European or Other,30-34,Female,4698,4500,5173,908,870
Bay of Plenty,European or Other,30-34,Male,4210,3982,4364,965,912
Bay of Plenty,European or Other,35-39,Female,4573,4389,4998,915,878
Bay of Plenty,European or Other,35-39,Male,4114,3936,4396,936,895
Bay of Plenty,European or Other,40-44,Female,4350,4220,4905,887,860
Bay of Plenty,European or Other,40-44,Male,4044,3883,4551,889,853
Bay of Plenty,European or Other,45-49,Female,5042,4914,6005,840,818
Bay of Plenty,European or Other,45-49,Male,4775,4626,5473,872,845
Bay of Plenty,European or Other,50-54,Female,5705,5602,6249,913,896
Bay of Plenty,European or Other,50-54,Male,5179,5057,5645,917,896
Bay of Plenty,European or Other,55-59,Female,5916,5824,6542,904,890
Bay of Plenty,European or Other,55-59,Male,5589,5477,6142,910,892
Bay of Plenty,European or Other,60-64,Female,6158,6067,6497,948,934
Bay of Plenty,European or Other,60-64,Male,5623,5537,6024,933,919
Bay of Plenty,European or Other,65-69,Female,6026,5964,6364,947,937
Bay of Plenty,European or Other,65-69,Male,5610,5548,5918,948,937
Bay of Plenty,European or Other,70-74,Female,5886,5838,6119,962,954
Bay of Plenty,European or Other,70-74,Male,5518,5474,5809,950,942
Bay of Plenty,European or Other,75-79,Female,4548,4501,4782,951,941
Bay of Plenty,European or Other,75-79,Male,4123,4099,4228,975,969
Bay of Plenty,European or Other,80-84,Female,3356,3330,3210,1045,1037
Bay of Plenty,European or Other,80-84,Male,2938,2914,2866,1025,1017
Bay of Plenty,European or Other,85-89,Female,1881,1849,1980,950,934
Bay of Plenty,European or Other,85-89,Male,1451,1432,1477,982,970
Bay of Plenty,European or Other,90+,Female,1249,1222,1302,959,939
Bay of Plenty,European or Other,90+,Male,764,744,724,1055,1028
Bay of Plenty,Maori,12-15,Female,1947,1671,2540,767,658
Bay of Plenty,Maori,12-15,Male,1996,1693,2634,758,643
Bay of Plenty,Maori,16-19,Female,1842,1619,2146,858,754
Bay of Plenty,Maori,16-19,Male,1809,1518,2199,823,690
Bay of Plenty,Maori,20-24,Female,1848,1589,2469,748,644
Bay of Plenty,Maori,20-24,Male,1872,1583,2356,795,672
Bay of Plenty,Maori,25-29,Female,1794,1567,2388,751,656
Bay of Plenty,Maori,25-29,Male,1667,1418,2195,759,646
Bay of Plenty,Maori,30-34,Female,1669,1486,2116,789,702
Bay of Plenty,Maori,30-34,Male,1528,1315,1894,807,694
Bay of Plenty,Maori,35-39,Female,1560,1420,1916,814,741
Bay of Plenty,Maori,35-39,Male,1355,1186,1674,809,708
Bay of Plenty,Maori,40-44,Female,1560,1444,1834,851,787
Bay of Plenty,Maori,40-44,Male,1354,1226,1639,826,748
