Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,424",Masked,Masked,"21,563","14,912",>95%,>95%,69%
Ashburton District,5-11,"3,207","1,625",Masked,NA,NA,51%,<5%,NA
Auckland,12+,"1,383,806",Masked,Masked,"1,134,146","733,901",>95%,>95%,65%
Auckland,5-11,"163,783","89,990","1,336",NA,NA,55%,<5%,NA
Buller District,12+,"8,272","7,755","7,593","5,930","4,319",94%,92%,73%
Buller District,5-11,719,237,0,NA,NA,33%,<5%,NA
Carterton District,12+,"8,259",Masked,Masked,"6,466","4,811",>95%,>95%,74%
Carterton District,5-11,834,418,Masked,NA,NA,50%,<5%,NA
Central Hawke's Bay District,12+,"11,838",Masked,Masked,"9,128","6,173",>95%,>95%,68%
Central Hawke's Bay District,5-11,"1,483",579,Masked,NA,NA,39%,<5%,NA
Central Otago District,12+,"19,636",Masked,Masked,"16,413","12,279",>95%,>95%,75%
Central Otago District,5-11,"1,828",983,Masked,NA,NA,54%,<5%,NA
Chatham Islands Territory,12+,180,Masked,Masked,227,160,>95%,>95%,70%
Chatham Islands Territory,5-11,10,7,0,NA,NA,70%,<5%,NA
Christchurch City,12+,"322,365",Masked,Masked,"262,708","181,382",>95%,>95%,69%
Christchurch City,5-11,"31,521","16,652",64,NA,NA,53%,<5%,NA
Clutha District,12+,"14,979",Masked,"14,043","11,129","7,547",>95%,94%,68%
Clutha District,5-11,"1,658",651,Masked,NA,NA,39%,<5%,NA
Dunedin City,12+,"110,495",Masked,Masked,"91,806","71,451",>95%,>95%,78%
Dunedin City,5-11,"9,731","6,004",20,NA,NA,62%,<5%,NA
Far North District,12+,"56,422","50,431","48,671","37,671","24,291",89%,86%,64%
Far North District,5-11,"7,092","1,591",Masked,NA,NA,22%,<5%,NA
Gisborne District,12+,"40,638","38,453","37,342","27,920","18,631",95%,92%,67%
Gisborne District,5-11,"5,499","2,133",19,NA,NA,39%,<5%,NA
Gore District,12+,"10,754","10,084","9,904","7,886","5,661",94%,92%,72%
Gore District,5-11,"1,139",343,0,NA,NA,30%,<5%,NA
Grey District,12+,"11,412","10,805","10,557","8,285","5,944",95%,93%,72%
Grey District,5-11,"1,238",485,Masked,NA,NA,39%,<5%,NA
Hamilton City,12+,"137,530",Masked,Masked,"109,430","69,644",>95%,>95%,64%
Hamilton City,5-11,"17,180","8,383",63,NA,NA,49%,<5%,NA
Hastings District,12+,"69,386",Masked,Masked,"52,647","36,076",>95%,>95%,69%
Hastings District,5-11,"8,940","3,429",22,NA,NA,38%,<5%,NA
Hauraki District,12+,"17,324","15,828","15,472","12,370","8,039",91%,89%,65%
Hauraki District,5-11,"1,786",537,0,NA,NA,30%,<5%,NA
Horowhenua District,12+,"28,824",Masked,"27,157","21,559","15,572",>95%,94%,72%
Horowhenua District,5-11,"3,103","1,178",7,NA,NA,38%,<5%,NA
Hurunui District,12+,"10,818",Masked,"10,208","8,335","5,539",>95%,94%,66%
Hurunui District,5-11,"1,179",510,Masked,NA,NA,43%,<5%,NA
Invercargill City,12+,"45,988",Masked,"43,473","34,508","24,639",>95%,95%,71%
Invercargill City,5-11,"5,144","2,197",7,NA,NA,43%,<5%,NA
Kaikoura District,12+,"3,473","3,195","3,153","2,648","1,972",92%,91%,74%
Kaikoura District,5-11,315,128,0,NA,NA,41%,<5%,NA
Kaipara District,12+,"20,198","18,050","17,511","14,136","9,145",89%,87%,65%
Kaipara District,5-11,"2,230",592,Masked,NA,NA,27%,<5%,NA
Kapiti Coast District,12+,"47,238",Masked,Masked,"37,868","29,302",>95%,>95%,77%
Kapiti Coast District,5-11,"4,659","2,323",11,NA,NA,50%,<5%,NA
Kawerau District,12+,"6,115","5,515","5,279","3,687","2,379",90%,86%,65%
Kawerau District,5-11,854,141,Masked,NA,NA,17%,<5%,NA
Lower Hutt City,12+,"90,426",Masked,Masked,"70,886","50,753",>95%,>95%,72%
Lower Hutt City,5-11,"10,445","6,005",17,NA,NA,57%,<5%,NA
Mackenzie District,12+,"4,141","3,908","3,855","3,136","2,002",94%,93%,64%
Mackenzie District,5-11,391,162,0,NA,NA,41%,<5%,NA
Manawatu District,12+,"25,555",Masked,Masked,"19,665","13,694",>95%,>95%,70%
Manawatu District,5-11,"3,185","1,389",Masked,NA,NA,44%,<5%,NA
Marlborough District,12+,"41,136",Masked,Masked,"33,409","25,382",>95%,>95%,76%
Marlborough District,5-11,"4,156","2,099",31,NA,NA,51%,<5%,NA
Masterton District,12+,"22,673",Masked,Masked,"17,069","12,355",>95%,>95%,72%
Masterton District,5-11,"2,400",992,12,NA,NA,41%,<5%,NA
Matamata-Piako District,12+,"29,220",Masked,"27,408","22,148","13,778",>95%,94%,62%
Matamata-Piako District,5-11,"3,307","1,189",9,NA,NA,36%,<5%,NA
Napier City,12+,"54,392",Masked,"51,489","41,082","28,926",>95%,95%,70%
Napier City,5-11,"6,159","2,533",16,NA,NA,41%,<5%,NA
Nelson City,12+,"44,843",Masked,Masked,"34,997","26,453",>95%,>95%,76%
Nelson City,5-11,"4,456","2,483",28,NA,NA,56%,<5%,NA
New Plymouth District,12+,"68,211",Masked,"64,696","51,365","33,896",>95%,95%,66%
New Plymouth District,5-11,"8,378","3,530",7,NA,NA,42%,<5%,NA
Opotiki District,12+,"7,289","6,718","6,389","4,839","3,058",92%,88%,63%
Opotiki District,5-11,977,182,Masked,NA,NA,19%,<5%,NA
Otorohanga District,12+,"7,960","7,357","7,179","5,537","3,188",92%,90%,58%
Otorohanga District,5-11,"1,086",303,Masked,NA,NA,28%,<5%,NA
Palmerston North City,12+,"70,542",Masked,Masked,"55,763","39,131",>95%,>95%,70%
Palmerston North City,5-11,"8,374","4,163",11,NA,NA,50%,<5%,NA
Porirua City,12+,"47,711",Masked,Masked,"36,220","25,483",>95%,>95%,70%
Porirua City,5-11,"6,751","3,436",27,NA,NA,51%,<5%,NA
Queenstown-Lakes District,12+,"35,862",Masked,Masked,"32,213","20,522",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,432","1,979",10,NA,NA,58%,<5%,NA
Rangitikei District,12+,"12,700","11,861","11,609","9,370","6,398",93%,91%,68%
Rangitikei District,5-11,"1,491",518,Masked,NA,NA,35%,<5%,NA
Rotorua District,12+,"58,120",Masked,"54,128","41,386","27,424",>95%,93%,66%
Rotorua District,5-11,"7,723","2,809",12,NA,NA,36%,<5%,NA
Ruapehu District,12+,"9,938","8,849","8,518","6,550","4,087",89%,86%,62%
Ruapehu District,5-11,"1,366",288,Masked,NA,NA,21%,<5%,NA
Selwyn District,12+,"53,318",Masked,Masked,"45,961","31,187",>95%,>95%,68%
Selwyn District,5-11,"6,937","4,301",13,NA,NA,62%,<5%,NA
South Taranaki District,12+,"20,389",Masked,Masked,"15,291","9,549",>95%,>95%,62%
South Taranaki District,5-11,"2,693",995,14,NA,NA,37%,<5%,NA
South Waikato District,12+,"19,634","18,192","17,650","13,150","8,060",93%,90%,61%
South Waikato District,5-11,"2,629",703,Masked,NA,NA,27%,<5%,NA
South Wairarapa District,12+,"9,607",Masked,Masked,"7,851","5,796",>95%,>95%,74%
