DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-17,Female,4518,4427,4302,1050,1029
Auckland,Asian,12-17,Male,4797,4684,4464,1075,1049
Auckland,Asian,12-17,Unknown/Other,20,19,7,2857,2714
Auckland,Asian,18-24,Female,7620,7569,6671,1142,1135
Auckland,Asian,18-24,Male,7879,7813,6297,1251,1241
Auckland,Asian,18-24,Unknown/Other,96,93,16,6000,5812
Auckland,Asian,25-29,Female,7830,7801,8392,933,930
Auckland,Asian,25-29,Male,8947,8881,7740,1156,1147
Auckland,Asian,25-29,Unknown/Other,133,131,25,5320,5240
Auckland,Asian,30-34,Female,9076,9015,9316,974,968
Auckland,Asian,30-34,Male,9147,9082,8382,1091,1084
Auckland,Asian,30-34,Unknown/Other,102,101,19,5368,5316
Auckland,Asian,35-39,Female,7769,7711,8154,953,946
Auckland,Asian,35-39,Male,7844,7794,7336,1069,1062
Auckland,Asian,35-39,Unknown/Other,66,66,14,4714,4714
Auckland,Asian,40-44,Female,5886,5849,5623,1047,1040
Auckland,Asian,40-44,Male,5860,5800,5231,1120,1109
Auckland,Asian,40-44,Unknown/Other,42,40,15,2800,2667
Auckland,Asian,45-49,Female,4733,4699,4861,974,967
Auckland,Asian,45-49,Male,4330,4287,3985,1087,1076
Auckland,Asian,5-11,Female,4473,69,6528,685,11
Auckland,Asian,5-11,Male,4491,76,6688,672,11
Auckland,Asian,5-11,Unknown/Other,8,0,7,1143,0
Auckland,Asian,50-54,Female,4411,4388,4411,1000,995
Auckland,Asian,50-54,Male,3541,3517,3467,1021,1014
Auckland,Asian,55-59,Female,4017,3989,4228,950,943
Auckland,Asian,55-59,Male,3414,3382,3468,984,975
Auckland,Asian,60-64,Female,3262,3241,3608,904,898
Auckland,Asian,60-64,Male,2724,2709,2922,932,927
Auckland,Asian,65-69,Female,2840,2830,2935,968,964
Auckland,Asian,65-69,Male,2359,2343,2584,913,907
Auckland,Asian,70-74,Female,1862,1851,1918,971,965
Auckland,Asian,70-74,Male,1747,1734,1743,1002,995
Auckland,Asian,75-79,Female,1130,1123,1240,911,906
Auckland,Asian,75-79,Male,994,979,1080,920,906
Auckland,Asian,80-84,Female,881,869,943,934,922
Auckland,Asian,80-84,Male,722,719,819,882,878
Auckland,Asian,85-89,Female,443,432,441,1005,980
Auckland,Asian,85-89,Male,452,446,420,1076,1062
Auckland,Asian,90+,Female,205,202,179,1145,1128
Auckland,Asian,90+,Male,128,127,126,1016,1008
Auckland,European or Other,12-17,Female,7028,6924,7315,961,947
Auckland,European or Other,12-17,Male,7246,7121,7448,973,956
Auckland,European or Other,12-17,Unknown/Other,7,7,8,875,875
Auckland,European or Other,18-24,Female,10568,10512,11536,916,911
Auckland,European or Other,18-24,Male,9923,9841,10369,957,949
Auckland,European or Other,18-24,Unknown/Other,46,45,38,1211,1184
Auckland,European or Other,25-29,Female,10415,10347,11855,879,873
Auckland,European or Other,25-29,Male,10428,10336,10769,968,960
Auckland,European or Other,25-29,Unknown/Other,48,48,23,2087,2087
Auckland,European or Other,30-34,Female,9623,9565,10714,898,893
Auckland,European or Other,30-34,Male,10431,10332,10361,1007,997
Auckland,European or Other,30-34,Unknown/Other,43,43,22,1955,1955
Auckland,European or Other,35-39,Female,7665,7607,8521,900,893
Auckland,European or Other,35-39,Male,8324,8251,8574,971,962
Auckland,European or Other,35-39,Unknown/Other,15,14,15,1000,933
Auckland,European or Other,40-44,Female,7115,7066,8032,886,880
Auckland,European or Other,40-44,Male,7481,7429,8027,932,926
Auckland,European or Other,45-49,Female,7888,7850,8961,880,876
Auckland,European or Other,45-49,Male,8022,7962,8951,896,890
Auckland,European or Other,5-11,Female,5252,92,7739,679,12
Auckland,European or Other,5-11,Male,5574,93,8273,674,11
Auckland,European or Other,50-54,Female,8139,8104,8362,973,969
Auckland,European or Other,50-54,Male,8539,8492,8858,964,959
Auckland,European or Other,50-54,Unknown/Other,9,9,5,1800,1800
Auckland,European or Other,55-59,Female,7461,7420,8093,922,917
Auckland,European or Other,55-59,Male,8089,8034,8644,936,929
Auckland,European or Other,60-64,Female,6773,6739,6988,969,964
Auckland,European or Other,60-64,Male,7258,7214,7440,976,970
Auckland,European or Other,65-69,Female,5717,5696,5985,955,952
Auckland,European or Other,65-69,Male,5937,5910,6084,976,971
Auckland,European or Other,70-74,Female,5135,5106,5399,951,946
Auckland,European or Other,70-74,Male,5070,5046,5182,978,974
Auckland,European or Other,75-79,Female,3999,3979,3829,1044,1039
Auckland,European or Other,75-79,Male,3545,3520,3442,1030,1023
Auckland,European or Other,80-84,Female,3021,2999,2825,1069,1062
Auckland,European or Other,80-84,Male,2472,2457,2219,1114,1107
Auckland,European or Other,85-89,Female,1927,1907,1874,1028,1018
Auckland,European or Other,85-89,Male,1283,1270,1257,1021,1010
Auckland,European or Other,90+,Female,1750,1721,1629,1074,1056
Auckland,European or Other,90+,Male,872,859,782,1115,1098
Auckland,Maori,12-17,Female,1633,1548,1659,984,933
Auckland,Maori,12-17,Male,1631,1552,1747,934,888
Auckland,Maori,18-24,Female,2273,2207,2396,949,921
Auckland,Maori,18-24,Male,2118,2030,2260,937,898
Auckland,Maori,25-29,Female,1512,1467,1774,852,827
Auckland,Maori,25-29,Male,1598,1527,1611,992,948
Auckland,Maori,30-34,Female,1293,1255,1398,925,898
Auckland,Maori,30-34,Male,1257,1214,1265,994,960
Auckland,Maori,35-39,Female,998,969,1101,906,880
Auckland,Maori,35-39,Male,936,906,1003,933,903
Auckland,Maori,40-44,Female,900,877,1032,872,850
Auckland,Maori,40-44,Male,929,894,997,932,897
Auckland,Maori,45-49,Female,1000,984,1169,855,842
Auckland,Maori,45-49,Male,991,960,1053,941,912
Auckland,Maori,5-11,Female,854,12,2068,413,6
Auckland,Maori,5-11,Male,934,20,2253,415,9
Auckland,Maori,50-54,Female,1004,990,1055,952,938
Auckland,Maori,50-54,Male,893,869,911,980,954
Auckland,Maori,55-59,Female,894,885,988,905,896
Auckland,Maori,55-59,Male,890,875,915,973,956
Auckland,Maori,60-64,Female,766,760,744,1030,1022
Auckland,Maori,60-64,Male,681,678,607,1122,1117
Auckland,Maori,65-69,Female,510,508,520,981,977
Auckland,Maori,65-69,Male,398,395,421,945,938
Auckland,Maori,70-74,Female,311,310,304,1023,1020
Auckland,Maori,70-74,Male,282,279,261,1080,1069
