SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"10,731",Masked,"9,778","6,251","3,286",>95%,91%,53%
Unknown,Unknown,Unknown,Maori,5-11,"1,727",399,7,NA,NA,23%,<5%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,675",Masked,Masked,"3,055","1,498",>95%,>95%,49%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,359,118,Masked,NA,NA,33%,<5%,NA
100100,North Cape,Northland,Maori,12+,856,778,756,565,325,91%,88%,58%
100100,North Cape,Northland,Maori,5-11,160,20,0,NA,NA,12%,<5%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,016",862,816,552,263,85%,80%,48%
100200,Rangaunu Harbour,Northland,Maori,5-11,193,23,0,NA,NA,12%,<5%,NA
100400,Karikari Peninsula,Northland,Maori,12+,527,439,410,264,170,83%,78%,64%
100400,Karikari Peninsula,Northland,Maori,5-11,85,14,0,NA,NA,16%,<5%,NA
100500,Tangonge,Northland,Maori,12+,548,476,460,332,169,87%,84%,51%
100500,Tangonge,Northland,Maori,5-11,89,16,0,NA,NA,18%,<5%,NA
100600,Ahipara,Northland,Maori,12+,583,491,472,334,196,84%,81%,59%
100600,Ahipara,Northland,Maori,5-11,108,21,0,NA,NA,19%,<5%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,301","1,129","1,049",597,280,87%,81%,47%
100700,Kaitaia East,Northland,Maori,5-11,286,49,0,NA,NA,17%,<5%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,52,Masked,Masked,31,18,>95%,>95%,58%
100800,Kaitaia West,Northland,Maori,12+,"1,866","1,641","1,512",864,393,88%,81%,45%
100800,Kaitaia West,Northland,Maori,5-11,417,39,Masked,NA,NA,9%,<5%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,104,96,94,67,23,92%,90%,34%
100900,Rangitihi,Northland,Maori,12+,390,327,308,190,87,84%,79%,46%
100900,Rangitihi,Northland,Maori,5-11,60,6,0,NA,NA,10%,<5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,312,248,233,153,69,79%,75%,45%
101000,Oruru-Parapara,Northland,Maori,5-11,67,11,0,NA,NA,16%,<5%,NA
101100,Taumarumaru,Northland,Maori,12+,571,508,479,319,188,89%,84%,59%
101100,Taumarumaru,Northland,Maori,5-11,135,22,0,NA,NA,16%,<5%,NA
