Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,274794,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,373,Unknown
AstraZeneca,1,44,Unknown
AstraZeneca,Third primary,5,Pacific Peoples
Pfizer BioNTech COVID-19,2,14,European or other
Pfizer BioNTech COVID-19,Boosters,328941,Asian
Pfizer BioNTech COVID-19,2,33185,Unknown
Pfizer BioNTech COVID-19,Boosters,111121,Pacific Peoples
Pfizer BioNTech COVID-19,1,515934,Maori
AstraZeneca,2,2445,European or other
AstraZeneca,2,230,Pacific Peoples
AstraZeneca,Boosters,868,European or other
Pfizer BioNTech COVID-19,2,494497,Maori
Pfizer BioNTech COVID-19,Boosters,185603,Maori
AstraZeneca,2,301,Maori
AstraZeneca,Boosters,153,Asian
Pfizer BioNTech COVID-19,1,2556834,European or other
Pfizer BioNTech COVID-19,Boosters,1575056,European or other
AstraZeneca,1,2515,European or other
AstraZeneca,1,357,Maori
Pfizer BioNTech COVID-19,2,269340,Pacific Peoples
AstraZeneca,1,102,Pacific Peoples
AstraZeneca,2,201,Asian
AstraZeneca,Boosters,77,Unknown
Pfizer BioNTech COVID-19,2,2526943,European or other
Pfizer BioNTech COVID-19,Third primary,2497,Maori
Pfizer BioNTech COVID-19,Third primary,2385,Asian
AstraZeneca,Boosters,76,Pacific Peoples
AstraZeneca,Boosters,71,Maori
AstraZeneca,1,210,Asian
Pfizer BioNTech COVID-19,2,625128,Asian
Pfizer BioNTech COVID-19,1,629995,Asian
Pfizer BioNTech COVID-19,Third primary,26127,European or other
AstraZeneca,2,82,Unknown
Pfizer BioNTech COVID-19,Boosters,21288,Unknown
Pfizer BioNTech COVID-19,1,33618,Unknown
Pfizer BioNTech COVID-19,Third primary,1289,Pacific Peoples
AstraZeneca,Third primary,27,European or other
