SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"7,851",Masked,"7,400","6,727","3,157",>95%,94%,47%
Unknown,Unknown,Unknown,Maori,5-11,"1,473",427,176,NA,NA,29%,12%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,161",Masked,Masked,"3,188","1,670",>95%,>95%,52%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,340,123,46,NA,NA,36%,14%,NA
100100,North Cape,Northland,Maori,12+,879,784,768,698,432,89%,87%,62%
100100,North Cape,Northland,Maori,5-11,162,44,16,NA,NA,27%,10%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,026",876,844,772,394,85%,82%,51%
100200,Rangaunu Harbour,Northland,Maori,5-11,189,34,13,NA,NA,18%,7%,NA
100400,Karikari Peninsula,Northland,Maori,12+,539,456,441,416,218,85%,82%,52%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,Masked,NA,NA,24%,6%,NA
100500,Tangonge,Northland,Maori,12+,564,494,482,432,246,88%,85%,57%
100500,Tangonge,Northland,Maori,5-11,98,20,Masked,NA,NA,20%,<5%,NA
100600,Ahipara,Northland,Maori,12+,580,493,477,443,266,85%,82%,60%
100600,Ahipara,Northland,Maori,5-11,106,35,9,NA,NA,33%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,299","1,152","1,084",967,461,89%,83%,48%
100700,Kaitaia East,Northland,Maori,5-11,286,83,23,NA,NA,29%,8%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,53,Masked,Masked,49,23,>95%,>95%,47%
100800,Kaitaia West,Northland,Maori,12+,"1,835","1,594","1,503","1,340",631,87%,82%,47%
100800,Kaitaia West,Northland,Maori,5-11,399,82,28,NA,NA,21%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,103,94,91,83,44,91%,88%,53%
100900,Rangitihi,Northland,Maori,12+,396,339,326,292,145,86%,82%,50%
100900,Rangitihi,Northland,Maori,5-11,57,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,308,251,238,218,108,81%,77%,50%
101000,Oruru-Parapara,Northland,Maori,5-11,64,14,6,NA,NA,22%,9%,NA
101100,Taumarumaru,Northland,Maori,12+,572,505,479,441,240,88%,84%,54%
101100,Taumarumaru,Northland,Maori,5-11,143,35,14,NA,NA,24%,10%,NA
101200,Herekino-Takahue,Northland,Maori,12+,435,358,337,305,155,82%,77%,51%
101200,Herekino-Takahue,Northland,Maori,5-11,88,25,Masked,NA,NA,28%,<5%,NA
101300,Peria,Northland,Maori,12+,334,257,245,224,106,77%,73%,47%
101300,Peria,Northland,Maori,5-11,83,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,303,243,229,205,104,80%,76%,51%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,73,20,Masked,NA,NA,27%,5%,NA
101500,Whakapaku,Northland,Maori,12+,259,209,196,181,102,81%,76%,56%
101500,Whakapaku,Northland,Maori,5-11,57,18,Masked,NA,NA,32%,7%,NA
101600,Hokianga North,Northland,Maori,12+,668,568,551,501,332,85%,82%,66%
101600,Hokianga North,Northland,Maori,5-11,127,35,8,NA,NA,28%,6%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,366,295,290,268,165,81%,79%,62%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,46,12,Masked,NA,NA,26%,<5%,NA
101800,Whakarara,Northland,Maori,12+,551,478,461,428,276,87%,84%,64%
101800,Whakarara,Northland,Maori,5-11,75,34,19,NA,NA,45%,25%,NA
101900,Kaeo,Northland,Maori,12+,465,377,356,329,190,81%,77%,58%
101900,Kaeo,Northland,Maori,5-11,108,37,17,NA,NA,34%,16%,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,647,469,441,408,218,72%,68%,53%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,127,13,9,NA,NA,10%,7%,NA
102100,Hokianga South,Northland,Maori,12+,716,546,514,474,287,76%,72%,61%
102100,Hokianga South,Northland,Maori,5-11,113,26,8,NA,NA,23%,7%,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,253,213,204,182,90,84%,81%,49%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,56,18,Masked,NA,NA,32%,<5%,NA
102300,Okaihau,Northland,Maori,12+,315,271,257,234,110,86%,82%,47%
102300,Okaihau,Northland,Maori,5-11,56,12,Masked,NA,NA,21%,5%,NA
102400,Rangitane-Purerua,Northland,Maori,12+,351,315,296,266,148,90%,84%,56%
102400,Rangitane-Purerua,Northland,Maori,5-11,63,12,Masked,NA,NA,19%,8%,NA
