DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4501,4442,"1,773",383,4302
Auckland,Asian,12-17,Male,4768,4694,"1,871",344,4464
Auckland,Asian,12-17,Unknown/Other,18,17,16,<5,7
Auckland,Asian,18-24,Female,7755,7716,"7,711","5,467",6671
Auckland,Asian,18-24,Male,8004,7929,"7,919","4,851",6297
Auckland,Asian,18-24,Unknown/Other,89,86,86,46,16
Auckland,Asian,25-29,Female,7750,7725,"7,715","5,592",8392
Auckland,Asian,25-29,Male,8927,8846,"8,836","5,515",7740
Auckland,Asian,25-29,Unknown/Other,109,107,107,65,25
Auckland,Asian,30-34,Female,9049,9002,"8,985","6,647",9316
Auckland,Asian,30-34,Male,9083,8991,"8,980","6,238",8382
Auckland,Asian,30-34,Unknown/Other,82,82,81,42,19
Auckland,Asian,35-39,Female,7776,7726,"7,714","5,831",8154
Auckland,Asian,35-39,Male,7889,7811,"7,801","5,656",7336
Auckland,Asian,35-39,Unknown/Other,63,63,63,41,14
Auckland,Asian,40-44,Female,5936,5903,"5,900","4,572",5623
Auckland,Asian,40-44,Male,5948,5878,"5,864","4,441",5231
Auckland,Asian,40-44,Unknown/Other,39,37,37,25,15
Auckland,Asian,45-49,Female,4699,4669,"4,667","3,674",4861
Auckland,Asian,45-49,Male,4339,4286,"4,281","3,388",3985
Auckland,Asian,5-11,Female,4921,3170,NA,NA,6528
Auckland,Asian,5-11,Male,4921,3136,NA,NA,6688
Auckland,Asian,50-54,Female,4452,4430,"4,420","3,578",4411
Auckland,Asian,50-54,Male,3575,3545,"3,537","2,855",3467
Auckland,Asian,55-59,Female,4016,3991,"3,984","3,257",4228
Auckland,Asian,55-59,Male,3403,3370,"3,367","2,770",3468
Auckland,Asian,60-64,Female,3281,3268,"3,262","2,755",3608
Auckland,Asian,60-64,Male,2719,2709,"2,701","2,334",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2891,2886,"2,879","2,433",2935
Auckland,Asian,65-69,Male,2403,2387,"2,382","2,037",2584
Auckland,Asian,70-74,Female,1864,1855,"1,854","1,632",1918
Auckland,Asian,70-74,Male,1759,1751,"1,749","1,561",1743
