Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,276548,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,245589,Maori
Pfizer BioNTech COVID-19,2,986,European or other
Pfizer BioNTech COVID-19,Third primary,358,Unknown
AstraZeneca,Booster,116,Unknown
AstraZeneca,1,45,Unknown
Pfizer BioNTech COVID-19,1,521984,Maori
Paediatric Pfizer,1,60673,Asian
Pfizer BioNTech COVID-19,2,31848,Unknown
AstraZeneca,2,2708,European or other
Paediatric Pfizer,2,661,Unknown
AstraZeneca,2,243,Pacific Peoples
Novavax,Booster,82,Asian
Pfizer BioNTech COVID-19,2,505195,Maori
Pfizer BioNTech COVID-19,Booster,441407,Asian
Paediatric Pfizer,1,24427,Pacific Peoples
Paediatric Pfizer,2,79355,European or other
Novavax,1,1621,European or other
AstraZeneca,2,355,Maori
Novavax,1,26,Unknown
AstraZeneca,Booster,1367,European or other
AstraZeneca,Booster,106,Maori
Novavax,Third primary,34,European or other
Pfizer BioNTech COVID-19,2,44,Maori
Paediatric Pfizer,Booster,20,European or other
Pfizer BioNTech COVID-19,1,2559891,European or other
Pfizer BioNTech COVID-19,Booster,148726,Pacific Peoples
Paediatric Pfizer,1,137612,European or other
AstraZeneca,1,2580,European or other
Novavax,2,1483,European or other
AstraZeneca,1,368,Maori
Novavax,2,20,Unknown
Pfizer BioNTech COVID-19,2,21,Unknown
Novavax,Booster,13,Unknown
Pfizer BioNTech COVID-19,2,272633,Pacific Peoples
Novavax,1,172,Maori
AstraZeneca,2,234,Asian
Pfizer BioNTech COVID-19,2,91,Asian
AstraZeneca,1,109,Pacific Peoples
Novavax,2,40,Pacific Peoples
Paediatric Pfizer,Third primary,7,Maori
Pfizer BioNTech COVID-19,2,2536659,European or other
Paediatric Pfizer,2,37221,Asian
Pfizer BioNTech COVID-19,Third primary,2542,Maori
Pfizer BioNTech COVID-19,Booster,297431,Unknown
Paediatric Pfizer,2,17077,Maori
Pfizer BioNTech COVID-19,Third primary,2057,Asian
AstraZeneca,1,217,Asian
Novavax,Third primary,7,Asian
Paediatric Pfizer,Third primary,14,Asian
AstraZeneca,Booster,271,Asian
AstraZeneca,Third primary,5,Asian
Pfizer BioNTech COVID-19,1,632418,Asian
Pfizer BioNTech COVID-19,2,628823,Asian
Paediatric Pfizer,2,9760,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,27629,European or other
AstraZeneca,2,90,Unknown
AstraZeneca,Booster,97,Pacific Peoples
Novavax,1,374,Asian
Novavax,2,332,Asian
Novavax,1,57,Pacific Peoples
Paediatric Pfizer,Third primary,48,European or other
Pfizer BioNTech COVID-19,Booster,1840324,European or other
Paediatric Pfizer,1,41983,Maori
Pfizer BioNTech COVID-19,1,32715,Unknown
Pfizer BioNTech COVID-19,Third primary,1224,Pacific Peoples
Paediatric Pfizer,1,1095,Unknown
Novavax,Booster,574,European or other
Novavax,2,146,Maori
Novavax,Booster,40,Maori
AstraZeneca,Third primary,23,European or other
Pfizer BioNTech COVID-19,2,18,Pacific Peoples
Novavax,Third primary,5,Maori
AstraZeneca,2,6,European or other
