DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland,Asian,12-15,Female,3022,2737,2947,1025,929
Auckland,Asian,12-15,Male,3155,2867,3085,1023,929
Auckland,Asian,16-19,Female,3222,3007,2904,1110,1035
Auckland,Asian,16-19,Male,3304,3116,2826,1169,1103
Auckland,Asian,16-19,Unknown/Other,45,41,9,5000,4556
Auckland,Asian,20-24,Female,5878,5535,5122,1148,1081
Auckland,Asian,20-24,Male,6068,5645,4850,1251,1164
Auckland,Asian,20-24,Unknown/Other,78,74,12,6500,6167
Auckland,Asian,25-29,Female,7845,7560,8392,935,901
Auckland,Asian,25-29,Male,8996,8540,7740,1162,1103
Auckland,Asian,25-29,Unknown/Other,133,130,25,5320,5200
Auckland,Asian,30-34,Female,8835,8510,9316,948,913
Auckland,Asian,30-34,Male,8946,8603,8382,1067,1026
Auckland,Asian,30-34,Unknown/Other,111,102,19,5842,5368
Auckland,Asian,35-39,Female,7559,7255,8154,927,890
Auckland,Asian,35-39,Male,7630,7388,7336,1040,1007
Auckland,Asian,35-39,Unknown/Other,65,64,14,4643,4571
Auckland,Asian,40-44,Female,5639,5509,5623,1003,980
Auckland,Asian,40-44,Male,5641,5511,5231,1078,1054
Auckland,Asian,40-44,Unknown/Other,47,41,15,3133,2733
Auckland,Asian,45-49,Female,4654,4514,4861,957,929
Auckland,Asian,45-49,Male,4215,4093,3985,1058,1027
Auckland,Asian,50-54,Female,4242,4107,4411,962,931
Auckland,Asian,50-54,Male,3380,3317,3467,975,957
Auckland,Asian,55-59,Female,3886,3808,4228,919,901
Auckland,Asian,55-59,Male,3324,3236,3468,958,933
Auckland,Asian,60-64,Female,3147,3067,3608,872,850
Auckland,Asian,60-64,Male,2662,2608,2922,911,893
Auckland,Asian,65-69,Female,2683,2649,2935,914,903
Auckland,Asian,65-69,Male,2252,2208,2584,872,854
Auckland,Asian,70-74,Female,1740,1710,1918,907,892
Auckland,Asian,70-74,Male,1625,1618,1743,932,928
Auckland,Asian,75-79,Female,1095,1067,1240,883,860
Auckland,Asian,75-79,Male,938,908,1080,869,841
Auckland,Asian,80-84,Female,811,795,943,860,843
Auckland,Asian,80-84,Male,688,680,819,840,830
Auckland,Asian,85-89,Female,400,378,441,907,857
Auckland,Asian,85-89,Male,387,375,420,921,893
Auckland,Asian,90+,Female,166,165,179,927,922
Auckland,Asian,90+,Male,106,105,126,841,833
Auckland,European or Other,12-15,Female,4756,4339,4934,964,879
Auckland,European or Other,12-15,Male,4869,4451,5110,953,871
Auckland,European or Other,12-15,Unknown/Other,6,6,5,1200,1200
Auckland,European or Other,16-19,Female,4671,4461,4912,951,908
Auckland,European or Other,16-19,Male,4565,4327,4777,956,906
Auckland,European or Other,16-19,Unknown/Other,9,8,12,750,667
Auckland,European or Other,20-24,Female,8211,7768,9005,912,863
Auckland,European or Other,20-24,Male,7486,6929,7930,944,874
Auckland,European or Other,20-24,Unknown/Other,35,32,29,1207,1103
Auckland,European or Other,25-29,Female,10021,9660,11855,845,815
Auckland,European or Other,25-29,Male,10108,9518,10769,939,884
Auckland,European or Other,25-29,Unknown/Other,49,47,23,2130,2043
Auckland,European or Other,30-34,Female,9181,8835,10714,857,825
Auckland,European or Other,30-34,Male,10004,9490,10361,966,916
Auckland,European or Other,30-34,Unknown/Other,46,46,22,2091,2091
Auckland,European or Other,35-39,Female,7472,7139,8521,877,838
Auckland,European or Other,35-39,Male,8030,7672,8574,937,895
Auckland,European or Other,35-39,Unknown/Other,16,14,15,1067,933
Auckland,European or Other,40-44,Female,7030,6786,8032,875,845
Auckland,European or Other,40-44,Male,7312,7060,8027,911,880
Auckland,European or Other,45-49,Female,7902,7683,8961,882,857
Auckland,European or Other,45-49,Male,7978,7691,8951,891,859
Auckland,European or Other,50-54,Female,7945,7745,8362,950,926
Auckland,European or Other,50-54,Male,8420,8158,8858,951,921
Auckland,European or Other,50-54,Unknown/Other,10,9,5,2000,1800
Auckland,European or Other,55-59,Female,7364,7217,8093,910,892
Auckland,European or Other,55-59,Male,7910,7714,8644,915,892
Auckland,European or Other,60-64,Female,6649,6504,6988,951,931
Auckland,European or Other,60-64,Male,7080,6930,7440,952,931
Auckland,European or Other,65-69,Female,5635,5524,5985,942,923
Auckland,European or Other,65-69,Male,5791,5683,6084,952,934
Auckland,European or Other,70-74,Female,5101,5007,5399,945,927
Auckland,European or Other,70-74,Male,4931,4867,5182,952,939
Auckland,European or Other,75-79,Female,3760,3730,3829,982,974
Auckland,European or Other,75-79,Male,3359,3312,3442,976,962
Auckland,European or Other,80-84,Female,2858,2826,2825,1012,1000
Auckland,European or Other,80-84,Male,2319,2304,2219,1045,1038
Auckland,European or Other,85-89,Female,1802,1775,1874,962,947
Auckland,European or Other,85-89,Male,1177,1170,1257,936,931
Auckland,European or Other,90+,Female,1603,1570,1629,984,964
Auckland,European or Other,90+,Male,795,779,782,1017,996
Auckland,Maori,12-15,Female,1010,835,1131,893,738
Auckland,Maori,12-15,Male,1066,868,1225,870,709
Auckland,Maori,16-19,Female,1016,836,1162,874,719
Auckland,Maori,16-19,Male,964,775,1120,861,692
Auckland,Maori,20-24,Female,1486,1226,1762,843,696
