Week ending,Vaccine available for distribution at the end of the week
21-Feb,65520
28-Feb,131220
07-Mar,187860
14-Mar,246210
21-Mar,284580
28-Mar,332280
04-Apr,293670
11-Apr,395460
18-Apr,423540
25-Apr,453960
02-May,391080
09-May,371760
16-May,353130
23-May,327240
30-May,288000
06-Jun,189660
13-Jun,117660
20-Jun,160410
27-Jun,84360
04-Jul,20280
11-Jul,35160
18-Jul,68520
25-Jul,136350
01-Aug,217170
08-Aug,220290
15-Aug,286020
22-Aug,459900
29-Aug,184000
05-Sep,319890
12-Sep,386790
19-Sep,642012
26-Sep,810538
03-Oct,1057000
10-Oct,941000
17-Oct,679140
24-Oct,1140540
31-Oct,2494650
07-Nov,2354670
14-Nov,2244420
21-Nov,2412360
28-Nov,2495060
05-Dec,2353530
12-Dec,2442330
19-Dec,2381780
26-Dec,2843490
02-Jan,2800240
09-Jan,2495980
16-Jan,2616890
23-Jan,2473680
30-Jan,2112590
06-Feb,1930650
13-Feb,1756720
20-Feb,1683570
27-Feb,1749770
06-Mar,1872750
13-Mar,3121030
20-Mar,3751480
27-Mar,3672010
03-Apr,3573130
10-Apr,3517300
17-Apr,3551200
24-Apr,3500080
01-May,2867760
08-May,2909000
15-May,2957160
22-May,3015160
29-May,3064020
05-Jun,3108660
12-Jun,3156370
19-Jun,3173460
26-Jun,3163230
03-Jul,3060990
10-Jul,3055830
17-Jul,2848800
24-Jul,2778800
31-Jul,2706730
07-Aug,2638800
14-Aug,2583200
21-Aug,2516170
28-Aug,2457920
04-Sep,2394650
11-Sep,2376330
18-Sep,3142450
25-Sep,3111460
02-Oct,3080690
30-Oct,2897670
04-Dec,2729850
