SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"9,495","7,914","7,460","6,765","3,185","1,477",484,83%,79%,47%,33%
Unknown,Unknown,Unknown,Maori,5-11,"1,739",514,218,NA,NA,NA,NA,30%,13%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,376",Masked,Masked,"3,260","1,827",419,117,>95%,>95%,56%,28%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,331,146,54,NA,NA,NA,NA,44%,16%,NA,NA
100100,North Cape,Northland,Maori,12+,907,778,761,695,428,274,109,86%,84%,62%,40%
100100,North Cape,Northland,Maori,5-11,140,44,16,NA,NA,NA,NA,31%,11%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,057",885,851,794,408,259,50,84%,81%,51%,19%
100200,Rangaunu Harbour,Northland,Maori,5-11,194,34,14,NA,NA,NA,NA,18%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,556,466,453,428,239,164,45,84%,81%,56%,27%
100400,Karikari Peninsula,Northland,Maori,5-11,89,20,Masked,NA,NA,NA,NA,22%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,595,500,487,442,255,153,32,84%,82%,58%,21%
100500,Tangonge,Northland,Maori,5-11,100,21,Masked,NA,NA,NA,NA,21%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,598,487,472,445,262,175,24,81%,79%,59%,14%
100600,Ahipara,Northland,Maori,5-11,103,34,8,NA,NA,NA,NA,33%,8%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,325","1,127","1,066",974,453,239,51,85%,80%,47%,21%
100700,Kaitaia East,Northland,Maori,5-11,297,83,24,NA,NA,NA,NA,28%,8%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,61,55,54,51,28,9,Masked,90%,89%,55%,11%
100800,Kaitaia West,Northland,Maori,12+,"1,941","1,606","1,517","1,368",647,376,81,83%,78%,47%,22%
100800,Kaitaia West,Northland,Maori,5-11,369,84,31,NA,NA,NA,NA,23%,8%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,107,97,94,89,46,21,7,91%,88%,52%,33%
100900,Rangitihi,Northland,Maori,12+,415,343,331,303,150,83,16,83%,80%,50%,19%
100900,Rangitihi,Northland,Maori,5-11,57,8,Masked,NA,NA,NA,NA,14%,5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,317,241,229,214,106,70,13,76%,72%,50%,19%
101000,Oruru-Parapara,Northland,Maori,5-11,65,14,6,NA,NA,NA,NA,22%,9%,NA,NA
101100,Taumarumaru,Northland,Maori,12+,587,493,469,434,243,157,43,84%,80%,56%,27%
101100,Taumarumaru,Northland,Maori,5-11,131,33,13,NA,NA,NA,NA,25%,10%,NA,NA
101100,Taumarumaru,Northland,Pacific Peoples,12+,41,36,35,32,17,14,7,88%,85%,53%,50%
101200,Herekino-Takahue,Northland,Maori,12+,457,359,338,311,156,112,21,79%,74%,50%,19%
101200,Herekino-Takahue,Northland,Maori,5-11,84,25,Masked,NA,NA,NA,NA,30%,<5%,NA,NA
101300,Peria,Northland,Maori,12+,357,262,252,234,112,67,9,73%,71%,48%,13%
101300,Peria,Northland,Maori,5-11,92,16,6,NA,NA,NA,NA,17%,7%,NA,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,332,247,233,208,116,78,23,74%,70%,56%,29%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,68,19,7,NA,NA,NA,NA,28%,10%,NA,NA
101500,Whakapaku,Northland,Maori,12+,270,204,193,179,101,71,27,76%,71%,56%,38%
101500,Whakapaku,Northland,Maori,5-11,60,18,Masked,NA,NA,NA,NA,30%,7%,NA,NA
101600,Hokianga North,Northland,Maori,12+,697,570,551,505,341,243,55,82%,79%,68%,23%
101600,Hokianga North,Northland,Maori,5-11,122,37,12,NA,NA,NA,NA,30%,10%,NA,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,381,292,286,269,162,122,38,77%,75%,60%,31%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,49,13,Masked,NA,NA,NA,NA,27%,6%,NA,NA
101800,Whakarara,Northland,Maori,12+,578,483,466,434,279,171,62,84%,81%,64%,36%
101800,Whakarara,Northland,Maori,5-11,69,32,19,NA,NA,NA,NA,46%,28%,NA,NA
101900,Kaeo,Northland,Maori,12+,484,380,358,341,192,122,54,79%,74%,56%,44%
101900,Kaeo,Northland,Maori,5-11,109,37,17,NA,NA,NA,NA,34%,16%,NA,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,654,452,422,402,219,170,44,69%,65%,54%,26%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,126,15,9,NA,NA,NA,NA,12%,7%,NA,NA
102100,Hokianga South,Northland,Maori,12+,717,533,508,475,294,199,78,74%,71%,62%,39%
102100,Hokianga South,Northland,Maori,5-11,104,28,15,NA,NA,NA,NA,27%,14%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,267,213,204,182,95,60,12,80%,76%,52%,20%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,64,18,Masked,NA,NA,NA,NA,28%,<5%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,12+,60,55,52,51,32,6,Masked,92%,87%,63%,50%
102300,Okaihau,Northland,Maori,12+,331,270,256,232,112,71,24,82%,77%,48%,34%
102300,Okaihau,Northland,Maori,5-11,63,13,Masked,NA,NA,NA,NA,21%,6%,NA,NA
102400,Rangitane-Purerua,Northland,Maori,12+,373,315,298,270,153,111,38,84%,80%,57%,34%
102400,Rangitane-Purerua,Northland,Maori,5-11,61,13,Masked,NA,NA,NA,NA,21%,8%,NA,NA
102500,Waipapa,Northland,Maori,12+,141,115,108,100,50,28,16,82%,77%,50%,57%
102600,Puketotara,Northland,Maori,12+,243,199,193,171,97,54,15,82%,79%,57%,28%
102600,Puketotara,Northland,Maori,5-11,52,23,Masked,NA,NA,NA,NA,44%,<5%,NA,NA
102600,Puketotara,Northland,Pacific Peoples,12+,40,Masked,Masked,38,18,9,NA,>95%,>95%,47%,0%
102700,Waima Forest,Northland,Maori,12+,797,592,567,532,270,179,37,74%,71%,51%,21%
102700,Waima Forest,Northland,Maori,5-11,130,21,7,NA,NA,NA,NA,16%,5%,NA,NA
102800,Riverview,Northland,Maori,12+,248,221,215,190,111,64,17,89%,87%,58%,27%
102800,Riverview,Northland,Maori,5-11,52,21,Masked,NA,NA,NA,NA,40%,8%,NA,NA
102900,Waipoua Forest,Northland,Maori,12+,654,508,490,469,305,218,82,78%,75%,65%,38%
102900,Waipoua Forest,Northland,Maori,5-11,98,15,Masked,NA,NA,NA,NA,15%,5%,NA,NA
103000,Kerikeri Central,Northland,Maori,12+,479,411,396,366,171,80,29,86%,83%,47%,36%
103000,Kerikeri Central,Northland,Maori,5-11,103,31,11,NA,NA,NA,NA,30%,11%,NA,NA
103000,Kerikeri Central,Northland,Pacific Peoples,12+,98,Masked,Masked,104,29,10,Masked,>95%,>95%,28%,40%
103100,Kerikeri South,Northland,Maori,12+,259,206,196,183,109,65,25,80%,76%,60%,38%
103100,Kerikeri South,Northland,Maori,5-11,50,20,Masked,NA,NA,NA,NA,40%,10%,NA,NA
103200,Ohaeawai-Waimate North,Northland,Maori,12+,419,352,335,313,181,119,18,84%,80%,58%,15%
103200,Ohaeawai-Waimate North,Northland,Maori,5-11,74,12,7,NA,NA,NA,NA,16%,9%,NA,NA
103300,Puketona-Waitangi,Northland,Maori,12+,283,241,236,222,137,88,23,85%,83%,62%,26%
103300,Puketona-Waitangi,Northland,Maori,5-11,47,24,Masked,NA,NA,NA,NA,51%,9%,NA,NA
103400,Ngapuhi,Northland,Maori,12+,"1,002",783,743,693,343,234,52,78%,74%,49%,22%
103400,Ngapuhi,Northland,Maori,5-11,168,35,9,NA,NA,NA,NA,21%,5%,NA,NA
103500,Kaikohe,Northland,Maori,12+,"2,810","2,190","2,074","1,920",935,567,160,78%,74%,49%,28%
103500,Kaikohe,Northland,Maori,5-11,609,147,55,NA,NA,NA,NA,24%,9%,NA,NA
103500,Kaikohe,Northland,Pacific Peoples,12+,110,100,98,94,41,25,8,91%,89%,44%,32%
103600,Pakaraka,Northland,Maori,12+,154,133,129,120,64,36,12,86%,84%,53%,33%
103700,Haruru,Northland,Maori,12+,228,194,191,177,96,49,15,85%,84%,54%,31%
103700,Haruru,Northland,Maori,5-11,57,25,Masked,NA,NA,NA,NA,44%,9%,NA,NA
103800,Russell,Northland,Maori,12+,137,125,124,116,83,61,22,91%,91%,72%,36%
103900,Paihia,Northland,Maori,12+,510,418,402,380,183,114,36,82%,79%,48%,32%
103900,Paihia,Northland,Maori,5-11,76,15,Masked,NA,NA,NA,NA,20%,7%,NA,NA
104000,Mataraua Forest,Northland,Maori,12+,350,261,243,224,121,82,25,75%,69%,54%,30%
104000,Mataraua Forest,Northland,Maori,5-11,53,10,Masked,NA,NA,NA,NA,19%,9%,NA,NA
104100,Matawaia-Taumarere,Northland,Maori,12+,853,652,629,576,285,176,39,76%,74%,49%,22%
104100,Matawaia-Taumarere,Northland,Maori,5-11,163,42,7,NA,NA,NA,NA,26%,<5%,NA,NA
104200,Russell Peninsula,Northland,Maori,12+,83,64,64,60,44,26,11,77%,77%,73%,42%
104300,Opua (Far North District),Northland,Maori,12+,180,133,127,119,66,50,12,74%,71%,55%,24%
104400,Russell Forest-Rawhiti,Northland,Maori,12+,414,352,337,317,195,149,50,85%,81%,62%,34%
104400,Russell Forest-Rawhiti,Northland,Maori,5-11,66,10,Masked,NA,NA,NA,NA,15%,<5%,NA,NA
104500,Moerewa,Northland,Maori,12+,"1,213",983,940,863,439,255,78,81%,77%,51%,31%
104500,Moerewa,Northland,Maori,5-11,229,32,8,NA,NA,NA,NA,14%,<5%,NA,NA
104600,Kawakawa,Northland,Maori,12+,830,707,669,617,305,173,47,85%,81%,49%,27%
104600,Kawakawa,Northland,Maori,5-11,149,36,10,NA,NA,NA,NA,24%,7%,NA,NA
104700,Maromaku,Northland,Maori,12+,264,198,187,173,90,48,11,75%,71%,52%,23%
104700,Maromaku,Northland,Maori,5-11,74,22,Masked,NA,NA,NA,NA,30%,5%,NA,NA
104800,Mangakahia-Hukerenui,Northland,Maori,12+,630,533,511,464,240,149,48,85%,81%,52%,32%
104800,Mangakahia-Hukerenui,Northland,Maori,5-11,130,27,Masked,NA,NA,NA,NA,21%,<5%,NA,NA
104900,Whangaruru,Northland,Maori,12+,705,575,561,521,284,187,35,82%,80%,55%,19%
104900,Whangaruru,Northland,Maori,5-11,138,43,7,NA,NA,NA,NA,31%,5%,NA,NA
105100,Matarau,Northland,Maori,12+,405,334,327,289,155,79,27,82%,81%,54%,34%
105100,Matarau,Northland,Maori,5-11,89,28,11,NA,NA,NA,NA,31%,12%,NA,NA
105200,Hikurangi,Northland,Maori,12+,497,411,392,352,175,86,17,83%,79%,50%,20%
105200,Hikurangi,Northland,Maori,5-11,133,44,19,NA,NA,NA,NA,33%,14%,NA,NA
105300,Kauri,Northland,Maori,12+,244,207,202,187,114,63,15,85%,83%,61%,24%
105300,Kauri,Northland,Maori,5-11,54,16,Masked,NA,NA,NA,NA,30%,9%,NA,NA
105400,Maungatapere,Northland,Maori,12+,459,398,383,352,214,102,29,87%,83%,61%,28%
105400,Maungatapere,Northland,Maori,5-11,103,35,15,NA,NA,NA,NA,34%,15%,NA,NA
105500,Kamo West,Northland,Maori,12+,432,377,372,328,186,106,37,87%,86%,57%,35%
105500,Kamo West,Northland,Maori,5-11,94,44,17,NA,NA,NA,NA,47%,18%,NA,NA
105600,Matapouri-Tutukaka,Northland,Maori,12+,234,198,191,174,102,67,14,85%,82%,59%,21%
105700,Kiripaka,Northland,Maori,12+,207,169,162,151,76,53,19,82%,78%,50%,36%
105800,Kamo East,Northland,Maori,12+,991,842,806,735,328,129,32,85%,81%,45%,25%
105800,Kamo East,Northland,Maori,5-11,239,68,17,NA,NA,NA,NA,28%,7%,NA,NA
105800,Kamo East,Northland,Pacific Peoples,12+,102,85,84,78,42,14,Masked,83%,82%,54%,14%
105900,Granfield Reserve,Northland,Maori,12+,481,423,405,377,201,108,33,88%,84%,53%,31%
105900,Granfield Reserve,Northland,Maori,5-11,84,28,9,NA,NA,NA,NA,33%,11%,NA,NA
106000,Kamo Central,Northland,Maori,12+,433,378,366,336,177,97,31,87%,85%,53%,32%
106000,Kamo Central,Northland,Maori,5-11,98,39,15,NA,NA,NA,NA,40%,15%,NA,NA
106100,Whau Valley,Northland,Maori,12+,614,528,514,476,261,121,36,86%,84%,55%,30%
106100,Whau Valley,Northland,Maori,5-11,125,41,12,NA,NA,NA,NA,33%,10%,NA,NA
106100,Whau Valley,Northland,Pacific Peoples,12+,47,42,41,38,24,11,Masked,89%,87%,63%,27%
106200,Tikipunga North,Northland,Maori,12+,"1,041",855,821,747,380,200,58,82%,79%,51%,29%
106200,Tikipunga North,Northland,Maori,5-11,262,78,17,NA,NA,NA,NA,30%,6%,NA,NA
106200,Tikipunga North,Northland,Pacific Peoples,12+,85,73,71,68,39,15,6,86%,84%,57%,40%
106300,Pukenui,Northland,Maori,12+,181,158,155,136,90,53,18,87%,86%,66%,34%
106300,Pukenui,Northland,Maori,5-11,55,27,7,NA,NA,NA,NA,49%,13%,NA,NA
106400,Otangarei,Northland,Maori,12+,"1,329","1,049",964,896,399,217,50,79%,73%,45%,23%
106400,Otangarei,Northland,Maori,5-11,292,44,10,NA,NA,NA,NA,15%,<5%,NA,NA
106400,Otangarei,Northland,Pacific Peoples,12+,52,43,41,38,19,13,Masked,83%,79%,50%,23%
106500,Tikipunga South,Northland,Maori,12+,"1,271","1,093","1,053",953,492,272,77,86%,83%,52%,28%
