Vaccine,Dose number,Ethnicity,Number of doses administered
AstraZeneca,1,Maori,363
AstraZeneca,1,Other,2844
AstraZeneca,1,Pacific Peoples,109
AstraZeneca,2,Maori,357
AstraZeneca,2,Other,3040
AstraZeneca,2,Pacific Peoples,248
AstraZeneca,BOOSTER 1,Maori,98
AstraZeneca,BOOSTER 1,Other,1711
AstraZeneca,BOOSTER 1,Pacific Peoples,93
AstraZeneca,BOOSTER 2,Maori,12
AstraZeneca,BOOSTER 2,Other,160
AstraZeneca,THIRD_PRIMARY,Other,23
Novavax,1,Maori,191
Novavax,1,Other,2145
Novavax,1,Pacific Peoples,59
Novavax,2,Maori,167
Novavax,2,Other,2011
Novavax,2,Pacific Peoples,45
Novavax,BOOSTER 1,Maori,62
Novavax,BOOSTER 1,Other,767
Novavax,BOOSTER 1,Pacific Peoples,5
Novavax,BOOSTER 2,Maori,56
Novavax,BOOSTER 2,Other,1123
Novavax,BOOSTER 2,Pacific Peoples,10
Novavax,THIRD_PRIMARY,Other,31
Paediatric Pfizer,1,Maori,42415
Paediatric Pfizer,1,Other,201061
Paediatric Pfizer,1,Pacific Peoples,24742
Paediatric Pfizer,2,Maori,18351
Paediatric Pfizer,2,Other,122984
Paediatric Pfizer,2,Pacific Peoples,10791
Paediatric Pfizer,BOOSTER 1,Other,18
Paediatric Pfizer,THIRD_PRIMARY,Maori,8
Paediatric Pfizer,THIRD_PRIMARY,Other,82
Pfizer BioNTech COVID-19,1,Maori,524395
Pfizer BioNTech COVID-19,1,Other,3223210
Pfizer BioNTech COVID-19,1,Pacific Peoples,277017
Pfizer BioNTech COVID-19,2,Maori,507727
Pfizer BioNTech COVID-19,2,Other,3196096
Pfizer BioNTech COVID-19,2,Pacific Peoples,273106
Pfizer BioNTech COVID-19,BOOSTER,Maori,10
Pfizer BioNTech COVID-19,BOOSTER,Other,144
Pfizer BioNTech COVID-19,BOOSTER 1,Maori,251860
Pfizer BioNTech COVID-19,BOOSTER 1,Other,2331179
Pfizer BioNTech COVID-19,BOOSTER 1,Pacific Peoples,153360
Pfizer BioNTech COVID-19,BOOSTER 2,Maori,46376
Pfizer BioNTech COVID-19,BOOSTER 2,Other,569420
Pfizer BioNTech COVID-19,BOOSTER 2,Pacific Peoples,21846
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Maori,2376
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Other,27640
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Pacific Peoples,1125
