Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,275720,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,226420,Maori
Pfizer BioNTech COVID-19,2,801,European or other
Pfizer BioNTech COVID-19,Third primary,412,Unknown
AstraZeneca,Booster,97,Unknown
AstraZeneca,1,46,Unknown
Pfizer BioNTech COVID-19,1,519126,Maori
AstraZeneca,2,2655,European or other
Pfizer BioNTech COVID-19,2,34410,Unknown
Paediatric Pfizer,1,58184,Asian
AstraZeneca,2,245,Pacific Peoples
Paediatric Pfizer,2,227,Unknown
Pfizer BioNTech COVID-19,2,501125,Maori
Pfizer BioNTech COVID-19,Booster,406787,Asian
Paediatric Pfizer,1,23249,Pacific Peoples
Paediatric Pfizer,2,29412,European or other
AstraZeneca,Booster,1142,European or other
AstraZeneca,2,342,Maori
AstraZeneca,Booster,85,Maori
Pfizer BioNTech COVID-19,2,36,Maori
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,Booster,134580,Pacific Peoples
Pfizer BioNTech COVID-19,1,2559385,European or other
AstraZeneca,1,2563,European or other
Paediatric Pfizer,1,134527,European or other
AstraZeneca,1,363,Maori
Pfizer BioNTech COVID-19,2,5,Unknown
Pfizer BioNTech COVID-19,2,271323,Pacific Peoples
AstraZeneca,2,215,Asian
AstraZeneca,1,106,Pacific Peoples
Pfizer BioNTech COVID-19,2,63,Asian
Pfizer BioNTech COVID-19,2,2534316,European or other
Paediatric Pfizer,2,5544,Maori
Paediatric Pfizer,2,10437,Asian
Pfizer BioNTech COVID-19,Booster,25178,Unknown
Pfizer BioNTech COVID-19,Third primary,2630,Maori
Pfizer BioNTech COVID-19,Third primary,2653,Asian
AstraZeneca,1,214,Asian
AstraZeneca,Booster,201,Asian
Pfizer BioNTech COVID-19,2,626929,Asian
Pfizer BioNTech COVID-19,1,630885,Asian
Pfizer BioNTech COVID-19,Third primary,27042,European or other
Paediatric Pfizer,2,2565,Pacific Peoples
AstraZeneca,2,87,Unknown
AstraZeneca,Booster,84,Pacific Peoples
Paediatric Pfizer,Third primary,15,European or other
Pfizer BioNTech COVID-19,Booster,1766221,European or other
Pfizer BioNTech COVID-19,1,35559,Unknown
Paediatric Pfizer,1,40230,Maori
Pfizer BioNTech COVID-19,Third primary,1408,Pacific Peoples
Paediatric Pfizer,1,1214,Unknown
AstraZeneca,Third primary,23,European or other
Pfizer BioNTech COVID-19,2,14,Pacific Peoples
