SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"10,412",Masked,"9,612","7,331","4,040",>95%,92%,55%
Unknown,Unknown,Unknown,Maori,5-11,"1,656",467,62,NA,NA,28%,<5%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,622",Masked,Masked,"3,260","1,772",>95%,>95%,54%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,348,133,11,NA,NA,38%,<5%,NA
100100,North Cape,Northland,Maori,12+,857,777,755,604,399,91%,88%,66%
100100,North Cape,Northland,Maori,5-11,162,38,Masked,NA,NA,23%,<5%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,011",860,823,651,358,85%,81%,55%
100200,Rangaunu Harbour,Northland,Maori,5-11,192,34,Masked,NA,NA,18%,<5%,NA
100400,Karikari Peninsula,Northland,Maori,12+,522,436,418,312,196,84%,80%,63%
100400,Karikari Peninsula,Northland,Maori,5-11,86,20,Masked,NA,NA,23%,<5%,NA
100500,Tangonge,Northland,Maori,12+,553,481,468,373,223,87%,85%,60%
100500,Tangonge,Northland,Maori,5-11,94,20,Masked,NA,NA,21%,<5%,NA
100600,Ahipara,Northland,Maori,12+,580,493,475,392,244,85%,82%,62%
100600,Ahipara,Northland,Maori,5-11,108,35,Masked,NA,NA,32%,<5%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,301","1,138","1,070",791,387,87%,82%,49%
100700,Kaitaia East,Northland,Maori,5-11,287,71,Masked,NA,NA,25%,<5%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,52,Masked,Masked,45,23,>95%,>95%,51%
100800,Kaitaia West,Northland,Maori,12+,"1,865","1,639","1,536","1,120",555,88%,82%,50%
100800,Kaitaia West,Northland,Maori,5-11,412,65,Masked,NA,NA,16%,<5%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,102,95,92,73,37,93%,90%,51%
100900,Rangitihi,Northland,Maori,12+,388,326,314,237,124,84%,81%,52%
100900,Rangitihi,Northland,Maori,5-11,58,7,0,NA,NA,12%,<5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,317,254,240,195,99,80%,76%,51%
101000,Oruru-Parapara,Northland,Maori,5-11,66,15,Masked,NA,NA,23%,<5%,NA
101100,Taumarumaru,Northland,Maori,12+,579,512,484,383,233,88%,84%,61%
101100,Taumarumaru,Northland,Maori,5-11,140,28,Masked,NA,NA,20%,<5%,NA
101200,Herekino-Takahue,Northland,Maori,12+,415,343,324,250,140,83%,78%,56%
101200,Herekino-Takahue,Northland,Maori,5-11,80,22,0,NA,NA,28%,<5%,NA
101300,Peria,Northland,Maori,12+,336,263,250,190,99,78%,74%,52%
101300,Peria,Northland,Maori,5-11,84,11,Masked,NA,NA,13%,<5%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,306,241,227,162,103,79%,74%,64%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,69,19,Masked,NA,NA,28%,<5%,NA
101500,Whakapaku,Northland,Maori,12+,270,219,204,157,91,81%,76%,58%
101500,Whakapaku,Northland,Maori,5-11,61,17,0,NA,NA,28%,<5%,NA
101600,Hokianga North,Northland,Maori,12+,647,543,524,436,301,84%,81%,69%
101600,Hokianga North,Northland,Maori,5-11,123,28,Masked,NA,NA,23%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,366,296,288,232,158,81%,79%,68%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,46,9,0,NA,NA,20%,<5%,NA
101800,Whakarara,Northland,Maori,12+,537,469,450,373,244,87%,84%,65%
101800,Whakarara,Northland,Maori,5-11,74,27,Masked,NA,NA,36%,<5%,NA
101900,Kaeo,Northland,Maori,12+,458,365,343,274,172,80%,75%,63%
101900,Kaeo,Northland,Maori,5-11,107,30,Masked,NA,NA,28%,<5%,NA
