DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-17,Female,4531,4438,4302,1053,1032
Auckland,Asian,12-17,Male,4828,4706,4464,1082,1054
Auckland,Asian,12-17,Unknown/Other,20,19,7,2857,2714
Auckland,Asian,18-24,Female,7667,7609,6671,1149,1141
Auckland,Asian,18-24,Male,7889,7817,6297,1253,1241
Auckland,Asian,18-24,Unknown/Other,99,96,16,6188,6000
Auckland,Asian,25-29,Female,7838,7803,8392,934,930
Auckland,Asian,25-29,Male,8974,8909,7740,1159,1151
Auckland,Asian,25-29,Unknown/Other,130,128,25,5200,5120
Auckland,Asian,30-34,Female,9057,8995,9316,972,966
Auckland,Asian,30-34,Male,9132,9062,8382,1089,1081
Auckland,Asian,30-34,Unknown/Other,104,103,19,5474,5421
Auckland,Asian,35-39,Female,7754,7691,8154,951,943
Auckland,Asian,35-39,Male,7834,7786,7336,1068,1061
Auckland,Asian,35-39,Unknown/Other,66,66,14,4714,4714
Auckland,Asian,40-44,Female,5864,5822,5623,1043,1035
Auckland,Asian,40-44,Male,5852,5789,5231,1119,1107
Auckland,Asian,40-44,Unknown/Other,42,40,15,2800,2667
Auckland,Asian,45-49,Female,4743,4709,4861,976,969
Auckland,Asian,45-49,Male,4311,4267,3985,1082,1071
Auckland,Asian,50-54,Female,4393,4369,4411,996,990
Auckland,Asian,50-54,Male,3535,3510,3467,1020,1012
Auckland,Asian,55-59,Female,4012,3982,4228,949,942
Auckland,Asian,55-59,Male,3404,3371,3468,982,972
Auckland,Asian,60-64,Female,3256,3232,3608,902,896
Auckland,Asian,60-64,Male,2718,2701,2922,930,924
Auckland,Asian,65-69,Female,2821,2809,2935,961,957
Auckland,Asian,65-69,Male,2347,2332,2584,908,902
Auckland,Asian,70-74,Female,1856,1845,1918,968,962
Auckland,Asian,70-74,Male,1748,1733,1743,1003,994
Auckland,Asian,75-79,Female,1127,1119,1240,909,902
Auckland,Asian,75-79,Male,988,975,1080,915,903
Auckland,Asian,80-84,Female,878,867,943,931,919
Auckland,Asian,80-84,Male,728,725,819,889,885
Auckland,Asian,85-89,Female,441,429,441,1000,973
Auckland,Asian,85-89,Male,451,444,420,1074,1057
Auckland,Asian,90+,Female,205,202,179,1145,1128
Auckland,Asian,90+,Male,127,125,126,1008,992
Auckland,European or Other,12-17,Female,7064,6947,7315,966,950
Auckland,European or Other,12-17,Male,7270,7136,7448,976,958
Auckland,European or Other,12-17,Unknown/Other,7,7,8,875,875
Auckland,European or Other,18-24,Female,10578,10523,11536,917,912
Auckland,European or Other,18-24,Male,9956,9871,10369,960,952
Auckland,European or Other,18-24,Unknown/Other,46,45,38,1211,1184
Auckland,European or Other,25-29,Female,10419,10348,11855,879,873
Auckland,European or Other,25-29,Male,10406,10304,10769,966,957
Auckland,European or Other,25-29,Unknown/Other,48,48,23,2087,2087
Auckland,European or Other,30-34,Female,9626,9566,10714,898,893
Auckland,European or Other,30-34,Male,10434,10333,10361,1007,997
Auckland,European or Other,30-34,Unknown/Other,43,43,22,1955,1955
Auckland,European or Other,35-39,Female,7633,7569,8521,896,888
Auckland,European or Other,35-39,Male,8299,8220,8574,968,959
Auckland,European or Other,35-39,Unknown/Other,15,14,15,1000,933
Auckland,European or Other,40-44,Female,7107,7060,8032,885,879
Auckland,European or Other,40-44,Male,7462,7408,8027,930,923
Auckland,European or Other,45-49,Female,7887,7844,8961,880,875
Auckland,European or Other,45-49,Male,8029,7967,8951,897,890
Auckland,European or Other,50-54,Female,8128,8090,8362,972,967
Auckland,European or Other,50-54,Male,8520,8472,8858,962,956
Auckland,European or Other,50-54,Unknown/Other,9,9,5,1800,1800
Auckland,European or Other,55-59,Female,7461,7420,8093,922,917
Auckland,European or Other,55-59,Male,8081,8025,8644,935,928
Auckland,European or Other,60-64,Female,6761,6726,6988,968,963
Auckland,European or Other,60-64,Male,7252,7205,7440,975,968
Auckland,European or Other,65-69,Female,5717,5697,5985,955,952
Auckland,European or Other,65-69,Male,5934,5906,6084,975,971
Auckland,European or Other,70-74,Female,5132,5102,5399,951,945
Auckland,European or Other,70-74,Male,5060,5036,5182,976,972
Auckland,European or Other,75-79,Female,3993,3971,3829,1043,1037
Auckland,European or Other,75-79,Male,3542,3516,3442,1029,1021
Auckland,European or Other,80-84,Female,3022,3001,2825,1070,1062
Auckland,European or Other,80-84,Male,2472,2457,2219,1114,1107
Auckland,European or Other,85-89,Female,1925,1905,1874,1027,1017
Auckland,European or Other,85-89,Male,1276,1263,1257,1015,1005
Auckland,European or Other,90+,Female,1745,1716,1629,1071,1053
Auckland,European or Other,90+,Male,871,858,782,1114,1097
Auckland,Maori,12-17,Female,1633,1537,1659,984,926
Auckland,Maori,12-17,Male,1629,1546,1747,932,885
Auckland,Maori,18-24,Female,2256,2189,2396,942,914
Auckland,Maori,18-24,Male,2121,2026,2260,938,896
Auckland,Maori,25-29,Female,1504,1462,1774,848,824
Auckland,Maori,25-29,Male,1590,1515,1611,987,940
Auckland,Maori,30-34,Female,1291,1249,1398,923,893
Auckland,Maori,30-34,Male,1252,1204,1265,990,952
Auckland,Maori,35-39,Female,991,961,1101,900,873
Auckland,Maori,35-39,Male,941,910,1003,938,907
Auckland,Maori,40-44,Female,902,876,1032,874,849
Auckland,Maori,40-44,Male,925,889,997,928,892
Auckland,Maori,45-49,Female,996,980,1169,852,838
Auckland,Maori,45-49,Male,995,960,1053,945,912
Auckland,Maori,50-54,Female,1000,987,1055,948,936
Auckland,Maori,50-54,Male,885,855,911,971,939
Auckland,Maori,55-59,Female,896,884,988,907,895
Auckland,Maori,55-59,Male,887,871,915,969,952
Auckland,Maori,60-64,Female,768,762,744,1032,1024
Auckland,Maori,60-64,Male,673,668,607,1109,1100
Auckland,Maori,65-69,Female,508,506,520,977,973
Auckland,Maori,65-69,Male,398,395,421,945,938
Auckland,Maori,70-74,Female,311,310,304,1023,1020
Auckland,Maori,70-74,Male,282,279,261,1080,1069
Auckland,Maori,75-79,Female,159,157,158,1006,994
Auckland,Maori,75-79,Male,150,147,138,1087,1065
Auckland,Maori,80-84,Female,119,119,122,975,975
Auckland,Maori,80-84,Male,80,78,74,1081,1054
Auckland,Maori,85-89,Female,55,53,53,1038,1000
Auckland,Maori,85-89,Male,29,28,27,1074,1037
Auckland,Maori,90+,Female,29,28,22,1318,1273
Auckland,Pacific Peoples,12-17,Female,2745,2644,2957,928,894
Auckland,Pacific Peoples,12-17,Male,2766,2639,3058,905,863
Auckland,Pacific Peoples,18-24,Female,3517,3440,3766,934,913
Auckland,Pacific Peoples,18-24,Male,3294,3163,3536,932,895
Auckland,Pacific Peoples,18-24,Unknown/Other,18,18,6,3000,3000
Auckland,Pacific Peoples,25-29,Female,2402,2332,2713,885,860
Auckland,Pacific Peoples,25-29,Male,2405,2303,2582,931,892
Auckland,Pacific Peoples,30-34,Female,2025,1975,2120,955,932
Auckland,Pacific Peoples,30-34,Male,1997,1923,1958,1020,982
Auckland,Pacific Peoples,35-39,Female,1598,1567,1819,879,861
Auckland,Pacific Peoples,35-39,Male,1627,1574,1791,908,879
Auckland,Pacific Peoples,40-44,Female,1594,1566,1764,904,888
Auckland,Pacific Peoples,40-44,Male,1605,1563,1630,985,959
Auckland,Pacific Peoples,45-49,Female,1611,1597,1728,932,924
Auckland,Pacific Peoples,45-49,Male,1560,1535,1671,934,919
Auckland,Pacific Peoples,50-54,Female,1614,1601,1810,892,885
Auckland,Pacific Peoples,50-54,Male,1588,1565,1678,946,933
Auckland,Pacific Peoples,55-59,Female,1544,1531,1566,986,978
Auckland,Pacific Peoples,55-59,Male,1415,1398,1431,989,977
Auckland,Pacific Peoples,60-64,Female,1249,1238,1274,980,972
Auckland,Pacific Peoples,60-64,Male,1163,1154,1187,980,972
Auckland,Pacific Peoples,65-69,Female,920,911,974,945,935
Auckland,Pacific Peoples,65-69,Male,893,884,915,976,966
Auckland,Pacific Peoples,70-74,Female,676,670,666,1015,1006
Auckland,Pacific Peoples,70-74,Male,565,559,559,1011,1000
Auckland,Pacific Peoples,75-79,Female,457,453,482,948,940
Auckland,Pacific Peoples,75-79,Male,320,314,336,952,935
Auckland,Pacific Peoples,80-84,Female,318,308,326,975,945
Auckland,Pacific Peoples,80-84,Male,182,180,185,984,973
Auckland,Pacific Peoples,85-89,Female,161,156,185,870,843
Auckland,Pacific Peoples,85-89,Male,81,78,79,1025,987
Auckland,Pacific Peoples,90+,Female,81,77,81,1000,951
Auckland,Pacific Peoples,90+,Male,25,24,24,1042,1000
Auckland,Unknown,12-17,Female,270,253,29,9310,8724
Auckland,Unknown,12-17,Male,274,257,21,13048,12238
Auckland,Unknown,18-24,Female,448,438,33,13576,13273
Auckland,Unknown,18-24,Male,490,472,30,16333,15733
Auckland,Unknown,25-29,Female,796,776,50,15920,15520
Auckland,Unknown,25-29,Male,721,693,46,15674,15065
Auckland,Unknown,30-34,Female,780,760,48,16250,15833
Auckland,Unknown,30-34,Male,944,899,58,16276,15500
Auckland,Unknown,35-39,Female,483,473,50,9660,9460
Auckland,Unknown,35-39,Male,725,680,98,7398,6939
Auckland,Unknown,40-44,Female,323,319,50,6460,6380
Auckland,Unknown,40-44,Male,531,506,81,6556,6247
Auckland,Unknown,45-49,Female,251,247,42,5976,5881
Auckland,Unknown,45-49,Male,422,387,103,4097,3757
Auckland,Unknown,50-54,Female,187,182,40,4675,4550
Auckland,Unknown,50-54,Male,343,312,91,3769,3429
Auckland,Unknown,55-59,Female,196,189,40,4900,4725
Auckland,Unknown,55-59,Male,312,284,87,3586,3264
Auckland,Unknown,60-64,Female,182,178,39,4667,4564
Auckland,Unknown,60-64,Male,224,216,82,2732,2634
Auckland,Unknown,65-69,Female,115,112,43,2674,2605
Auckland,Unknown,65-69,Male,178,174,77,2312,2260
Auckland,Unknown,70-74,Female,68,67,44,1545,1523
Auckland,Unknown,70-74,Male,90,86,47,1915,1830
Auckland,Unknown,75-79,Female,38,34,26,1462,1308
Auckland,Unknown,75-79,Male,29,27,18,1611,1500
Auckland,Unknown,80-84,Female,19,18,22,864,818
Auckland,Unknown,80-84,Male,11,11,10,1100,1100
Auckland,Unknown,85-89,Female,8,7,12,667,583
Bay of Plenty,Asian,12-17,Female,621,595,545,1139,1092
Bay of Plenty,Asian,12-17,Male,702,676,601,1168,1125
Bay of Plenty,Asian,18-24,Female,612,606,477,1283,1270
Bay of Plenty,Asian,18-24,Male,1261,1240,671,1879,1848
Bay of Plenty,Asian,25-29,Female,1020,1013,948,1076,1069
Bay of Plenty,Asian,25-29,Male,1709,1682,1083,1578,1553
Bay of Plenty,Asian,30-34,Female,1375,1361,1117,1231,1218
Bay of Plenty,Asian,30-34,Male,1443,1418,1026,1406,1382
Bay of Plenty,Asian,35-39,Female,1043,1034,919,1135,1125
Bay of Plenty,Asian,35-39,Male,1005,990,739,1360,1340
Bay of Plenty,Asian,40-44,Female,767,758,678,1131,1118
Bay of Plenty,Asian,40-44,Male,735,729,604,1217,1207
Bay of Plenty,Asian,45-49,Female,652,645,556,1173,1160
Bay of Plenty,Asian,45-49,Male,572,565,407,1405,1388
Bay of Plenty,Asian,50-54,Female,424,422,399,1063,1058
Bay of Plenty,Asian,50-54,Male,375,371,318,1179,1167
Bay of Plenty,Asian,55-59,Female,362,356,328,1104,1085
Bay of Plenty,Asian,55-59,Male,259,257,240,1079,1071
Bay of Plenty,Asian,60-64,Female,310,309,313,990,987
Bay of Plenty,Asian,60-64,Male,191,190,206,927,922
Bay of Plenty,Asian,65-69,Female,235,233,249,944,936
Bay of Plenty,Asian,65-69,Male,189,187,192,984,974
Bay of Plenty,Asian,70-74,Female,173,172,157,1102,1096
Bay of Plenty,Asian,70-74,Male,131,128,132,992,970
Bay of Plenty,Asian,75-79,Female,73,72,73,1000,986
Bay of Plenty,Asian,75-79,Male,71,70,63,1127,1111
Bay of Plenty,Asian,80-84,Female,47,46,45,1044,1022
Bay of Plenty,Asian,80-84,Male,39,38,42,929,905
Bay of Plenty,Asian,85-89,Female,13,13,9,1444,1444
Bay of Plenty,Asian,85-89,Male,14,14,14,1000,1000
Bay of Plenty,Asian,90+,Male,5,0,5,1000,800
Bay of Plenty,European or Other,12-17,Female,5037,4851,5558,906,873
Bay of Plenty,European or Other,12-17,Male,5343,5120,5808,920,882
Bay of Plenty,European or Other,18-24,Female,4699,4622,5030,934,919
Bay of Plenty,European or Other,18-24,Male,5065,4939,5353,946,923
Bay of Plenty,European or Other,25-29,Female,3914,3832,4548,861,843
Bay of Plenty,European or Other,25-29,Male,3758,3640,4018,935,906
Bay of Plenty,European or Other,25-29,Unknown/Other,10,10,8,1250,1250
Bay of Plenty,European or Other,30-34,Female,4811,4707,5173,930,910
Bay of Plenty,European or Other,30-34,Male,4306,4189,4364,987,960
Bay of Plenty,European or Other,35-39,Female,4609,4517,4998,922,904
Bay of Plenty,European or Other,35-39,Male,4154,4046,4396,945,920
Bay of Plenty,European or Other,40-44,Female,4350,4291,4905,887,875
Bay of Plenty,European or Other,40-44,Male,4080,3985,4551,897,876
Bay of Plenty,European or Other,45-49,Female,5032,4966,6005,838,827
Bay of Plenty,European or Other,45-49,Male,4775,4705,5473,872,860
Bay of Plenty,European or Other,50-54,Female,5675,5622,6249,908,900
Bay of Plenty,European or Other,50-54,Male,5187,5117,5645,919,906
Bay of Plenty,European or Other,55-59,Female,5861,5820,6542,896,890
Bay of Plenty,European or Other,55-59,Male,5532,5466,6142,901,890
Bay of Plenty,European or Other,60-64,Female,6131,6079,6497,944,936
Bay of Plenty,European or Other,60-64,Male,5655,5611,6024,939,931
Bay of Plenty,European or Other,65-69,Female,6048,6006,6364,950,944
Bay of Plenty,European or Other,65-69,Male,5572,5539,5918,942,936
Bay of Plenty,European or Other,70-74,Female,5854,5830,6119,957,953
Bay of Plenty,European or Other,70-74,Male,5499,5474,5809,947,942
Bay of Plenty,European or Other,75-79,Female,4700,4671,4782,983,977
Bay of Plenty,European or Other,75-79,Male,4299,4282,4228,1017,1013
Bay of Plenty,European or Other,80-84,Female,3589,3571,3210,1118,1112
Bay of Plenty,European or Other,80-84,Male,3113,3095,2866,1086,1080
Bay of Plenty,European or Other,85-89,Female,1966,1943,1980,993,981
Bay of Plenty,European or Other,85-89,Male,1575,1562,1477,1066,1058
Bay of Plenty,European or Other,90+,Female,1386,1364,1302,1065,1048
Bay of Plenty,European or Other,90+,Male,844,828,724,1166,1144
Bay of Plenty,Maori,12-17,Female,3066,2784,3622,846,769
Bay of Plenty,Maori,12-17,Male,3154,2840,3776,835,752
Bay of Plenty,Maori,18-24,Female,2870,2687,3533,812,761
Bay of Plenty,Maori,18-24,Male,2901,2641,3413,850,774
Bay of Plenty,Maori,25-29,Female,1893,1758,2388,793,736
Bay of Plenty,Maori,25-29,Male,1768,1601,2195,805,729
Bay of Plenty,Maori,30-34,Female,1739,1634,2116,822,772
Bay of Plenty,Maori,30-34,Male,1606,1473,1894,848,778
Bay of Plenty,Maori,35-39,Female,1588,1510,1916,829,788
Bay of Plenty,Maori,35-39,Male,1394,1294,1674,833,773
Bay of Plenty,Maori,40-44,Female,1614,1550,1834,880,845
Bay of Plenty,Maori,40-44,Male,1396,1317,1639,852,804
Bay of Plenty,Maori,45-49,Female,1626,1583,1896,858,835
Bay of Plenty,Maori,45-49,Male,1428,1360,1638,872,830
Bay of Plenty,Maori,50-54,Female,1595,1554,1746,914,890
Bay of Plenty,Maori,50-54,Male,1400,1348,1564,895,862
Bay of Plenty,Maori,55-59,Female,1599,1559,1790,893,871
Bay of Plenty,Maori,55-59,Male,1336,1299,1525,876,852
