Vaccine,Dose number,Ethnicity,Number of doses administered
AstraZeneca,1,Maori,366
AstraZeneca,1,Other,2841
AstraZeneca,1,Pacific Peoples,112
AstraZeneca,2,Maori,360
AstraZeneca,2,Other,3039
AstraZeneca,2,Pacific Peoples,249
AstraZeneca,BOOSTER 1,Maori,100
AstraZeneca,BOOSTER 1,Other,1692
AstraZeneca,BOOSTER 1,Pacific Peoples,90
AstraZeneca,BOOSTER 2,Maori,12
AstraZeneca,BOOSTER 2,Other,160
AstraZeneca,THIRD_PRIMARY,Other,22
Novavax,1,Maori,196
Novavax,1,Other,2174
Novavax,1,Pacific Peoples,61
Novavax,2,Maori,173
Novavax,2,Other,2059
Novavax,2,Pacific Peoples,48
Novavax,BOOSTER,Other,5
Novavax,BOOSTER 1,Maori,68
Novavax,BOOSTER 1,Other,908
Novavax,BOOSTER 1,Pacific Peoples,8
Novavax,BOOSTER 2,Maori,75
Novavax,BOOSTER 2,Other,1534
Novavax,BOOSTER 2,Pacific Peoples,20
Novavax,THIRD_PRIMARY,Other,32
Paediatric Pfizer,1,Maori,42588
Paediatric Pfizer,1,Other,202062
Paediatric Pfizer,1,Pacific Peoples,24825
Paediatric Pfizer,2,Maori,18716
Paediatric Pfizer,2,Other,125214
Paediatric Pfizer,2,Pacific Peoples,11066
Paediatric Pfizer,BOOSTER 1,Other,20
Paediatric Pfizer,THIRD_PRIMARY,Maori,9
Paediatric Pfizer,THIRD_PRIMARY,Other,87
Pfizer BioNTech COVID-19,1,Maori,526448
Pfizer BioNTech COVID-19,1,Other,3220595
Pfizer BioNTech COVID-19,1,Pacific Peoples,277821
Pfizer BioNTech COVID-19,2,Maori,509834
Pfizer BioNTech COVID-19,2,Other,3193775
Pfizer BioNTech COVID-19,2,Pacific Peoples,274001
Pfizer BioNTech COVID-19,BOOSTER,Maori,21
Pfizer BioNTech COVID-19,BOOSTER,Other,318
Pfizer BioNTech COVID-19,BOOSTER,Pacific Peoples,7
Pfizer BioNTech COVID-19,BOOSTER 1,Maori,254866
Pfizer BioNTech COVID-19,BOOSTER 1,Other,2339135
Pfizer BioNTech COVID-19,BOOSTER 1,Pacific Peoples,155079
Pfizer BioNTech COVID-19,BOOSTER 2,Maori,56812
Pfizer BioNTech COVID-19,BOOSTER 2,Other,655293
Pfizer BioNTech COVID-19,BOOSTER 2,Pacific Peoples,26576
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Maori,2424
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Other,27764
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Pacific Peoples,1151
