SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"8,555","7,101","6,671","6,096","2,796","1,214",476,83%,78%,46%,39%
Unknown,Unknown,Unknown,Maori,5-11,"1,600",477,204,NA,NA,NA,NA,30%,13%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,143",Masked,Masked,"3,088","1,705",349,112,>95%,>95%,55%,32%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,312,138,52,NA,NA,NA,NA,44%,17%,NA,NA
100100,North Cape,Northland,Maori,12+,898,769,752,691,432,278,112,86%,84%,63%,40%
100100,North Cape,Northland,Maori,5-11,138,45,17,NA,NA,NA,NA,33%,12%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,059",887,853,800,409,265,61,84%,81%,51%,23%
100200,Rangaunu Harbour,Northland,Maori,5-11,199,34,13,NA,NA,NA,NA,17%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,560,462,449,426,233,158,51,82%,80%,55%,32%
100400,Karikari Peninsula,Northland,Maori,5-11,91,20,Masked,NA,NA,NA,NA,22%,5%,NA,NA
100500,Tangonge,Northland,Maori,12+,604,507,494,449,258,160,39,84%,82%,57%,24%
100500,Tangonge,Northland,Maori,5-11,99,22,Masked,NA,NA,NA,NA,22%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,585,476,461,439,257,178,29,81%,79%,59%,16%
100600,Ahipara,Northland,Maori,5-11,102,34,8,NA,NA,NA,NA,33%,8%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,333","1,130","1,064",982,456,247,59,85%,80%,46%,24%
100700,Kaitaia East,Northland,Maori,5-11,297,84,25,NA,NA,NA,NA,28%,8%,NA,NA
