SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"9,905","8,241","7,769","7,018","3,294","1,479",442,83%,78%,47%,30%
Unknown,Unknown,Unknown,Maori,5-11,"1,815",538,225,NA,NA,NA,NA,30%,12%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,489",Masked,Masked,"3,360","1,882",433,103,>95%,>95%,56%,24%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,342,150,55,NA,NA,NA,NA,44%,16%,NA,NA
100100,North Cape,Northland,Maori,12+,915,784,767,701,433,276,90,86%,84%,62%,33%
100100,North Cape,Northland,Maori,5-11,144,44,16,NA,NA,NA,NA,31%,11%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,048",881,847,787,401,253,46,84%,81%,51%,18%
100200,Rangaunu Harbour,Northland,Maori,5-11,190,34,14,NA,NA,NA,NA,18%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,550,460,446,421,231,160,38,84%,81%,55%,24%
100400,Karikari Peninsula,Northland,Maori,5-11,88,20,Masked,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,600,504,491,445,257,146,27,84%,82%,58%,18%
100500,Tangonge,Northland,Maori,5-11,99,21,Masked,NA,NA,NA,NA,21%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,601,490,475,447,263,171,23,82%,79%,59%,13%
100600,Ahipara,Northland,Maori,5-11,106,36,9,NA,NA,NA,NA,34%,8%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,333","1,137","1,073",975,458,230,53,85%,80%,47%,23%
100700,Kaitaia East,Northland,Maori,5-11,292,81,24,NA,NA,NA,NA,28%,8%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,59,53,52,49,26,7,NA,90%,88%,53%,0%
100800,Kaitaia West,Northland,Maori,12+,"1,931","1,593","1,501","1,348",635,359,77,82%,78%,47%,21%
100800,Kaitaia West,Northland,Maori,5-11,371,82,29,NA,NA,NA,NA,22%,8%,NA,NA
