Vaccine,Dose number,Ethnicity,Number of doses administered
AstraZeneca,1,Maori,363
AstraZeneca,1,Other,2846
AstraZeneca,1,Pacific Peoples,109
AstraZeneca,2,Maori,356
AstraZeneca,2,Other,3041
AstraZeneca,2,Pacific Peoples,243
AstraZeneca,BOOSTER 1,Maori,103
AstraZeneca,BOOSTER 1,Other,1739
AstraZeneca,BOOSTER 1,Pacific Peoples,98
AstraZeneca,BOOSTER 2,Maori,12
AstraZeneca,BOOSTER 2,Other,159
AstraZeneca,THIRD_PRIMARY,Other,23
Novavax,1,Maori,189
Novavax,1,Other,2126
Novavax,1,Pacific Peoples,59
Novavax,2,Maori,166
Novavax,2,Other,1974
Novavax,2,Pacific Peoples,45
Novavax,BOOSTER 1,Maori,59
Novavax,BOOSTER 1,Other,697
Novavax,BOOSTER 1,Pacific Peoples,5
Novavax,BOOSTER 2,Maori,49
Novavax,BOOSTER 2,Other,872
Novavax,BOOSTER 2,Pacific Peoples,9
Novavax,THIRD_PRIMARY,Other,31
Paediatric Pfizer,1,Maori,42286
Paediatric Pfizer,1,Other,200462
Paediatric Pfizer,1,Pacific Peoples,24689
Paediatric Pfizer,2,Maori,18113
Paediatric Pfizer,2,Other,121547
Paediatric Pfizer,2,Pacific Peoples,10567
Paediatric Pfizer,BOOSTER 1,Maori,5
Paediatric Pfizer,BOOSTER 1,Other,20
Paediatric Pfizer,THIRD_PRIMARY,Maori,9
Paediatric Pfizer,THIRD_PRIMARY,Other,78
Pfizer BioNTech COVID-19,1,Maori,523663
Pfizer BioNTech COVID-19,1,Other,3223785
Pfizer BioNTech COVID-19,1,Pacific Peoples,276981
Pfizer BioNTech COVID-19,2,Maori,506915
Pfizer BioNTech COVID-19,2,Other,3196503
Pfizer BioNTech COVID-19,2,Pacific Peoples,273063
Pfizer BioNTech COVID-19,BOOSTER,Maori,9
Pfizer BioNTech COVID-19,BOOSTER,Other,84
Pfizer BioNTech COVID-19,BOOSTER 1,Maori,250625
Pfizer BioNTech COVID-19,BOOSTER 1,Other,2326911
Pfizer BioNTech COVID-19,BOOSTER 1,Pacific Peoples,152682
Pfizer BioNTech COVID-19,BOOSTER 2,Maori,41394
Pfizer BioNTech COVID-19,BOOSTER 2,Other,511225
Pfizer BioNTech COVID-19,BOOSTER 2,Pacific Peoples,19217
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Maori,2372
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Other,27638
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Pacific Peoples,1127
