Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,297","25,852","18,553","11,094","4,137",>95%,94%,72%,37%
Ashburton District,5-11,"3,235","1,723",854,NA,NA,NA,NA,53%,26%,NA,NA
Auckland,12+,"1,468,419","1,365,098","1,348,150","1,273,157","908,451","413,968","164,573",93%,92%,71%,40%
Auckland,5-11,"161,323","91,547","53,574",NA,Masked,NA,NA,57%,33%,>95%,NA
Buller District,12+,"8,707","7,783","7,654","7,308","5,275","3,887","1,416",89%,88%,72%,36%
Buller District,5-11,740,326,179,NA,NA,NA,NA,44%,24%,NA,NA
Carterton District,12+,"8,651","8,142","8,008","7,591","5,683","3,956","1,678",94%,93%,75%,42%
Carterton District,5-11,832,427,216,NA,NA,NA,NA,51%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,721","11,094","7,937","5,162","1,872",>95%,94%,72%,36%
Central Hawke's Bay District,5-11,"1,456",650,286,NA,NA,NA,NA,45%,20%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,939","14,297","9,213","3,993",>95%,>95%,75%,43%
Central Otago District,5-11,"1,816","1,001",519,NA,NA,NA,NA,55%,29%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,302,226,143,29,>95%,>95%,75%,20%
Chatham Islands Territory,5-11,14,10,Masked,NA,NA,NA,NA,71%,36%,NA,NA
Christchurch City,12+,"343,918","326,654","323,246","307,623","230,831","114,383","49,669",95%,94%,75%,43%
Christchurch City,5-11,"31,208","18,104","10,727",NA,Masked,NA,NA,58%,34%,>95%,NA
Clutha District,12+,"15,517","14,181","13,973","13,256","9,073","5,841","1,967",91%,90%,68%,34%
Clutha District,5-11,"1,567",717,326,NA,NA,NA,NA,46%,21%,NA,NA
Dunedin City,12+,"114,950",Masked,Masked,"106,291","83,960","40,102","18,612",>95%,>95%,79%,46%
Dunedin City,5-11,"9,480","5,903","3,613",NA,NA,NA,NA,62%,38%,NA,NA
Far North District,12+,"59,649","50,874","49,326","46,706","30,525","21,504","7,384",85%,83%,65%,34%
Far North District,5-11,"7,197","1,928",788,NA,NA,NA,NA,27%,11%,NA,NA
Gisborne District,12+,"42,561","38,586","37,585","35,159","23,183","13,565","5,068",91%,88%,66%,37%
Gisborne District,5-11,"5,401","2,529","1,417",NA,NA,NA,NA,47%,26%,NA,NA
Gore District,12+,"11,003","9,992","9,847","9,339","6,496","4,242","1,356",91%,89%,70%,32%
Gore District,5-11,"1,073",346,193,NA,NA,NA,NA,32%,18%,NA,NA
Grey District,12+,"11,872","10,867","10,645","10,084","7,061","4,610","1,607",92%,90%,70%,35%
Grey District,5-11,"1,138",511,275,NA,NA,NA,NA,45%,24%,NA,NA
Hamilton City,12+,"147,441","137,677","135,382","127,734","85,729","38,059","15,238",93%,92%,67%,40%
Hamilton City,5-11,"17,497","8,544","4,342",NA,NA,NA,NA,49%,25%,NA,NA
Hastings District,12+,"74,221","70,490","69,155","65,100","44,775","25,412","8,950",95%,93%,69%,35%
Hastings District,5-11,"8,650","3,765","1,759",NA,NA,NA,NA,44%,20%,NA,NA
Hauraki District,12+,"18,063","15,918","15,564","14,825","10,027","7,183","2,638",88%,86%,68%,37%
Hauraki District,5-11,"1,779",592,276,NA,NA,NA,NA,33%,16%,NA,NA
Horowhenua District,12+,"30,027","27,737","27,201","25,806","18,317","12,769","5,694",92%,91%,71%,45%
Horowhenua District,5-11,"3,095","1,249",563,NA,NA,NA,NA,40%,18%,NA,NA
Hurunui District,12+,"11,490","10,546","10,374","9,852","7,072","4,601","1,701",92%,90%,72%,37%
Hurunui District,5-11,"1,158",536,285,NA,NA,NA,NA,46%,25%,NA,NA
Invercargill City,12+,"47,368","44,210","43,513","41,151","29,047","16,936","6,441",93%,92%,71%,38%
Invercargill City,5-11,"5,029","2,342","1,222",NA,NA,NA,NA,47%,24%,NA,NA
Kaikoura District,12+,"3,527","3,214","3,180","3,050","2,256","1,600",608,91%,90%,74%,38%
Kaikoura District,5-11,296,133,78,NA,NA,NA,NA,45%,26%,NA,NA
Kaipara District,12+,"21,487","18,170","17,690","16,975","11,160","7,901","2,477",85%,82%,66%,31%
Kaipara District,5-11,"2,339",657,282,NA,NA,NA,NA,28%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,882","45,364","43,103","33,899","22,646","11,513",94%,93%,79%,51%
Kapiti Coast District,5-11,"4,477","2,365","1,461",NA,NA,NA,NA,53%,33%,NA,NA
Kawerau District,12+,"6,360","5,486","5,275","4,969","2,967","2,110",793,86%,83%,60%,38%
