Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,235136,Maori
Pfizer BioNTech COVID-19,1,275942,Pacific Peoples
Pfizer BioNTech COVID-19,2,872,European or other
Pfizer BioNTech COVID-19,Third primary,371,Unknown
AstraZeneca,Booster,103,Unknown
AstraZeneca,1,47,Unknown
Pfizer BioNTech COVID-19,1,520153,Maori
Paediatric Pfizer,1,59371,Asian
Pfizer BioNTech COVID-19,2,33385,Unknown
AstraZeneca,2,2697,European or other
AstraZeneca,2,248,Pacific Peoples
Paediatric Pfizer,2,583,Unknown
Novavax,Booster,21,Asian
Pfizer BioNTech COVID-19,2,503035,Maori
Pfizer BioNTech COVID-19,Booster,424694,Asian
Paediatric Pfizer,2,66447,European or other
Paediatric Pfizer,1,23724,Pacific Peoples
Novavax,1,1311,European or other
AstraZeneca,Booster,1249,European or other
AstraZeneca,Booster,93,Maori
AstraZeneca,2,347,Maori
Novavax,1,23,Unknown
Novavax,Third primary,13,European or other
Pfizer BioNTech COVID-19,2,39,Maori
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,1,2559778,European or other
Pfizer BioNTech COVID-19,Booster,139884,Pacific Peoples
Paediatric Pfizer,1,136169,European or other
AstraZeneca,1,2569,European or other
Novavax,2,1002,European or other
AstraZeneca,1,364,Maori
Novavax,2,18,Unknown
Pfizer BioNTech COVID-19,2,6,Unknown
Pfizer BioNTech COVID-19,2,271889,Pacific Peoples
AstraZeneca,2,225,Asian
Novavax,1,130,Maori
AstraZeneca,1,108,Pacific Peoples
Pfizer BioNTech COVID-19,2,72,Asian
Novavax,2,19,Pacific Peoples
Paediatric Pfizer,2,29943,Asian
Pfizer BioNTech COVID-19,2,2535995,European or other
Pfizer BioNTech COVID-19,Booster,26187,Unknown
Paediatric Pfizer,2,13396,Maori
Pfizer BioNTech COVID-19,Third primary,2385,Maori
Pfizer BioNTech COVID-19,Third primary,1963,Asian
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,5,Asian
AstraZeneca,Booster,239,Asian
Pfizer BioNTech COVID-19,1,631502,Asian
Pfizer BioNTech COVID-19,2,627902,Asian
Pfizer BioNTech COVID-19,Third primary,25881,European or other
Paediatric Pfizer,2,6744,Pacific Peoples
Novavax,2,221,Asian
Novavax,1,314,Asian
AstraZeneca,2,90,Unknown
AstraZeneca,Booster,92,Pacific Peoples
Novavax,1,33,Pacific Peoples
Paediatric Pfizer,Third primary,25,European or other
Pfizer BioNTech COVID-19,Booster,1805321,European or other
Pfizer BioNTech COVID-19,1,34221,Unknown
Paediatric Pfizer,1,41232,Maori
Pfizer BioNTech COVID-19,Third primary,1155,Pacific Peoples
Novavax,Booster,8,Maori
Paediatric Pfizer,1,1196,Unknown
Novavax,2,73,Maori
Novavax,Booster,108,European or other
Pfizer BioNTech COVID-19,2,15,Pacific Peoples
AstraZeneca,Third primary,22,European or other
