DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4507,4455,"1,464",209,4302
Auckland,Asian,12-17,Male,4772,4698,"1,547",180,4464
Auckland,Asian,12-17,Unknown/Other,18,17,14,<5,7
Auckland,Asian,18-24,Female,7650,7614,"7,579","5,175",6671
Auckland,Asian,18-24,Male,7889,7826,"7,773","4,581",6297
Auckland,Asian,18-24,Unknown/Other,92,89,89,44,16
Auckland,Asian,25-29,Female,7795,7768,"7,734","5,422",8392
Auckland,Asian,25-29,Male,8950,8877,"8,836","5,324",7740
Auckland,Asian,25-29,Unknown/Other,123,121,120,71,25
Auckland,Asian,30-34,Female,9101,9050,"8,999","6,412",9316
Auckland,Asian,30-34,Male,9133,9050,"9,005","6,051",8382
Auckland,Asian,30-34,Unknown/Other,89,89,87,42,19
Auckland,Asian,35-39,Female,7768,7715,"7,663","5,625",8154
Auckland,Asian,35-39,Male,7891,7823,"7,782","5,458",7336
Auckland,Asian,35-39,Unknown/Other,64,64,64,38,14
Auckland,Asian,40-44,Female,5950,5917,"5,886","4,468",5623
Auckland,Asian,40-44,Male,5950,5888,"5,851","4,291",5231
Auckland,Asian,40-44,Unknown/Other,41,39,39,27,15
Auckland,Asian,45-49,Female,4723,4696,"4,673","3,610",4861
Auckland,Asian,45-49,Male,4353,4307,"4,280","3,286",3985
Auckland,Asian,5-11,Female,4856,2567,NA,NA,6528
Auckland,Asian,5-11,Male,4858,2532,NA,NA,6688
Auckland,Asian,50-54,Female,4441,4420,"4,401","3,474",4411
Auckland,Asian,50-54,Male,3565,3541,"3,520","2,783",3467
Auckland,Asian,55-59,Female,4036,4013,"3,991","3,198",4228
Auckland,Asian,55-59,Male,3414,3383,"3,371","2,724",3468
Auckland,Asian,60-64,Female,3286,3271,"3,253","2,691",3608
Auckland,Asian,60-64,Male,2737,2723,"2,713","2,312",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2865,2858,"2,837","2,362",2935
Auckland,Asian,65-69,Male,2390,2379,"2,365","1,995",2584
Auckland,Asian,70-74,Female,1854,1846,"1,831","1,593",1918
Auckland,Asian,70-74,Male,1745,1739,"1,721","1,524",1743
Auckland,Asian,75-79,Female,1135,1132,"1,119",987,1240
Auckland,Asian,75-79,Male,983,975,972,858,1080
Auckland,Asian,80-84,Female,878,869,864,754,943
Auckland,Asian,80-84,Male,718,715,711,638,819
Auckland,Asian,85-89,Female,431,423,419,359,441
Auckland,Asian,85-89,Male,431,428,425,378,420
Auckland,Asian,90+,Female,193,193,191,170,179
Auckland,Asian,90+,Male,123,122,120,104,126
Auckland,European or Other,12-17,Female,7039,6990,"2,338",321,7315
Auckland,European or Other,12-17,Male,7242,7159,"2,391",301,7448
Auckland,European or Other,12-17,Unknown/Other,8,8,<5,<5,8
Auckland,European or Other,18-24,Female,10712,10662,"10,608","7,670",11536
Auckland,European or Other,18-24,Male,9993,9913,"9,856","6,130",10369
Auckland,European or Other,18-24,Unknown/Other,43,42,42,31,38
Auckland,European or Other,25-29,Female,10399,10340,"10,301","7,522",11855
Auckland,European or Other,25-29,Male,10446,10371,"10,300","6,527",10769
Auckland,European or Other,25-29,Unknown/Other,49,49,49,32,23
Auckland,European or Other,30-34,Female,9626,9578,"9,517","7,074",10714
Auckland,European or Other,30-34,Male,10409,10322,"10,237","6,777",10361
Auckland,European or Other,30-34,Unknown/Other,38,38,38,24,22
Auckland,European or Other,35-39,Female,7640,7587,"7,543","5,838",8521
Auckland,European or Other,35-39,Male,8313,8251,"8,189","5,869",8574
Auckland,European or Other,35-39,Unknown/Other,16,15,15,10,15
Auckland,European or Other,40-44,Female,7116,7074,"7,048","5,739",8032
Auckland,European or Other,40-44,Male,7482,7428,"7,392","5,682",8027
Auckland,European or Other,45-49,Female,7882,7847,"7,814","6,635",8961
Auckland,European or Other,45-49,Male,8014,7958,"7,910","6,402",8951
Auckland,European or Other,5-11,Female,5371,2987,NA,NA,7739
Auckland,European or Other,5-11,Male,5739,3189,NA,NA,8273
Auckland,European or Other,50-54,Female,8135,8103,"8,076","7,035",8362
Auckland,European or Other,50-54,Male,8565,8521,"8,484","7,187",8858
Auckland,European or Other,50-54,Unknown/Other,8,8,8,7,5
Auckland,European or Other,55-59,Female,7409,7373,"7,334","6,513",8093
Auckland,European or Other,55-59,Male,8092,8046,"8,004","6,887",8644
Auckland,European or Other,60-64,Female,6746,6717,"6,689","6,051",6988
Auckland,European or Other,60-64,Male,7246,7207,"7,174","6,372",7440
Auckland,European or Other,65-69,Female,5708,5688,"5,658","5,191",5985
Auckland,European or Other,65-69,Male,5880,5864,"5,840","5,311",6084
Auckland,European or Other,70-74,Female,5115,5097,"5,064","4,689",5399
Auckland,European or Other,70-74,Male,4995,4982,"4,965","4,639",5182
Auckland,European or Other,75-79,Female,3950,3937,"3,919","3,695",3829
Auckland,European or Other,75-79,Male,3468,3460,"3,449","3,259",3442
Auckland,European or Other,80-84,Female,2940,2933,"2,921","2,775",2825
Auckland,European or Other,80-84,Male,2391,2386,"2,379","2,261",2219
Auckland,European or Other,85-89,Female,1785,1777,"1,766","1,699",1874
Auckland,European or Other,85-89,Male,1166,1165,"1,157","1,115",1257
Auckland,European or Other,90+,Female,1504,1501,"1,498","1,429",1629
Auckland,European or Other,90+,Male,733,732,728,705,782
Auckland,Maori,12-17,Female,1667,1596,439,35,1659
Auckland,Maori,12-17,Male,1659,1593,421,29,1747
Auckland,Maori,18-24,Female,2332,2280,"2,216",990,2396
Auckland,Maori,18-24,Male,2153,2081,"2,018",724,2260
Auckland,Maori,25-29,Female,1521,1489,"1,448",740,1774
Auckland,Maori,25-29,Male,1617,1565,"1,505",659,1611
Auckland,Maori,30-34,Female,1311,1275,"1,237",672,1398
Auckland,Maori,30-34,Male,1267,1236,"1,188",536,1265
Auckland,Maori,35-39,Female,995,967,943,555,1101
Auckland,Maori,35-39,Male,953,926,892,456,1003
Auckland,Maori,40-44,Female,900,883,854,551,1032
Auckland,Maori,40-44,Male,941,912,887,519,997
Auckland,Maori,45-49,Female,989,981,964,691,1169
Auckland,Maori,45-49,Male,987,962,940,629,1053
Auckland,Maori,5-11,Female,936,394,NA,NA,2068
Auckland,Maori,5-11,Male,1037,419,NA,NA,2253
Auckland,Maori,50-54,Female,1028,1019,"1,002",762,1055
Auckland,Maori,50-54,Male,904,882,863,620,911
Auckland,Maori,55-59,Female,914,908,895,740,988
Auckland,Maori,55-59,Male,892,879,869,696,915
Auckland,Maori,60-64,Female,756,749,744,635,744
Auckland,Maori,60-64,Male,672,668,661,573,607
Auckland,Maori,65-69,Female,519,517,513,462,520
Auckland,Maori,65-69,Male,395,395,391,352,421
Auckland,Maori,70-74,Female,307,306,306,279,304
Auckland,Maori,70-74,Male,284,284,282,259,261
Auckland,Maori,75-79,Female,159,157,157,143,158
Auckland,Maori,75-79,Male,146,146,145,130,138
Auckland,Maori,80-84,Female,112,112,111,107,122
Auckland,Maori,80-84,Male,75,75,74,70,74
Auckland,Maori,85-89,Female,48,48,47,43,53
Auckland,Maori,85-89,Male,25,25,25,23,27
Auckland,Maori,90+,Female,27,27,27,24,22
Auckland,Pacific Peoples,12-17,Female,2755,2672,790,28,2957
Auckland,Pacific Peoples,12-17,Male,2783,2687,797,25,3058
Auckland,Pacific Peoples,18-24,Female,3538,3485,"3,402","1,464",3766
Auckland,Pacific Peoples,18-24,Male,3376,3284,"3,160","1,098",3536
Auckland,Pacific Peoples,18-24,Unknown/Other,18,18,18,6,6
Auckland,Pacific Peoples,25-29,Female,2418,2364,"2,307","1,024",2713
Auckland,Pacific Peoples,25-29,Male,2404,2329,"2,245",806,2582
