Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,021","18,075",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,911",774,NA,NA,60%,24%,NA
Auckland,12+,"1,383,349",Masked,Masked,"1,246,618","872,589",>95%,>95%,70%
Auckland,5-11,"163,729","97,959","44,943",NA,NA,60%,27%,NA
Buller District,12+,"8,270","7,762","7,659","7,117","5,180",94%,93%,73%
Buller District,5-11,719,352,146,NA,NA,49%,20%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,344","5,499",>95%,>95%,75%
Carterton District,5-11,834,464,198,NA,NA,56%,24%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,616","7,631",>95%,>95%,72%
Central Hawke's Bay District,5-11,"1,482",710,267,NA,NA,48%,18%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,443","13,896",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,104",495,NA,NA,60%,27%,NA
Chatham Islands Territory,12+,180,Masked,Masked,254,195,>95%,>95%,77%
Chatham Islands Territory,5-11,10,Masked,Masked,NA,NA,>95%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"299,912","223,931",>95%,>95%,75%
Christchurch City,5-11,"31,517","19,554","9,223",NA,NA,62%,29%,NA
Clutha District,12+,"14,979",Masked,"14,098","12,985","8,981",>95%,94%,69%
Clutha District,5-11,"1,658",770,279,NA,NA,46%,17%,NA
Dunedin City,12+,"110,451",Masked,Masked,"104,396","82,019",>95%,>95%,79%
Dunedin City,5-11,"9,730","6,446","3,402",NA,NA,66%,35%,NA
Far North District,12+,"56,393","50,549","49,106","44,548","29,324",90%,87%,66%
Far North District,5-11,"7,086","2,123",609,NA,NA,30%,9%,NA
Gisborne District,12+,"40,629","38,523","37,638","33,876","22,291",95%,93%,66%
Gisborne District,5-11,"5,498","2,735","1,006",NA,NA,50%,18%,NA
Gore District,12+,"10,754","9,991","9,871","9,075","6,417",93%,92%,71%
Gore District,5-11,"1,139",380,170,NA,NA,33%,15%,NA
Grey District,12+,"11,405","10,801","10,618","9,748","6,935",95%,93%,71%
Grey District,5-11,"1,238",568,271,NA,NA,46%,22%,NA
Hamilton City,12+,"137,508",Masked,Masked,"124,150","82,129",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,225","3,437",NA,NA,54%,20%,NA
Hastings District,12+,"69,329",Masked,Masked,"62,365","42,620",>95%,>95%,68%
Hastings District,5-11,"8,928","4,078","1,492",NA,NA,46%,17%,NA
Hauraki District,12+,"17,315","15,815","15,520","14,302","9,727",91%,90%,68%
Hauraki District,5-11,"1,785",658,241,NA,NA,37%,14%,NA
Horowhenua District,12+,"28,779",Masked,"27,272","25,037","17,888",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,411",485,NA,NA,46%,16%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,589","6,922",>95%,>95%,72%
Hurunui District,5-11,"1,176",605,280,NA,NA,51%,24%,NA
Invercargill City,12+,"45,867",Masked,"43,428","39,840","28,342",>95%,95%,71%
Invercargill City,5-11,"5,141","2,563","1,094",NA,NA,50%,21%,NA
Kaikoura District,12+,"3,473","3,195","3,160","2,960","2,201",92%,91%,74%
Kaikoura District,5-11,315,149,67,NA,NA,47%,21%,NA
Kaipara District,12+,"20,170","18,114","17,678","16,396","10,848",90%,88%,66%
Kaipara District,5-11,"2,228",728,252,NA,NA,33%,11%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,032","33,052",>95%,>95%,79%
Kapiti Coast District,5-11,"4,658","2,562","1,388",NA,NA,55%,30%,NA
Kawerau District,12+,"6,115","5,528","5,335","4,717","2,887",90%,87%,61%
Kawerau District,5-11,854,214,39,NA,NA,25%,<5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"80,432","59,962",>95%,>95%,75%
