SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"7,971",Masked,"7,516","6,813","3,187",>95%,94%,47%
Unknown,Unknown,Unknown,Maori,5-11,"1,487",433,168,NA,NA,29%,11%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,208",Masked,Masked,"3,221","1,675",>95%,>95%,52%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,341,125,43,NA,NA,37%,13%,NA
100100,North Cape,Northland,Maori,12+,868,771,755,684,421,89%,87%,62%
100100,North Cape,Northland,Maori,5-11,162,44,13,NA,NA,27%,8%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,020",873,840,766,393,86%,82%,51%
100200,Rangaunu Harbour,Northland,Maori,5-11,188,34,13,NA,NA,18%,7%,NA
100400,Karikari Peninsula,Northland,Maori,12+,538,455,440,411,215,85%,82%,52%
100400,Karikari Peninsula,Northland,Maori,5-11,86,20,Masked,NA,NA,23%,6%,NA
100500,Tangonge,Northland,Maori,12+,563,492,480,431,241,87%,85%,56%
100500,Tangonge,Northland,Maori,5-11,97,19,Masked,NA,NA,20%,<5%,NA
100600,Ahipara,Northland,Maori,12+,581,490,474,439,265,84%,82%,60%
100600,Ahipara,Northland,Maori,5-11,107,36,9,NA,NA,34%,8%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,301","1,154","1,088",966,456,89%,84%,47%
100700,Kaitaia East,Northland,Maori,5-11,287,82,21,NA,NA,29%,7%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,52,Masked,Masked,49,23,>95%,>95%,47%
100800,Kaitaia West,Northland,Maori,12+,"1,834","1,601","1,511","1,338",629,87%,82%,47%
100800,Kaitaia West,Northland,Maori,5-11,399,82,29,NA,NA,21%,7%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,103,94,91,83,43,91%,88%,52%
100900,Rangitihi,Northland,Maori,12+,399,341,327,292,146,85%,82%,50%
100900,Rangitihi,Northland,Maori,5-11,58,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,310,251,239,218,108,81%,77%,50%
101000,Oruru-Parapara,Northland,Maori,5-11,64,14,6,NA,NA,22%,9%,NA
101100,Taumarumaru,Northland,Maori,12+,572,506,480,437,243,88%,84%,56%
101100,Taumarumaru,Northland,Maori,5-11,142,33,9,NA,NA,23%,6%,NA
101200,Herekino-Takahue,Northland,Maori,12+,436,359,338,305,154,82%,78%,50%
101200,Herekino-Takahue,Northland,Maori,5-11,87,25,Masked,NA,NA,29%,<5%,NA
101300,Peria,Northland,Maori,12+,334,257,245,222,107,77%,73%,48%
101300,Peria,Northland,Maori,5-11,84,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,304,242,227,203,102,80%,75%,50%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,73,21,Masked,NA,NA,29%,5%,NA
101500,Whakapaku,Northland,Maori,12+,258,209,196,180,101,81%,76%,56%
101500,Whakapaku,Northland,Maori,5-11,58,18,Masked,NA,NA,31%,5%,NA
101600,Hokianga North,Northland,Maori,12+,667,564,548,498,331,85%,82%,66%
101600,Hokianga North,Northland,Maori,5-11,129,35,8,NA,NA,27%,6%,NA
