Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,276440,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,243900,Maori
Pfizer BioNTech COVID-19,Third primary,357,Unknown
Pfizer BioNTech COVID-19,2,981,European or other
AstraZeneca,1,45,Unknown
AstraZeneca,Booster,100,Unknown
Pfizer BioNTech COVID-19,1,521744,Maori
Paediatric Pfizer,1,60309,Asian
Pfizer BioNTech COVID-19,2,32045,Unknown
AstraZeneca,2,2710,European or other
Paediatric Pfizer,2,654,Unknown
AstraZeneca,2,242,Pacific Peoples
Novavax,Booster,43,Asian
Pfizer BioNTech COVID-19,2,504904,Maori
Pfizer BioNTech COVID-19,Booster,438697,Asian
Paediatric Pfizer,2,76575,European or other
Paediatric Pfizer,1,24271,Pacific Peoples
Novavax,1,1593,European or other
AstraZeneca,Booster,1334,European or other
AstraZeneca,2,353,Maori
Novavax,1,25,Unknown
Novavax,Third primary,35,European or other
AstraZeneca,Booster,101,Maori
Paediatric Pfizer,Booster,18,European or other
Pfizer BioNTech COVID-19,2,43,Maori
Pfizer BioNTech COVID-19,1,2559885,European or other
Pfizer BioNTech COVID-19,Booster,147018,Pacific Peoples
Paediatric Pfizer,1,137289,European or other
Novavax,2,1435,European or other
AstraZeneca,1,367,Maori
AstraZeneca,1,2579,European or other
Pfizer BioNTech COVID-19,2,15,Unknown
Novavax,2,18,Unknown
Novavax,Booster,8,Unknown
Pfizer BioNTech COVID-19,2,272508,Pacific Peoples
Novavax,2,35,Pacific Peoples
Novavax,1,170,Maori
Pfizer BioNTech COVID-19,2,87,Asian
AstraZeneca,1,109,Pacific Peoples
AstraZeneca,2,233,Asian
Paediatric Pfizer,Third primary,7,Maori
Pfizer BioNTech COVID-19,2,2536569,European or other
Paediatric Pfizer,2,35580,Asian
Pfizer BioNTech COVID-19,Booster,145109,Unknown
Paediatric Pfizer,2,16317,Maori
Pfizer BioNTech COVID-19,Third primary,2502,Maori
Pfizer BioNTech COVID-19,Third primary,2038,Asian
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,10,Asian
AstraZeneca,Booster,269,Asian
AstraZeneca,Third primary,5,Asian
Novavax,Third primary,7,Asian
Pfizer BioNTech COVID-19,1,632317,Asian
Pfizer BioNTech COVID-19,2,628721,Asian
AstraZeneca,2,90,Unknown
Pfizer BioNTech COVID-19,Third primary,27259,European or other
Paediatric Pfizer,2,9121,Pacific Peoples
Novavax,1,367,Asian
Novavax,2,320,Asian
Novavax,1,54,Pacific Peoples
AstraZeneca,Booster,95,Pacific Peoples
Paediatric Pfizer,Third primary,42,European or other
Pfizer BioNTech COVID-19,Booster,1834170,European or other
Paediatric Pfizer,1,41845,Maori
Pfizer BioNTech COVID-19,1,32909,Unknown
Pfizer BioNTech COVID-19,Third primary,1182,Pacific Peoples
Paediatric Pfizer,1,1113,Unknown
Novavax,2,142,Maori
Novavax,Booster,326,European or other
Novavax,Booster,23,Maori
Pfizer BioNTech COVID-19,2,17,Pacific Peoples
AstraZeneca,Third primary,24,European or other
AstraZeneca,2,5,European or other
