DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4515,4456,"1,750",349,4302
Auckland,Asian,12-17,Male,4772,4697,"1,849",305,4464
Auckland,Asian,12-17,Unknown/Other,18,17,16,<5,7
Auckland,Asian,18-24,Female,7737,7696,"7,691","5,413",6671
Auckland,Asian,18-24,Male,7972,7900,"7,890","4,795",6297
Auckland,Asian,18-24,Unknown/Other,90,87,87,46,16
Auckland,Asian,25-29,Female,7793,7766,"7,757","5,591",8392
Auckland,Asian,25-29,Male,8936,8857,"8,847","5,495",7740
Auckland,Asian,25-29,Unknown/Other,109,107,107,64,25
Auckland,Asian,30-34,Female,9057,9009,"8,991","6,613",9316
Auckland,Asian,30-34,Male,9091,9001,"8,989","6,220",8382
Auckland,Asian,30-34,Unknown/Other,82,82,81,41,19
Auckland,Asian,35-39,Female,7777,7728,"7,716","5,807",8154
Auckland,Asian,35-39,Male,7896,7819,"7,808","5,633",7336
Auckland,Asian,35-39,Unknown/Other,63,63,63,41,14
Auckland,Asian,40-44,Female,5944,5910,"5,906","4,562",5623
Auckland,Asian,40-44,Male,5960,5890,"5,875","4,431",5231
Auckland,Asian,40-44,Unknown/Other,38,36,36,24,15
Auckland,Asian,45-49,Female,4715,4685,"4,683","3,686",4861
Auckland,Asian,45-49,Male,4348,4296,"4,291","3,374",3985
Auckland,Asian,5-11,Female,4907,3047,NA,NA,6528
Auckland,Asian,5-11,Male,4890,2999,NA,NA,6688
Auckland,Asian,50-54,Female,4448,4426,"4,415","3,561",4411
Auckland,Asian,50-54,Male,3578,3549,"3,540","2,844",3467
Auckland,Asian,55-59,Female,4022,4000,"3,994","3,253",4228
Auckland,Asian,55-59,Male,3411,3379,"3,376","2,773",3468
Auckland,Asian,60-64,Female,3289,3276,"3,269","2,747",3608
Auckland,Asian,60-64,Male,2733,2723,"2,716","2,341",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2867,2860,"2,855","2,398",2935
Auckland,Asian,65-69,Male,2391,2377,"2,373","2,022",2584
Auckland,Asian,70-74,Female,1860,1851,"1,849","1,622",1918
Auckland,Asian,70-74,Male,1752,1744,"1,742","1,551",1743
Auckland,Asian,75-79,Female,1132,1130,"1,123",999,1240
Auckland,Asian,75-79,Male,981,974,970,870,1080
Auckland,Asian,80-84,Female,877,868,865,772,943
Auckland,Asian,80-84,Male,724,721,718,648,819
Auckland,Asian,85-89,Female,434,426,423,369,441
Auckland,Asian,85-89,Male,428,424,424,383,420
Auckland,Asian,90+,Female,182,182,182,165,179
Auckland,Asian,90+,Male,120,119,119,105,126
Auckland,European or Other,12-17,Female,7050,7005,"2,746",607,7315
Auckland,European or Other,12-17,Male,7265,7193,"2,879",553,7448
Auckland,European or Other,12-17,Unknown/Other,9,9,<5,<5,8
Auckland,European or Other,18-24,Female,11002,10956,"10,949","8,072",11536
Auckland,European or Other,18-24,Male,10179,10101,"10,092","6,408",10369
Auckland,European or Other,18-24,Unknown/Other,51,50,50,36,38
Auckland,European or Other,25-29,Female,10372,10317,"10,306","7,663",11855
Auckland,European or Other,25-29,Male,10439,10368,"10,359","6,725",10769
Auckland,European or Other,25-29,Unknown/Other,50,50,50,32,23
Auckland,European or Other,30-34,Female,9568,9522,"9,510","7,204",10714
Auckland,European or Other,30-34,Male,10359,10274,"10,248","6,912",10361
Auckland,European or Other,30-34,Unknown/Other,34,34,34,26,22
Auckland,European or Other,35-39,Female,7584,7531,"7,518","5,912",8521
Auckland,European or Other,35-39,Male,8286,8226,"8,214","5,973",8574
Auckland,European or Other,35-39,Unknown/Other,14,13,13,9,15
Auckland,European or Other,40-44,Female,7078,7033,"7,025","5,797",8032
Auckland,European or Other,40-44,Male,7436,7389,"7,369","5,724",8027
