Date,Trained Vaccinator,Active Vaccinator
2021-02-28,584,135
2021-03-07,905,249
2021-03-14,1048,322
2021-03-21,1252,417
2021-03-28,1479,583
2021-04-04,1792,744
2021-04-11,2072,917
2021-04-18,2505,1144
2021-04-25,2895,1367
2021-05-02,3389,1551
2021-05-09,4448,1772
2021-05-16,5166,1982
2021-05-23,6110,2209
2021-05-30,6511,2446
2021-06-06,7141,2706
2021-06-13,7678,2926
2021-06-20,8107,3208
2021-06-27,8453,3418
2021-07-04,8622,3631
2021-07-11,8984,3823
2021-07-18,9389,3975
2021-07-25,9785,4256
2021-08-01,10214,4696
2021-08-08,10663,5175
2021-08-15,11005,5627
2021-08-22,11523,5984
2021-08-29,12461,6591
2021-09-05,13105,7183
2021-09-12,13557,7321
