DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland Metro,Asian,12-15,Female,6897,122,9507,725,13
Auckland Metro,Asian,12-15,Male,7247,124,10290,704,12
Auckland Metro,Asian,12-15,Unknown/Other,11,0,8,1375,0
Auckland Metro,Asian,16-19,Female,7413,2123,8658,856,245
Auckland Metro,Asian,16-19,Male,7705,2026,8838,872,229
Auckland Metro,Asian,16-19,Unknown/Other,65,25,20,3250,1250
Auckland Metro,Asian,20-24,Female,11023,4658,13119,840,355
Auckland Metro,Asian,20-24,Male,11650,4012,13140,887,305
Auckland Metro,Asian,20-24,Unknown/Other,124,36,26,4769,1385
Auckland Metro,Asian,25-29,Female,16593,7624,22261,745,342
Auckland Metro,Asian,25-29,Male,18375,7415,21122,870,351
Auckland Metro,Asian,25-29,Unknown/Other,204,79,52,3923,1519
Auckland Metro,Asian,30-34,Female,21391,10129,27585,775,367
Auckland Metro,Asian,30-34,Male,21692,9480,24463,887,388
Auckland Metro,Asian,30-34,Unknown/Other,211,80,58,3638,1379
Auckland Metro,Asian,35-39,Female,20896,10373,26042,802,398
Auckland Metro,Asian,35-39,Male,20763,9457,23286,892,406
Auckland Metro,Asian,35-39,Unknown/Other,117,51,39,3000,1308
Auckland Metro,Asian,40-44,Female,15874,8777,17625,901,498
Auckland Metro,Asian,40-44,Male,16144,8575,16424,983,522
Auckland Metro,Asian,40-44,Unknown/Other,135,56,30,4500,1867
Auckland Metro,Asian,45-49,Female,12623,7330,14609,864,502
Auckland Metro,Asian,45-49,Male,11884,6741,12775,930,528
Auckland Metro,Asian,45-49,Unknown/Other,95,38,18,5278,2111
Auckland Metro,Asian,50-54,Female,11612,7238,13152,883,550
Auckland Metro,Asian,50-54,Male,9885,6111,10867,910,562
Auckland Metro,Asian,50-54,Unknown/Other,59,22,7,8429,3143
Auckland Metro,Asian,55-59,Female,10701,7432,12473,858,596
Auckland Metro,Asian,55-59,Male,9353,6376,10448,895,610
Auckland Metro,Asian,55-59,Unknown/Other,26,13,16,1625,812
