DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland,Asian,12-15,Female,2955,2566,2947,1003,871
Auckland,Asian,12-15,Male,3089,2684,3085,1001,870
Auckland,Asian,16-19,Female,3193,2883,2904,1100,993
Auckland,Asian,16-19,Male,3279,2970,2826,1160,1051
Auckland,Asian,16-19,Unknown/Other,44,40,9,4889,4444
Auckland,Asian,20-24,Female,5817,5285,5122,1136,1032
Auckland,Asian,20-24,Male,5987,5307,4850,1234,1094
Auckland,Asian,20-24,Unknown/Other,80,69,12,6667,5750
Auckland,Asian,25-29,Female,7846,7344,8392,935,875
Auckland,Asian,25-29,Male,8922,8214,7740,1153,1061
Auckland,Asian,25-29,Unknown/Other,134,126,25,5360,5040
Auckland,Asian,30-34,Female,8821,8201,9316,947,880
Auckland,Asian,30-34,Male,8915,8351,8382,1064,996
Auckland,Asian,30-34,Unknown/Other,112,100,19,5895,5263
Auckland,Asian,35-39,Female,7533,7039,8154,924,863
Auckland,Asian,35-39,Male,7603,7188,7336,1036,980
Auckland,Asian,35-39,Unknown/Other,63,59,14,4500,4214
Auckland,Asian,40-44,Female,5638,5386,5623,1003,958
Auckland,Asian,40-44,Male,5625,5382,5231,1075,1029
Auckland,Asian,40-44,Unknown/Other,47,39,15,3133,2600
Auckland,Asian,45-49,Female,4647,4426,4861,956,911
Auckland,Asian,45-49,Male,4207,4022,3985,1056,1009
Auckland,Asian,50-54,Female,4232,4026,4411,959,913
Auckland,Asian,50-54,Male,3378,3265,3467,974,942
Auckland,Asian,55-59,Female,3877,3755,4228,917,888
Auckland,Asian,55-59,Male,3305,3186,3468,953,919
Auckland,Asian,60-64,Female,3137,3010,3608,869,834
Auckland,Asian,60-64,Male,2654,2570,2922,908,880
Auckland,Asian,65-69,Female,2699,2631,2935,920,896
Auckland,Asian,65-69,Male,2249,2181,2584,870,844
Auckland,Asian,70-74,Female,1738,1688,1918,906,880
Auckland,Asian,70-74,Male,1630,1605,1743,935,921
Auckland,Asian,75-79,Female,1095,1059,1240,883,854
Auckland,Asian,75-79,Male,933,898,1080,864,831
Auckland,Asian,80-84,Female,804,779,943,853,826
Auckland,Asian,80-84,Male,687,659,819,839,805
Auckland,Asian,85-89,Female,395,362,441,896,821
Auckland,Asian,85-89,Male,383,368,420,912,876
Auckland,Asian,90+,Female,164,156,179,916,872
Auckland,Asian,90+,Male,105,104,126,833,825
Auckland,European or Other,12-15,Female,4657,4126,4934,944,836
Auckland,European or Other,12-15,Male,4788,4219,5110,937,826
Auckland,European or Other,12-15,Unknown/Other,6,6,5,1200,1200
Auckland,European or Other,16-19,Female,4649,4301,4912,946,876
Auckland,European or Other,16-19,Male,4529,4135,4777,948,866
Auckland,European or Other,16-19,Unknown/Other,9,7,12,750,583
Auckland,European or Other,20-24,Female,8163,7443,9005,906,827
Auckland,European or Other,20-24,Male,7405,6528,7930,934,823
Auckland,European or Other,20-24,Unknown/Other,34,33,29,1172,1138
Auckland,European or Other,25-29,Female,9967,9344,11855,841,788
Auckland,European or Other,25-29,Male,10009,9087,10769,929,844
Auckland,European or Other,25-29,Unknown/Other,50,48,23,2174,2087
Auckland,European or Other,30-34,Female,9155,8566,10714,854,800
Auckland,European or Other,30-34,Male,9959,9184,10361,961,886
Auckland,European or Other,30-34,Unknown/Other,44,41,22,2000,1864
Auckland,European or Other,35-39,Female,7446,6934,8521,874,814
Auckland,European or Other,35-39,Male,7985,7426,8574,931,866
Auckland,European or Other,35-39,Unknown/Other,17,16,15,1133,1067
Auckland,European or Other,40-44,Female,6996,6662,8032,871,829
Auckland,European or Other,40-44,Male,7287,6883,8027,908,857
Auckland,European or Other,45-49,Female,7890,7569,8961,880,845
Auckland,European or Other,45-49,Male,7951,7523,8951,888,840
Auckland,European or Other,50-54,Female,7932,7647,8362,949,914
Auckland,European or Other,50-54,Male,8402,7982,8858,949,901
Auckland,European or Other,50-54,Unknown/Other,9,8,5,1800,1600
Auckland,European or Other,55-59,Female,7385,7157,8093,913,884
Auckland,European or Other,55-59,Male,7897,7588,8644,914,878
Auckland,European or Other,60-64,Female,6664,6465,6988,954,925
Auckland,European or Other,60-64,Male,7090,6872,7440,953,924
Auckland,European or Other,65-69,Female,5643,5483,5985,943,916
Auckland,European or Other,65-69,Male,5811,5651,6084,955,929
Auckland,European or Other,70-74,Female,5118,4997,5399,948,926
Auckland,European or Other,70-74,Male,4945,4852,5182,954,936
Auckland,European or Other,75-79,Female,3767,3702,3829,984,967
Auckland,European or Other,75-79,Male,3358,3293,3442,976,957
Auckland,European or Other,80-84,Female,2850,2790,2825,1009,988
Auckland,European or Other,80-84,Male,2328,2291,2219,1049,1032
Auckland,European or Other,85-89,Female,1800,1768,1874,961,943
Auckland,European or Other,85-89,Male,1186,1168,1257,944,929
Auckland,European or Other,90+,Female,1598,1545,1629,981,948
Auckland,European or Other,90+,Male,792,767,782,1013,981
Auckland,Maori,12-15,Female,963,758,1131,851,670
Auckland,Maori,12-15,Male,1006,780,1225,821,637
Auckland,Maori,16-19,Female,957,752,1162,824,647
Auckland,Maori,16-19,Male,921,697,1120,822,622
Auckland,Maori,20-24,Female,1426,1100,1762,809,624
Auckland,Maori,20-24,Male,1366,1019,1662,822,613
Auckland,Maori,25-29,Female,1336,1042,1774,753,587
Auckland,Maori,25-29,Male,1348,1012,1611,837,628
Auckland,Maori,30-34,Female,1106,892,1398,791,638
Auckland,Maori,30-34,Male,1090,824,1265,862,651
Auckland,Maori,35-39,Female,899,731,1101,817,664
Auckland,Maori,35-39,Male,829,650,1003,827,648
Auckland,Maori,40-44,Female,830,706,1032,804,684
Auckland,Maori,40-44,Male,809,654,997,811,656
Auckland,Maori,45-49,Female,982,881,1169,840,754
Auckland,Maori,45-49,Male,917,785,1053,871,745
Auckland,Maori,50-54,Female,949,873,1055,900,827
Auckland,Maori,50-54,Male,843,750,911,925,823
Auckland,Maori,55-59,Female,879,815,988,890,825
Auckland,Maori,55-59,Male,840,772,915,918,844
Auckland,Maori,60-64,Female,708,672,744,952,903
Auckland,Maori,60-64,Male,622,599,607,1025,987
Auckland,Maori,65-69,Female,500,479,520,962,921
Auckland,Maori,65-69,Male,371,355,421,881,843
Auckland,Maori,70-74,Female,303,290,304,997,954
Auckland,Maori,70-74,Male,274,262,261,1050,1004
Auckland,Maori,75-79,Female,145,139,158,918,880
Auckland,Maori,75-79,Male,139,137,138,1007,993
Auckland,Maori,80-84,Female,112,110,122,918,902
Auckland,Maori,80-84,Male,70,64,74,946,865
Auckland,Maori,85-89,Female,52,45,53,981,849
Auckland,Maori,85-89,Male,26,25,27,963,926
Auckland,Maori,90+,Female,23,23,22,1045,1045
Auckland,Pacific Peoples,12-15,Female,1684,1346,1958,860,687
Auckland,Pacific Peoples,12-15,Male,1685,1337,2031,830,658
Auckland,Pacific Peoples,16-19,Female,1698,1383,2005,847,690
Auckland,Pacific Peoples,16-19,Male,1617,1242,2065,783,601
Auckland,Pacific Peoples,20-24,Female,2266,1784,2760,821,646
Auckland,Pacific Peoples,20-24,Male,2018,1490,2498,808,596
Auckland,Pacific Peoples,25-29,Female,2127,1657,2713,784,611
Auckland,Pacific Peoples,25-29,Male,2113,1590,2582,818,616
Auckland,Pacific Peoples,30-34,Female,1781,1478,2120,840,697
Auckland,Pacific Peoples,30-34,Male,1753,1386,1958,895,708
Auckland,Pacific Peoples,35-39,Female,1508,1303,1819,829,716
Auckland,Pacific Peoples,35-39,Male,1493,1243,1791,834,694
Auckland,Pacific Peoples,40-44,Female,1520,1356,1764,862,769
Auckland,Pacific Peoples,40-44,Male,1493,1292,1630,916,793
Auckland,Pacific Peoples,45-49,Female,1508,1389,1728,873,804
Auckland,Pacific Peoples,45-49,Male,1488,1327,1671,890,794
Auckland,Pacific Peoples,50-54,Female,1593,1465,1810,880,809
Auckland,Pacific Peoples,50-54,Male,1549,1402,1678,923,836
Auckland,Pacific Peoples,55-59,Female,1479,1407,1566,944,898
Auckland,Pacific Peoples,55-59,Male,1357,1255,1431,948,877
Auckland,Pacific Peoples,60-64,Female,1174,1115,1274,922,875
Auckland,Pacific Peoples,60-64,Male,1109,1072,1187,934,903
Auckland,Pacific Peoples,65-69,Female,867,829,974,890,851
Auckland,Pacific Peoples,65-69,Male,853,816,915,932,892
Auckland,Pacific Peoples,70-74,Female,646,615,666,970,923
Auckland,Pacific Peoples,70-74,Male,513,494,559,918,884
Auckland,Pacific Peoples,75-79,Female,406,392,482,842,813
Auckland,Pacific Peoples,75-79,Male,295,279,336,878,830
Auckland,Pacific Peoples,80-84,Female,306,290,326,939,890
Auckland,Pacific Peoples,80-84,Male,161,157,185,870,849
Auckland,Pacific Peoples,85-89,Female,139,126,185,751,681
Auckland,Pacific Peoples,85-89,Male,72,69,79,911,873
Auckland,Pacific Peoples,90+,Female,68,61,81,840,753
Auckland,Pacific Peoples,90+,Male,21,18,24,875,750
Auckland,Unknown,12-15,Female,114,84,22,5182,3818
Auckland,Unknown,12-15,Male,124,93,13,9538,7154
Auckland,Unknown,16-19,Female,141,124,16,8812,7750
Auckland,Unknown,16-19,Male,126,97,10,12600,9700
Auckland,Unknown,20-24,Female,212,174,24,8833,7250
Auckland,Unknown,20-24,Male,246,205,28,8786,7321
Auckland,Unknown,25-29,Female,408,367,50,8160,7340
Auckland,Unknown,25-29,Male,435,373,46,9457,8109
Auckland,Unknown,30-34,Female,371,322,48,7729,6708
Auckland,Unknown,30-34,Male,541,473,58,9328,8155
