SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"9,705",Masked,"8,994","7,478","3,812",>95%,93%,51%
Unknown,Unknown,Unknown,Maori,5-11,"1,642",478,146,NA,NA,29%,9%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,507",Masked,Masked,"3,307","1,722",>95%,>95%,52%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,355,135,29,NA,NA,38%,8%,NA
100100,North Cape,Northland,Maori,12+,864,777,757,651,413,90%,88%,63%
100100,North Cape,Northland,Maori,5-11,161,44,7,NA,NA,27%,<5%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,023",875,837,705,378,86%,82%,54%
100200,Rangaunu Harbour,Northland,Maori,5-11,192,38,9,NA,NA,20%,<5%,NA
100400,Karikari Peninsula,Northland,Maori,12+,523,440,424,352,203,84%,81%,58%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,Masked,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,Maori,12+,553,477,466,394,225,86%,84%,57%
100500,Tangonge,Northland,Maori,5-11,95,22,Masked,NA,NA,23%,<5%,NA
100600,Ahipara,Northland,Maori,12+,582,492,475,417,251,85%,82%,60%
100600,Ahipara,Northland,Maori,5-11,108,36,8,NA,NA,33%,7%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,313","1,154","1,083",879,429,88%,82%,49%
100700,Kaitaia East,Northland,Maori,5-11,289,81,13,NA,NA,28%,<5%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,52,Masked,Masked,49,25,>95%,>95%,51%
100800,Kaitaia West,Northland,Maori,12+,"1,841","1,620","1,522","1,207",592,88%,83%,49%
100800,Kaitaia West,Northland,Maori,5-11,405,74,20,NA,NA,18%,<5%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,103,96,93,80,39,93%,90%,49%
100900,Rangitihi,Northland,Maori,12+,393,334,321,262,132,85%,82%,50%
100900,Rangitihi,Northland,Maori,5-11,58,7,Masked,NA,NA,12%,<5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,312,252,239,200,99,81%,77%,50%
101000,Oruru-Parapara,Northland,Maori,5-11,65,15,Masked,NA,NA,23%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,573,508,482,405,234,89%,84%,58%
101100,Taumarumaru,Northland,Maori,5-11,141,29,Masked,NA,NA,21%,<5%,NA
101200,Herekino-Takahue,Northland,Maori,12+,426,349,330,276,150,82%,77%,54%
101200,Herekino-Takahue,Northland,Maori,5-11,81,24,Masked,NA,NA,30%,<5%,NA
101300,Peria,Northland,Maori,12+,331,259,246,203,102,78%,74%,50%
101300,Peria,Northland,Maori,5-11,84,16,Masked,NA,NA,19%,6%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,305,241,227,177,103,79%,74%,58%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,69,20,Masked,NA,NA,29%,6%,NA
101500,Whakapaku,Northland,Maori,12+,268,218,205,166,97,81%,76%,58%
101500,Whakapaku,Northland,Maori,5-11,61,18,Masked,NA,NA,30%,<5%,NA
101600,Hokianga North,Northland,Maori,12+,651,546,528,459,315,84%,81%,69%
101600,Hokianga North,Northland,Maori,5-11,123,33,Masked,NA,NA,27%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,366,299,293,245,166,82%,80%,68%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,48,10,Masked,NA,NA,21%,<5%,NA
101800,Whakarara,Northland,Maori,12+,542,473,454,393,256,87%,84%,65%
101800,Whakarara,Northland,Maori,5-11,74,31,Masked,NA,NA,42%,7%,NA
101900,Kaeo,Northland,Maori,12+,459,367,343,285,182,80%,75%,64%
101900,Kaeo,Northland,Maori,5-11,107,36,14,NA,NA,34%,13%,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,640,468,436,366,209,73%,68%,57%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,120,10,Masked,NA,NA,8%,<5%,NA
102100,Hokianga South,Northland,Maori,12+,705,539,506,421,261,76%,72%,62%
102100,Hokianga South,Northland,Maori,5-11,113,29,Masked,NA,NA,26%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,248,207,199,155,87,83%,80%,56%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,54,18,Masked,NA,NA,33%,<5%,NA
102300,Okaihau,Northland,Maori,12+,308,265,252,219,110,86%,82%,50%
102300,Okaihau,Northland,Maori,5-11,55,12,Masked,NA,NA,22%,<5%,NA
102400,Rangitane-Purerua,Northland,Maori,12+,345,310,291,246,139,90%,84%,57%
102400,Rangitane-Purerua,Northland,Maori,5-11,62,11,Masked,NA,NA,18%,<5%,NA
102500,Waipapa,Northland,Maori,12+,128,111,106,89,45,87%,83%,51%
102600,Puketotara,Northland,Maori,12+,232,201,197,161,93,87%,85%,58%
102600,Puketotara,Northland,Maori,5-11,50,22,Masked,NA,NA,44%,<5%,NA
102700,Waima Forest,Northland,Maori,12+,766,588,561,472,252,77%,73%,53%
