DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4509,4454,"1,276",99,4302
Auckland,Asian,12-17,Male,4780,4701,"1,344",80,4464
Auckland,Asian,12-17,Unknown/Other,17,16,13,<5,7
Auckland,Asian,18-24,Female,7617,7582,"7,525","5,094",6671
Auckland,Asian,18-24,Male,7862,7798,"7,728","4,505",6297
Auckland,Asian,18-24,Unknown/Other,92,89,89,42,16
Auckland,Asian,25-29,Female,7807,7780,"7,731","5,392",8392
Auckland,Asian,25-29,Male,8951,8875,"8,819","5,280",7740
Auckland,Asian,25-29,Unknown/Other,123,121,120,70,25
Auckland,Asian,30-34,Female,9103,9050,"8,980","6,353",9316
Auckland,Asian,30-34,Male,9132,9049,"8,988","5,997",8382
Auckland,Asian,30-34,Unknown/Other,91,90,88,42,19
Auckland,Asian,35-39,Female,7780,7726,"7,658","5,579",8154
Auckland,Asian,35-39,Male,7890,7822,"7,773","5,415",7336
Auckland,Asian,35-39,Unknown/Other,63,63,62,37,14
Auckland,Asian,40-44,Female,5947,5912,"5,860","4,433",5623
Auckland,Asian,40-44,Male,5949,5882,"5,839","4,250",5231
Auckland,Asian,40-44,Unknown/Other,41,39,39,26,15
Auckland,Asian,45-49,Female,4725,4698,"4,663","3,588",4861
Auckland,Asian,45-49,Male,4351,4304,"4,276","3,250",3985
Auckland,Asian,5-11,Female,4814,2228,NA,NA,6528
Auckland,Asian,5-11,Male,4825,2199,NA,NA,6688
Auckland,Asian,50-54,Female,4434,4410,"4,380","3,440",4411
Auckland,Asian,50-54,Male,3562,3536,"3,513","2,757",3467
Auckland,Asian,55-59,Female,4039,4016,"3,981","3,168",4228
Auckland,Asian,55-59,Male,3415,3383,"3,365","2,703",3468
Auckland,Asian,60-64,Female,3285,3269,"3,245","2,683",3608
Auckland,Asian,60-64,Male,2729,2717,"2,702","2,295",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2867,2858,"2,833","2,347",2935
Auckland,Asian,65-69,Male,2384,2371,"2,352","1,985",2584
Auckland,Asian,70-74,Female,1857,1848,"1,829","1,590",1918
Auckland,Asian,70-74,Male,1750,1743,"1,724","1,525",1743
Auckland,Asian,75-79,Female,1133,1129,"1,117",981,1240
Auckland,Asian,75-79,Male,978,969,963,854,1080
Auckland,Asian,80-84,Female,879,870,860,752,943
Auckland,Asian,80-84,Male,717,714,708,633,819
Auckland,Asian,85-89,Female,432,424,417,357,441
Auckland,Asian,85-89,Male,432,429,423,377,420
Auckland,Asian,90+,Female,193,193,187,169,179
Auckland,Asian,90+,Male,122,121,118,101,126
Auckland,European or Other,12-17,Female,7024,6972,"2,109",181,7315
Auckland,European or Other,12-17,Male,7239,7156,"2,153",158,7448
Auckland,European or Other,12-17,Unknown/Other,8,8,<5,<5,8
Auckland,European or Other,18-24,Female,10637,10590,"10,513","7,584",11536
Auckland,European or Other,18-24,Male,9938,9861,"9,776","6,079",10369
Auckland,European or Other,18-24,Unknown/Other,42,41,41,29,38
Auckland,European or Other,25-29,Female,10411,10351,"10,281","7,500",11855
Auckland,European or Other,25-29,Male,10440,10366,"10,261","6,482",10769
Auckland,European or Other,25-29,Unknown/Other,48,48,48,30,23
Auckland,European or Other,30-34,Female,9630,9581,"9,494","7,038",10714
Auckland,European or Other,30-34,Male,10417,10331,"10,217","6,739",10361
Auckland,European or Other,30-34,Unknown/Other,37,37,37,24,22
Auckland,European or Other,35-39,Female,7656,7602,"7,529","5,836",8521
Auckland,European or Other,35-39,Male,8316,8253,"8,172","5,847",8574
Auckland,European or Other,35-39,Unknown/Other,15,14,14,10,15
Auckland,European or Other,40-44,Female,7112,7070,"7,021","5,717",8032
Auckland,European or Other,40-44,Male,7489,7432,"7,370","5,668",8027
Auckland,European or Other,45-49,Female,7875,7838,"7,788","6,613",8961
Auckland,European or Other,45-49,Male,8013,7959,"7,889","6,372",8951
Auckland,European or Other,5-11,Female,5358,2811,NA,NA,7739
Auckland,European or Other,5-11,Male,5735,2958,NA,NA,8273
Auckland,European or Other,50-54,Female,8142,8108,"8,067","7,013",8362
Auckland,European or Other,50-54,Male,8565,8520,"8,467","7,159",8858
Auckland,European or Other,50-54,Unknown/Other,8,8,8,7,5
Auckland,European or Other,55-59,Female,7415,7378,"7,319","6,500",8093
Auckland,European or Other,55-59,Male,8101,8055,"8,000","6,876",8644
Auckland,European or Other,60-64,Female,6744,6715,"6,677","6,041",6988
Auckland,European or Other,60-64,Male,7260,7221,"7,176","6,370",7440
Auckland,European or Other,65-69,Female,5710,5689,"5,653","5,175",5985
Auckland,European or Other,65-69,Male,5889,5872,"5,842","5,305",6084
Auckland,European or Other,70-74,Female,5120,5101,"5,058","4,680",5399
Auckland,European or Other,70-74,Male,5001,4987,"4,961","4,638",5182
Auckland,European or Other,75-79,Female,3960,3947,"3,924","3,698",3829
Auckland,European or Other,75-79,Male,3470,3463,"3,447","3,257",3442
Auckland,European or Other,80-84,Female,2941,2933,"2,922","2,772",2825
Auckland,European or Other,80-84,Male,2398,2393,"2,386","2,257",2219
Auckland,European or Other,85-89,Female,1790,1781,"1,769","1,701",1874
Auckland,European or Other,85-89,Male,1173,1172,"1,165","1,118",1257
Auckland,European or Other,90+,Female,1511,1508,"1,499","1,434",1629
Auckland,European or Other,90+,Male,740,740,735,714,782
Auckland,Maori,12-17,Female,1666,1592,353,22,1659
Auckland,Maori,12-17,Male,1659,1593,352,12,1747
Auckland,Maori,18-24,Female,2323,2273,"2,179",987,2396
Auckland,Maori,18-24,Male,2153,2080,"1,980",711,2260
