Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,275877,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,233103,Maori
Pfizer BioNTech COVID-19,2,859,European or other
Pfizer BioNTech COVID-19,Third primary,374,Unknown
AstraZeneca,Booster,102,Unknown
AstraZeneca,1,46,Unknown
Pfizer BioNTech COVID-19,1,519853,Maori
Paediatric Pfizer,1,58971,Asian
Pfizer BioNTech COVID-19,2,33577,Unknown
AstraZeneca,2,2690,European or other
Paediatric Pfizer,2,515,Unknown
AstraZeneca,2,248,Pacific Peoples
Novavax,Booster,19,Asian
Pfizer BioNTech COVID-19,Booster,419990,Asian
Pfizer BioNTech COVID-19,2,502632,Maori
Paediatric Pfizer,1,23599,Pacific Peoples
Paediatric Pfizer,2,61683,European or other
AstraZeneca,Booster,1213,European or other
Novavax,1,1231,European or other
AstraZeneca,2,347,Maori
AstraZeneca,Booster,90,Maori
Novavax,1,23,Unknown
Novavax,Third primary,9,European or other
Pfizer BioNTech COVID-19,2,39,Maori
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,1,2559801,European or other
Pfizer BioNTech COVID-19,Booster,138612,Pacific Peoples
Paediatric Pfizer,1,135782,European or other
AstraZeneca,1,2569,European or other
AstraZeneca,1,364,Maori
Novavax,2,721,European or other
Novavax,2,12,Unknown
Pfizer BioNTech COVID-19,2,5,Unknown
Pfizer BioNTech COVID-19,2,271759,Pacific Peoples
AstraZeneca,2,223,Asian
AstraZeneca,1,108,Pacific Peoples
Novavax,1,115,Maori
Pfizer BioNTech COVID-19,2,71,Asian
Novavax,2,13,Pacific Peoples
Pfizer BioNTech COVID-19,2,2535804,European or other
Paediatric Pfizer,2,25866,Asian
Pfizer BioNTech COVID-19,Booster,25746,Unknown
AstraZeneca,1,214,Asian
Paediatric Pfizer,2,12120,Maori
Pfizer BioNTech COVID-19,Third primary,2371,Maori
Pfizer BioNTech COVID-19,Third primary,1944,Asian
AstraZeneca,Booster,227,Asian
Pfizer BioNTech COVID-19,2,627645,Asian
Pfizer BioNTech COVID-19,1,631318,Asian
Paediatric Pfizer,2,5877,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,25722,European or other
Paediatric Pfizer,Third primary,20,European or other
AstraZeneca,2,89,Unknown
Novavax,1,291,Asian
Novavax,2,139,Asian
AstraZeneca,Booster,92,Pacific Peoples
Novavax,1,31,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,1796105,European or other
Paediatric Pfizer,1,41035,Maori
Pfizer BioNTech COVID-19,1,34412,Unknown
Pfizer BioNTech COVID-19,Third primary,1146,Pacific Peoples
Paediatric Pfizer,1,1199,Unknown
Novavax,Booster,80,European or other
Novavax,2,56,Maori
AstraZeneca,Third primary,23,European or other
Novavax,Booster,6,Maori
Pfizer BioNTech COVID-19,2,14,Pacific Peoples
