Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"24,631","17,952",>95%,>95%,73%
Ashburton District,5-11,"3,204","1,900",695,NA,NA,59%,22%,NA
Auckland,12+,"1,383,349",Masked,Masked,"1,235,501","865,661",>95%,>95%,70%
Auckland,5-11,"163,729","97,578","40,097",NA,NA,60%,24%,NA
Buller District,12+,"8,270","7,756","7,647","7,022","5,146",94%,92%,73%
Buller District,5-11,719,354,111,NA,NA,49%,15%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,283","5,484",>95%,>95%,75%
Carterton District,5-11,834,462,161,NA,NA,55%,19%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,507","7,594",>95%,>95%,72%
Central Hawke's Bay District,5-11,"1,482",707,240,NA,NA,48%,16%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,233","13,806",>95%,>95%,76%
Central Otago District,5-11,"1,828","1,099",454,NA,NA,60%,25%,NA
Chatham Islands Territory,12+,180,Masked,Masked,251,194,>95%,>95%,77%
Chatham Islands Territory,5-11,10,Masked,Masked,NA,NA,>95%,40%,NA
Christchurch City,12+,"322,319",Masked,Masked,"296,285","222,489",>95%,>95%,75%
Christchurch City,5-11,"31,517","19,494","8,356",NA,NA,62%,27%,NA
Clutha District,12+,"14,979",Masked,"14,091","12,816","8,928",>95%,94%,70%
Clutha District,5-11,"1,658",766,259,NA,NA,46%,16%,NA
Dunedin City,12+,"110,451",Masked,Masked,"103,581","81,616",>95%,>95%,79%
Dunedin City,5-11,"9,730","6,425","3,137",NA,NA,66%,32%,NA
Far North District,12+,"56,393","50,510","49,049","43,944","29,158",90%,87%,66%
Far North District,5-11,"7,086","2,109",539,NA,NA,30%,8%,NA
Gisborne District,12+,"40,629","38,549","37,656","33,411","22,135",95%,93%,66%
Gisborne District,5-11,"5,498","2,731",908,NA,NA,50%,17%,NA
Gore District,12+,"10,754","9,998","9,875","8,984","6,367",93%,92%,71%
Gore District,5-11,"1,139",378,160,NA,NA,33%,14%,NA
Grey District,12+,"11,405","10,802","10,617","9,622","6,884",95%,93%,72%
Grey District,5-11,"1,238",562,246,NA,NA,45%,20%,NA
Hamilton City,12+,"137,508",Masked,Masked,"122,884","81,665",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,203","3,091",NA,NA,54%,18%,NA
Hastings District,12+,"69,329",Masked,Masked,"61,372","42,284",>95%,>95%,69%
Hastings District,5-11,"8,928","4,056","1,353",NA,NA,45%,15%,NA
