Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,232","25,739","18,458","9,275","2,576",>95%,94%,72%,28%
Ashburton District,5-11,"3,235","1,765",854,NA,NA,NA,NA,55%,26%,NA,NA
Auckland,12+,"1,468,419","1,361,426","1,344,976","1,268,222","902,701","360,278","126,878",93%,92%,71%,35%
Auckland,5-11,"161,323","92,839","53,510",NA,Masked,NA,NA,58%,33%,>95%,NA
Buller District,12+,"8,707","7,778","7,651","7,302","5,257","3,152","1,064",89%,88%,72%,34%
Buller District,5-11,740,329,175,NA,NA,NA,NA,44%,24%,NA,NA
Carterton District,12+,"8,651","8,125","7,996","7,562","5,655","3,530","1,321",94%,92%,75%,37%
Carterton District,5-11,832,436,217,NA,NA,NA,NA,52%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,703","11,059","7,898","4,323","1,305",>95%,94%,71%,30%
Central Hawke's Bay District,5-11,"1,456",663,282,NA,NA,NA,NA,46%,19%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,854","14,222","8,336","3,146",>95%,>95%,75%,38%
Central Otago District,5-11,"1,816","1,018",527,NA,NA,NA,NA,56%,29%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,295,222,122,14,>95%,>95%,75%,11%
Chatham Islands Territory,5-11,14,10,Masked,NA,NA,NA,NA,71%,36%,NA,NA
Christchurch City,12+,"343,918","325,952","322,655","306,651","229,685","96,471","35,841",95%,94%,75%,37%
Christchurch City,5-11,"31,208","18,431","10,704",NA,Masked,NA,NA,59%,34%,>95%,NA
Clutha District,12+,"15,517","14,174","13,977","13,235","9,048","4,965","1,356",91%,90%,68%,27%
Clutha District,5-11,"1,567",716,317,NA,Masked,NA,NA,46%,20%,>95%,NA
Dunedin City,12+,"114,950",Masked,Masked,"105,930","83,664","36,519","14,288",>95%,>95%,79%,39%
Dunedin City,5-11,"9,480","6,012","3,631",NA,NA,NA,NA,63%,38%,NA,NA
Far North District,12+,"59,649","50,745","49,221","46,438","30,329","18,229","5,596",85%,83%,65%,31%
Far North District,5-11,"7,197","1,966",771,NA,NA,NA,NA,27%,11%,NA,NA
Gisborne District,12+,"42,561","38,540","37,565","35,076","23,066","11,846","3,831",91%,88%,66%,32%
Gisborne District,5-11,"5,401","2,565","1,376",NA,NA,NA,NA,47%,25%,NA,NA
Gore District,12+,"11,003","9,980","9,842","9,314","6,486","3,817","1,040",91%,89%,70%,27%
Gore District,5-11,"1,073",354,193,NA,NA,NA,NA,33%,18%,NA,NA
Grey District,12+,"11,872","10,844","10,629","10,055","7,042","3,996","1,196",91%,90%,70%,30%
Grey District,5-11,"1,138",515,277,NA,NA,NA,NA,45%,24%,NA,NA
Hamilton City,12+,"147,441","137,212","135,013","127,207","84,980","33,614","11,712",93%,92%,67%,35%
Hamilton City,5-11,"17,497","8,664","4,275",NA,NA,NA,NA,50%,24%,NA,NA
Hastings District,12+,"74,221","70,310","69,012","64,833","44,440","22,338","6,947",95%,93%,69%,31%
Hastings District,5-11,"8,650","3,839","1,764",NA,NA,NA,NA,44%,20%,NA,NA
Hauraki District,12+,"18,063","15,882","15,539","14,767","9,968","5,857","1,881",88%,86%,68%,32%
Hauraki District,5-11,"1,779",604,271,NA,NA,NA,NA,34%,15%,NA,NA
Horowhenua District,12+,"30,027","27,737","27,216","25,771","18,283","11,249","4,515",92%,91%,71%,40%
Horowhenua District,5-11,"3,095","1,272",562,NA,NA,NA,NA,41%,18%,NA,NA
Hurunui District,12+,"11,490","10,543","10,376","9,838","7,047","3,758","1,092",92%,90%,72%,29%
Hurunui District,5-11,"1,158",550,296,NA,NA,NA,NA,47%,26%,NA,NA
Invercargill City,12+,"47,368","44,116","43,436","40,987","28,898","15,017","4,762",93%,92%,71%,32%
Invercargill City,5-11,"5,029","2,378","1,221",NA,NA,NA,NA,47%,24%,NA,NA
Kaikoura District,12+,"3,527","3,202","3,166","3,030","2,250","1,474",443,91%,90%,74%,30%
Kaikoura District,5-11,296,136,79,NA,NA,NA,NA,46%,27%,NA,NA
Kaipara District,12+,"21,487","18,163","17,686","16,928","11,129","6,723","1,848",85%,82%,66%,27%
Kaipara District,5-11,"2,339",671,286,NA,NA,NA,NA,29%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,722","45,207","42,853","33,715","20,266","8,813",94%,93%,79%,43%
Kapiti Coast District,5-11,"4,477","2,391","1,462",NA,NA,NA,NA,53%,33%,NA,NA
Kawerau District,12+,"6,360","5,505","5,290","4,974","2,969","1,754",628,87%,83%,60%,36%
Kawerau District,5-11,806,191,45,NA,NA,NA,NA,24%,6%,NA,NA
