Date,Trained Vaccinator,Active Vaccinator
2021-02-28,584,136
2021-03-07,905,252
2021-03-14,1048,325
2021-03-21,1252,421
2021-03-28,1479,587
2021-04-04,1792,751
2021-04-11,2072,926
2021-04-18,2505,1158
2021-04-25,2895,1381
2021-05-02,3389,1565
2021-05-09,4448,1790
2021-05-16,5166,2000
2021-05-23,6110,2224
2021-05-30,6511,2465
2021-06-06,7141,2728
2021-06-13,7678,2948
2021-06-20,8107,3226
2021-06-27,8453,3440
2021-07-04,8622,3655
2021-07-11,8984,3844
2021-07-18,9389,3996
2021-07-25,9785,4278
2021-08-01,10214,4719
2021-08-08,10663,5206
2021-08-15,11005,5661
2021-08-22,11523,6026
2021-08-29,12461,6653
2021-09-05,13105,7268
2021-09-12,13557,7710
2021-09-19,13776,8115
2021-09-26,14094,8473
2021-10-03,14224,8689
2021-10-10,14387,9095
2021-10-17,14568,9805
2021-10-24,14630,9969
2021-10-31,14748,10114
2021-11-07,14891,10226
2021-11-14,15006,10381
2021-11-21,15111,10510
2021-11-28,15217,10615
2021-12-05,15411,10749
2021-12-12,15470,10978
2021-12-19,15547,11099
2021-12-26,15547,11184
2022-01-02,15547,11214
2022-01-09,15547,11241
2022-01-16,15714,11324
2022-01-23,15796,11475
2022-01-30,15870,11622
2022-02-06,15918,11734
2022-02-13,16047,11842
2022-02-20,16115,11922
2022-02-27,16217,12002
2022-03-06,16336,12058
2022-03-13,16444,12106
2022-03-20,16495,12155
2022-03-27,16562,12196
2022-04-03,16629,12232
2022-04-10,16754,12282
2022-04-17,16828,12302
2022-04-24,16854,12327
2022-05-01,16878,12347
2022-05-08,16913,12372
2022-05-15,16929,12391
2022-05-22,16946,12410
2022-05-29,16947,12424
2022-06-05,16956,12443
2022-06-12,16966,12460
2022-06-19,16999,12478
2022-06-26,17030,12489
2022-07-03,17054,12529
2022-07-10,17073,12566
2022-07-17,17111,12632
2022-07-24,17131,12652
2022-07-31,17179,12688
2022-08-07,17204,12716
2022-08-14,17221,12750
