SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"11,159","9,263","8,746","7,903","3,700","1,263",332,83%,78%,47%,26%
Unknown,Unknown,Unknown,Maori,5-11,"1,947",583,240,NA,NA,NA,NA,30%,12%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,846",Masked,Masked,"3,597","1,986",370,87,>95%,>95%,55%,24%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,397,180,68,NA,NA,NA,NA,45%,17%,NA,NA
100100,North Cape,Northland,Maori,12+,912,781,764,696,426,224,58,86%,84%,61%,26%
100100,North Cape,Northland,Maori,5-11,146,44,16,NA,NA,NA,NA,30%,11%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,045",880,847,780,399,194,27,84%,81%,51%,14%
100200,Rangaunu Harbour,Northland,Maori,5-11,190,34,13,NA,NA,NA,NA,18%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,544,454,440,415,218,132,29,83%,81%,53%,22%
100400,Karikari Peninsula,Northland,Maori,5-11,88,20,Masked,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,594,501,488,441,253,117,14,84%,82%,57%,12%
100500,Tangonge,Northland,Maori,5-11,101,19,Masked,NA,NA,NA,NA,19%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,601,488,474,441,265,147,18,81%,79%,60%,12%
100600,Ahipara,Northland,Maori,5-11,104,35,9,NA,NA,NA,NA,34%,9%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,330","1,138","1,070",960,456,164,42,86%,80%,48%,26%
100700,Kaitaia East,Northland,Maori,5-11,297,84,23,NA,NA,NA,NA,28%,8%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,59,53,52,49,24,6,NA,90%,88%,49%,0%
100800,Kaitaia West,Northland,Maori,12+,"1,921","1,585","1,494","1,336",628,252,44,83%,78%,47%,17%
100800,Kaitaia West,Northland,Maori,5-11,372,81,28,NA,NA,NA,NA,22%,8%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,106,97,94,86,46,17,Masked,92%,89%,53%,24%
100900,Rangitihi,Northland,Maori,12+,409,340,327,294,146,55,6,83%,80%,50%,11%
100900,Rangitihi,Northland,Maori,5-11,55,8,Masked,NA,NA,NA,NA,15%,5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,319,244,231,214,106,53,11,76%,72%,50%,21%
101000,Oruru-Parapara,Northland,Maori,5-11,63,14,6,NA,NA,NA,NA,22%,10%,NA,NA
