Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,424",Masked,Masked,"23,287","17,230",>95%,>95%,74%
Ashburton District,5-11,"3,207","1,863",66,NA,NA,58%,<5%,NA
Auckland,12+,"1,383,806",Masked,Masked,"1,176,094","835,278",>95%,>95%,71%
Auckland,5-11,"163,783","96,600","7,025",NA,NA,59%,<5%,NA
Buller District,12+,"8,272","7,793","7,651","6,545","4,946",94%,92%,76%
Buller District,5-11,719,340,6,NA,NA,47%,<5%,NA
Carterton District,12+,"8,259",Masked,Masked,"6,915","5,323",>95%,>95%,77%
Carterton District,5-11,834,459,29,NA,NA,55%,<5%,NA
Central Hawke's Bay District,12+,"11,838",Masked,Masked,"9,808","7,230",>95%,>95%,74%
Central Hawke's Bay District,5-11,"1,483",692,32,NA,NA,47%,<5%,NA
Central Otago District,12+,"19,636",Masked,Masked,"17,284","13,402",>95%,>95%,78%
Central Otago District,5-11,"1,828","1,070",56,NA,NA,59%,<5%,NA
Chatham Islands Territory,12+,180,Masked,Masked,231,187,>95%,>95%,81%
Chatham Islands Territory,5-11,10,9,0,NA,NA,90%,<5%,NA
Christchurch City,12+,"322,365",Masked,Masked,"282,176","214,224",>95%,>95%,76%
Christchurch City,5-11,"31,521","19,154",909,NA,NA,61%,<5%,NA
Clutha District,12+,"14,979",Masked,"14,119","12,140","8,605",>95%,94%,71%
Clutha District,5-11,"1,658",743,26,NA,NA,45%,<5%,NA
Dunedin City,12+,"110,495",Masked,Masked,"97,260","78,621",>95%,>95%,81%
Dunedin City,5-11,"9,731","6,373",292,NA,NA,65%,<5%,NA
Far North District,12+,"56,422","50,640","49,076","41,069","28,005",90%,87%,68%
Far North District,5-11,"7,092","1,987",38,NA,NA,28%,<5%,NA
Gisborne District,12+,"40,638",Masked,"37,604","30,656","21,403",>95%,93%,70%
Gisborne District,5-11,"5,499","2,572",129,NA,NA,47%,<5%,NA
