Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,Booster,222159,Maori
Pfizer BioNTech COVID-19,1,275570,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,415,Unknown
Pfizer BioNTech COVID-19,2,729,European or other
AstraZeneca,Booster,94,Unknown
AstraZeneca,Third primary,5,Pacific Peoples
AstraZeneca,1,47,Unknown
Pfizer BioNTech COVID-19,2,34512,Unknown
Pfizer BioNTech COVID-19,1,518679,Maori
AstraZeneca,2,2624,European or other
AstraZeneca,2,242,Pacific Peoples
Paediatric Pfizer,1,57656,Asian
Paediatric Pfizer,2,86,Unknown
Pfizer BioNTech COVID-19,2,500081,Maori
Pfizer BioNTech COVID-19,Booster,399420,Asian
Paediatric Pfizer,1,22952,Pacific Peoples
Paediatric Pfizer,2,9246,European or other
AstraZeneca,Booster,1102,European or other
AstraZeneca,Booster,81,Maori
AstraZeneca,2,334,Maori
Paediatric Pfizer,Booster,5,European or other
Pfizer BioNTech COVID-19,2,32,Maori
Pfizer BioNTech COVID-19,1,2559186,European or other
Paediatric Pfizer,1,133678,European or other
Pfizer BioNTech COVID-19,Booster,132525,Pacific Peoples
AstraZeneca,1,2562,European or other
AstraZeneca,1,363,Maori
Pfizer BioNTech COVID-19,2,5,Unknown
Pfizer BioNTech COVID-19,2,270989,Pacific Peoples
AstraZeneca,2,214,Asian
Pfizer BioNTech COVID-19,2,55,Asian
AstraZeneca,1,105,Pacific Peoples
Pfizer BioNTech COVID-19,2,2533254,European or other
Pfizer BioNTech COVID-19,Booster,24698,Unknown
Pfizer BioNTech COVID-19,Third primary,2641,Maori
Pfizer BioNTech COVID-19,Third primary,2647,Asian
AstraZeneca,1,213,Asian
AstraZeneca,Booster,198,Asian
Paediatric Pfizer,2,2023,Maori
Paediatric Pfizer,2,3146,Asian
Pfizer BioNTech COVID-19,1,630730,Asian
Pfizer BioNTech COVID-19,2,626595,Asian
Pfizer BioNTech COVID-19,Third primary,27087,European or other
Paediatric Pfizer,2,1172,Pacific Peoples
AstraZeneca,2,86,Unknown
AstraZeneca,Booster,82,Pacific Peoples
Paediatric Pfizer,Third primary,13,European or other
Pfizer BioNTech COVID-19,Booster,1747791,European or other
Pfizer BioNTech COVID-19,1,35675,Unknown
Pfizer BioNTech COVID-19,Third primary,1413,Pacific Peoples
Paediatric Pfizer,1,39568,Maori
Paediatric Pfizer,1,1191,Unknown
AstraZeneca,Third primary,24,European or other
Pfizer BioNTech COVID-19,2,11,Pacific Peoples
