SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"10,476",Masked,"9,685","7,099","3,997",>95%,92%,56%
Unknown,Unknown,Unknown,Maori,5-11,"1,675",462,19,NA,NA,28%,<5%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,631",Masked,Masked,"3,209","1,784",>95%,>95%,56%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,352,139,7,NA,NA,39%,<5%,NA
100100,North Cape,Northland,Maori,12+,855,780,759,597,391,91%,89%,65%
100100,North Cape,Northland,Maori,5-11,163,38,0,NA,NA,23%,<5%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,012",861,823,632,350,85%,81%,55%
100200,Rangaunu Harbour,Northland,Maori,5-11,192,34,Masked,NA,NA,18%,<5%,NA
100400,Karikari Peninsula,Northland,Maori,12+,520,434,417,299,191,83%,80%,64%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,0,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,Maori,12+,556,486,472,367,216,87%,85%,59%
100500,Tangonge,Northland,Maori,5-11,92,20,Masked,NA,NA,22%,<5%,NA
100600,Ahipara,Northland,Maori,12+,580,491,474,378,238,85%,82%,63%
100600,Ahipara,Northland,Maori,5-11,108,34,Masked,NA,NA,31%,<5%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,305","1,143","1,071",768,374,88%,82%,49%
100700,Kaitaia East,Northland,Maori,5-11,286,69,Masked,NA,NA,24%,<5%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,52,Masked,Masked,41,22,>95%,>95%,54%
100800,Kaitaia West,Northland,Maori,12+,"1,869","1,654","1,548","1,056",543,88%,83%,51%
100800,Kaitaia West,Northland,Maori,5-11,414,63,Masked,NA,NA,15%,<5%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,103,96,93,74,36,93%,90%,49%
100900,Rangitihi,Northland,Maori,12+,387,325,313,232,118,84%,81%,51%
100900,Rangitihi,Northland,Maori,5-11,58,7,0,NA,NA,12%,<5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,316,254,239,182,98,80%,76%,54%
101000,Oruru-Parapara,Northland,Maori,5-11,66,14,0,NA,NA,21%,<5%,NA
101100,Taumarumaru,Northland,Maori,12+,576,513,484,368,222,89%,84%,60%
101100,Taumarumaru,Northland,Maori,5-11,139,28,Masked,NA,NA,20%,<5%,NA
101200,Herekino-Takahue,Northland,Maori,12+,417,347,328,242,139,83%,79%,57%
101200,Herekino-Takahue,Northland,Maori,5-11,79,21,0,NA,NA,27%,<5%,NA
101300,Peria,Northland,Maori,12+,334,264,251,183,97,79%,75%,53%
101300,Peria,Northland,Maori,5-11,83,11,Masked,NA,NA,13%,<5%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,302,238,224,158,101,79%,74%,64%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,69,20,Masked,NA,NA,29%,<5%,NA
101500,Whakapaku,Northland,Maori,12+,271,220,205,152,88,81%,76%,58%
101500,Whakapaku,Northland,Maori,5-11,61,16,0,NA,NA,26%,<5%,NA
101600,Hokianga North,Northland,Maori,12+,645,552,531,429,296,86%,82%,69%
101600,Hokianga North,Northland,Maori,5-11,123,28,0,NA,NA,23%,<5%,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,364,295,287,223,156,81%,79%,70%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,46,9,0,NA,NA,20%,<5%,NA
101800,Whakarara,Northland,Maori,12+,531,467,449,359,238,88%,85%,66%
101800,Whakarara,Northland,Maori,5-11,74,27,0,NA,NA,36%,<5%,NA
