Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"29,561","27,480","27,027","25,720","18,463","16,506","5,603",93%,91%,72%,34%
Ashburton District,5-11,"3,237","1,579",836,NA,NA,NA,NA,49%,26%,NA,NA
Auckland,12+,"1,479,316","1,362,173","1,342,356","1,272,937","909,064","751,468","222,099",92%,91%,71%,30%
Auckland,5-11,"161,177","84,060","50,704",NA,Masked,NA,NA,52%,31%,>95%,NA
Buller District,12+,"8,854","7,772","7,635","7,310","5,239","4,954","1,802",88%,86%,72%,36%
Buller District,5-11,744,286,158,NA,NA,NA,NA,38%,21%,NA,NA
Carterton District,12+,"8,723","8,050","7,900","7,532","5,613","5,211","2,158",92%,91%,75%,41%
Carterton District,5-11,832,378,201,NA,NA,NA,NA,45%,24%,NA,NA
Central Hawke's Bay District,12+,"13,028","11,891","11,642","11,069","7,875","7,197","2,503",91%,89%,71%,35%
Central Hawke's Bay District,5-11,"1,483",597,270,NA,NA,NA,NA,40%,18%,NA,NA
Central Otago District,12+,"21,356","20,051","19,779","18,950","14,292","13,154","5,142",94%,93%,75%,39%
Central Otago District,5-11,"1,836",890,476,NA,NA,NA,NA,48%,26%,NA,NA
Chatham Islands Territory,12+,309,Masked,Masked,323,238,211,43,>95%,>95%,74%,20%
Chatham Islands Territory,5-11,18,13,Masked,NA,NA,NA,NA,72%,28%,NA,NA
Christchurch City,12+,"349,159","327,465","323,500","308,989","231,766","190,706","68,296",94%,93%,75%,36%
Christchurch City,5-11,"31,316","16,640","10,141",NA,Masked,NA,NA,53%,32%,>95%,NA
Clutha District,12+,"15,615","14,019","13,772","13,121","8,922","8,112","2,467",90%,88%,68%,30%
Clutha District,5-11,"1,568",638,303,NA,NA,NA,NA,41%,19%,NA,NA
Dunedin City,12+,"118,087",Masked,"111,233","106,699","83,055","62,544","24,740",>95%,94%,78%,40%
Dunedin City,5-11,"9,364","5,395","3,356",NA,NA,NA,NA,58%,36%,NA,NA
Far North District,12+,"60,464","50,490","48,866","46,610","30,340","28,261","9,164",84%,81%,65%,32%
Far North District,5-11,"7,118","1,734",740,NA,NA,NA,NA,24%,10%,NA,NA
Gisborne District,12+,"42,902","38,031","36,950","34,779","22,843","20,062","6,650",89%,86%,66%,33%
Gisborne District,5-11,"5,357","2,248","1,317",NA,NA,NA,NA,42%,25%,NA,NA
Gore District,12+,"11,059","9,932","9,764","9,317","6,448","5,800","1,721",90%,88%,69%,30%
Gore District,5-11,"1,030",290,165,NA,NA,NA,NA,28%,16%,NA,NA
Grey District,12+,"11,988","10,779","10,539","10,023","6,988","6,380","2,043",90%,88%,70%,32%
Grey District,5-11,"1,141",465,255,NA,NA,NA,NA,41%,22%,NA,NA
Hamilton City,12+,"149,223","137,139","134,556","127,547","85,665","69,790","19,895",92%,90%,67%,29%
Hamilton City,5-11,"17,646","7,780","4,125",NA,Masked,NA,NA,44%,23%,>95%,NA
Hastings District,12+,"76,625","69,865","68,410","64,901","44,543","38,917","12,927",91%,89%,69%,33%
Hastings District,5-11,"8,718","3,398","1,656",NA,Masked,NA,NA,39%,19%,>95%,NA
Hauraki District,12+,"18,159","15,680","15,307","14,676","9,862","9,207","3,395",86%,84%,67%,37%
Hauraki District,5-11,"1,805",537,263,NA,NA,NA,NA,30%,15%,NA,NA
Horowhenua District,12+,"30,501","27,550","26,945","25,720","18,145","16,592","6,793",90%,88%,71%,41%
Horowhenua District,5-11,"3,065","1,119",513,NA,NA,NA,NA,37%,17%,NA,NA
Hurunui District,12+,"11,760","10,532","10,356","9,881","7,067","6,461","2,279",90%,88%,72%,35%
Hurunui District,5-11,"1,139",491,265,NA,NA,NA,NA,43%,23%,NA,NA
Invercargill City,12+,"47,467","43,821","43,030","40,956","28,799","25,548","8,049",92%,91%,70%,32%
Invercargill City,5-11,"5,011","2,108","1,137",NA,NA,NA,NA,42%,23%,NA,NA
Kaikoura District,12+,"3,629","3,223","3,188","3,065","2,260","2,128",773,89%,88%,74%,36%
Kaikoura District,5-11,304,119,68,NA,NA,NA,NA,39%,22%,NA,NA
Kaipara District,12+,"21,778","18,001","17,515","16,884","11,055","10,365","3,079",83%,80%,65%,30%
Kaipara District,5-11,"2,340",597,267,NA,NA,NA,NA,26%,11%,NA,NA
Kapiti Coast District,12+,"49,276","45,667","45,068","42,986","33,743","30,697","14,555",93%,91%,78%,47%
Kapiti Coast District,5-11,"4,475","2,122","1,346",NA,NA,NA,NA,47%,30%,NA,NA
Kawerau District,12+,"6,403","5,417","5,194","4,937","2,935","2,709",917,85%,81%,59%,34%
Kawerau District,5-11,790,169,42,NA,NA,NA,NA,21%,5%,NA,NA
Lower Hutt City,12+,"94,519","88,083","86,756","82,309","61,583","52,778","18,697",93%,92%,75%,35%
Lower Hutt City,5-11,"10,146","5,595","3,497",NA,Masked,NA,NA,55%,34%,>95%,NA
Mackenzie District,12+,"4,333","3,887","3,825","3,675","2,617","2,315",694,90%,88%,71%,30%
Mackenzie District,5-11,370,166,70,NA,NA,NA,NA,45%,19%,NA,NA
Manawatu District,12+,"27,415","25,237","24,801","23,420","16,448","14,756","5,097",92%,90%,70%,35%
Manawatu District,5-11,"3,219","1,396",757,NA,NA,NA,NA,43%,24%,NA,NA
Marlborough District,12+,"44,648","41,067","40,429","38,704","28,642","26,011","9,974",92%,91%,74%,38%
Marlborough District,5-11,"4,065","1,863",990,NA,NA,NA,NA,46%,24%,NA,NA
Masterton District,12+,"23,875","21,904","21,438","20,461","14,362","12,978","5,161",92%,90%,70%,40%
Masterton District,5-11,"2,391",949,400,NA,NA,NA,NA,40%,17%,NA,NA
Matamata-Piako District,12+,"30,800","28,082","27,518","26,277","16,935","15,308","5,253",91%,89%,64%,34%
Matamata-Piako District,5-11,"3,457","1,176",502,NA,NA,NA,NA,34%,15%,NA,NA
Napier City,12+,"57,498","52,199","51,163","48,687","34,514","30,904","11,727",91%,89%,71%,38%
Napier City,5-11,"6,005","2,418","1,174",NA,NA,NA,NA,40%,20%,NA,NA
Nelson City,12+,"48,173","43,558","42,810","40,833","30,381","27,424","10,959",90%,89%,74%,40%
Nelson City,5-11,"4,378","2,183","1,130",NA,NA,NA,NA,50%,26%,NA,NA
New Plymouth District,12+,"73,264","66,387","65,189","61,801","42,446","38,160","13,034",91%,89%,69%,34%
New Plymouth District,5-11,"8,317","3,302","1,888",NA,NA,NA,NA,40%,23%,NA,NA
Opotiki District,12+,"7,896","6,639","6,339","6,067","3,837","3,529","1,092",84%,80%,63%,31%
Opotiki District,5-11,999,205,68,NA,NA,NA,NA,21%,7%,NA,NA
Otorohanga District,12+,"8,428","7,341","7,178","6,782","3,971","3,648","1,162",87%,85%,59%,32%
Otorohanga District,5-11,"1,075",266,121,NA,NA,NA,NA,25%,11%,NA,NA
Palmerston North City,12+,"75,817","69,940","68,901","65,275","47,684","38,891","13,490",92%,91%,73%,35%
Palmerston North City,5-11,"8,413","4,133","2,430",NA,NA,NA,NA,49%,29%,NA,NA
Porirua City,12+,"50,507","47,024","46,173","43,385","31,428","27,071","9,647",93%,91%,72%,36%
Porirua City,5-11,"6,538","3,343","1,834",NA,NA,NA,NA,51%,28%,NA,NA
Queenstown-Lakes District,12+,"43,395","39,875","39,153","37,632","24,276","20,402","5,241",92%,90%,65%,26%
Queenstown-Lakes District,5-11,"3,502","1,755",998,NA,Masked,NA,NA,50%,28%,>95%,NA
Rangitikei District,12+,"13,306","11,805","11,576","11,051","7,741","6,958","2,499",89%,87%,70%,36%
Rangitikei District,5-11,"1,468",575,262,NA,NA,NA,NA,39%,18%,NA,NA
Rotorua District,12+,"61,887","55,179","53,788","50,820","33,450","29,550","9,870",89%,87%,66%,33%
Rotorua District,5-11,"7,644","2,723","1,299",NA,NA,NA,NA,36%,17%,NA,NA
Ruapehu District,12+,"10,452","8,784","8,483","8,105","5,139","4,718","1,550",84%,81%,63%,33%
Ruapehu District,5-11,"1,343",334,154,NA,NA,NA,NA,25%,11%,NA,NA
Selwyn District,12+,"61,314",Masked,Masked,"56,227","41,820","36,295","10,704",>95%,>95%,74%,29%
Selwyn District,5-11,"7,466","4,403","2,777",NA,NA,NA,NA,59%,37%,NA,NA
South Taranaki District,12+,"22,522","19,755","19,318","18,308","11,737","10,661","3,153",88%,86%,64%,30%
South Taranaki District,5-11,"2,708",885,452,NA,NA,NA,NA,33%,17%,NA,NA
South Waikato District,12+,"20,418","18,001","17,502","16,602","10,064","9,146","2,945",88%,86%,61%,32%
South Waikato District,5-11,"2,663",773,348,NA,NA,NA,NA,29%,13%,NA,NA
South Wairarapa District,12+,"10,226","9,505","9,326","8,910","6,705","6,246","2,634",93%,91%,75%,42%
South Wairarapa District,5-11,998,465,244,NA,NA,NA,NA,47%,24%,NA,NA
Southland District,12+,"26,077","23,168","22,738","21,567","14,459","13,146","3,553",89%,87%,67%,27%
Southland District,5-11,"2,964","1,067",541,NA,NA,NA,NA,36%,18%,NA,NA
Stratford District,12+,"7,971","7,134","6,979","6,631","4,335","3,967","1,233",89%,88%,65%,31%
Stratford District,5-11,969,384,198,NA,NA,NA,NA,40%,20%,NA,NA
Tararua District,12+,"15,757","13,853","13,519","12,831","8,595","7,818","2,560",88%,86%,67%,33%
Tararua District,5-11,"1,842",631,299,NA,NA,NA,NA,34%,16%,NA,NA
Tasman District,12+,"50,816","45,175","44,329","42,390","30,212","27,561","10,872",89%,87%,71%,39%
Tasman District,5-11,"4,715","1,819","1,008",NA,NA,NA,NA,39%,21%,NA,NA
Taupo District,12+,"33,937","30,448","29,794","28,379","18,586","17,085","6,163",90%,88%,65%,36%
Taupo District,5-11,"3,736","1,201",574,NA,Masked,NA,NA,32%,15%,>95%,NA
Tauranga City,12+,"133,127","119,954","117,596","112,112","74,669","66,556","22,491",90%,88%,67%,34%
Tauranga City,5-11,"14,517","5,606","2,593",NA,NA,NA,NA,39%,18%,NA,NA
Thames-Coromandel District,12+,"27,922","24,434","23,983","23,202","17,189","16,267","6,994",88%,86%,74%,43%
Thames-Coromandel District,5-11,"2,163",672,342,NA,NA,NA,NA,31%,16%,NA,NA
Timaru District,12+,"42,616","39,159","38,551","36,742","27,229","24,552","8,873",92%,90%,74%,36%
Timaru District,5-11,"4,114","1,927",934,NA,NA,NA,NA,47%,23%,NA,NA
Unknown,12+,"124,309","77,442","74,957","71,839","46,034","38,885","11,959",62%,60%,64%,31%
Unknown,5-11,"10,075","3,033","1,609",NA,NA,NA,NA,30%,16%,NA,NA
Upper Hutt City,12+,"38,682","36,724","36,261","34,308","25,909","22,775","8,575",95%,94%,76%,38%
Upper Hutt City,5-11,"4,183","2,431","1,477",NA,NA,NA,NA,58%,35%,NA,NA
Waikato District,12+,"68,556","62,734","61,471","57,864","37,719","33,341","9,386",92%,90%,65%,28%
Waikato District,5-11,"8,773","3,590","1,747",NA,NA,NA,NA,41%,20%,NA,NA
Waimakariri District,12+,"56,645","52,730","52,074","49,580","36,097","32,632","12,510",93%,92%,73%,38%
Waimakariri District,5-11,"5,422","2,496","1,470",NA,NA,NA,NA,46%,27%,NA,NA
Waimate District,12+,"7,221","6,389","6,283","6,021","4,277","3,932","1,286",88%,87%,71%,33%
Waimate District,5-11,667,246,114,NA,NA,NA,NA,37%,17%,NA,NA
Waipa District,12+,"49,511","45,877","45,165","42,707","29,710","26,560","8,738",93%,91%,70%,33%
Waipa District,5-11,"5,560","2,465","1,343",NA,NA,NA,NA,44%,24%,NA,NA
Wairoa District,12+,"6,896","5,860","5,639","5,360","3,563","3,200","1,254",85%,82%,66%,39%
