SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"9,320",Masked,Masked,"11,979","6,053","4,956","1,285",>95%,>95%,51%,26%
Unknown,Unknown,Unknown,Maori,5-11,"1,729",809,332,NA,NA,NA,NA,47%,19%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,918",Masked,Masked,"4,868","2,759","2,116",337,>95%,>95%,57%,16%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,340,221,91,NA,NA,NA,NA,65%,27%,NA,NA
100100,North Cape,Northland,Maori,12+,918,771,756,701,438,387,116,84%,82%,62%,30%
100100,North Cape,Northland,Maori,5-11,138,45,16,NA,NA,NA,NA,33%,12%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,090",884,852,803,402,362,67,81%,78%,50%,19%
100200,Rangaunu Harbour,Northland,Maori,5-11,195,33,12,NA,NA,NA,NA,17%,6%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,576,459,445,423,236,215,53,80%,77%,56%,25%
100400,Karikari Peninsula,Northland,Maori,5-11,95,21,Masked,NA,NA,NA,NA,22%,5%,NA,NA
100500,Tangonge,Northland,Maori,12+,626,504,488,450,250,217,42,81%,78%,56%,19%
100500,Tangonge,Northland,Maori,5-11,97,21,Masked,NA,NA,NA,NA,22%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,590,457,443,422,240,218,28,77%,75%,57%,13%
100600,Ahipara,Northland,Maori,5-11,107,35,9,NA,NA,NA,NA,33%,8%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,327","1,080","1,017",942,451,395,63,81%,77%,48%,16%
100700,Kaitaia East,Northland,Maori,5-11,295,79,26,NA,NA,NA,NA,27%,9%,NA,NA
