SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"10,163",Masked,"9,395","7,308","3,954",>95%,92%,54%
Unknown,Unknown,Unknown,Maori,5-11,"1,646",467,98,NA,NA,28%,6%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,575",Masked,Masked,"3,256","1,757",>95%,>95%,54%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,346,132,20,NA,NA,38%,6%,NA
100100,North Cape,Northland,Maori,12+,858,774,753,610,401,90%,88%,66%
100100,North Cape,Northland,Maori,5-11,161,38,Masked,NA,NA,24%,<5%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,015",865,828,659,364,85%,82%,55%
100200,Rangaunu Harbour,Northland,Maori,5-11,193,37,Masked,NA,NA,19%,<5%,NA
100400,Karikari Peninsula,Northland,Maori,12+,523,438,420,319,198,84%,80%,62%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,Masked,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,Maori,12+,553,479,466,377,224,87%,84%,59%
100500,Tangonge,Northland,Maori,5-11,94,20,Masked,NA,NA,21%,<5%,NA
100600,Ahipara,Northland,Maori,12+,584,493,475,399,245,84%,81%,61%
100600,Ahipara,Northland,Maori,5-11,108,35,Masked,NA,NA,32%,<5%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,306","1,141","1,072",820,400,87%,82%,49%
100700,Kaitaia East,Northland,Maori,5-11,286,74,Masked,NA,NA,26%,<5%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,53,Masked,Masked,47,24,>95%,>95%,51%
100800,Kaitaia West,Northland,Maori,12+,"1,862","1,637","1,536","1,138",565,88%,82%,50%
100800,Kaitaia West,Northland,Maori,5-11,414,70,7,NA,NA,17%,<5%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,102,95,92,75,38,93%,90%,51%
100900,Rangitihi,Northland,Maori,12+,389,329,316,245,126,85%,81%,51%
100900,Rangitihi,Northland,Maori,5-11,58,7,Masked,NA,NA,12%,<5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,313,252,239,198,99,81%,76%,50%
101000,Oruru-Parapara,Northland,Maori,5-11,66,15,Masked,NA,NA,23%,<5%,NA
101100,Taumarumaru,Northland,Maori,12+,576,510,482,386,230,89%,84%,60%
101100,Taumarumaru,Northland,Maori,5-11,140,29,Masked,NA,NA,21%,<5%,NA
101200,Herekino-Takahue,Northland,Maori,12+,416,344,326,254,144,83%,78%,57%
101200,Herekino-Takahue,Northland,Maori,5-11,80,22,Masked,NA,NA,28%,<5%,NA
101300,Peria,Northland,Maori,12+,334,262,249,192,100,78%,75%,52%
