DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-15,Female,3091,2954,2947,1049,1002
Auckland,Asian,12-15,Male,3235,3073,3085,1049,996
Auckland,Asian,16-19,Female,3248,3177,2904,1118,1094
Auckland,Asian,16-19,Male,3373,3284,2826,1194,1162
Auckland,Asian,16-19,Unknown/Other,42,42,9,4667,4667
Auckland,Asian,20-24,Female,5965,5844,5122,1165,1141
Auckland,Asian,20-24,Male,6181,6006,4850,1274,1238
Auckland,Asian,20-24,Unknown/Other,75,72,12,6250,6000
Auckland,Asian,25-29,Female,7949,7822,8392,947,932
Auckland,Asian,25-29,Male,9090,8923,7740,1174,1153
Auckland,Asian,25-29,Unknown/Other,133,128,25,5320,5120
Auckland,Asian,30-34,Female,8942,8772,9316,960,942
Auckland,Asian,30-34,Male,9031,8838,8382,1077,1054
Auckland,Asian,30-34,Unknown/Other,110,106,19,5789,5579
Auckland,Asian,35-39,Female,7649,7494,8154,938,919
Auckland,Asian,35-39,Male,7714,7602,7336,1052,1036
Auckland,Asian,35-39,Unknown/Other,66,65,14,4714,4643
Auckland,Asian,40-44,Female,5683,5583,5623,1011,993
Auckland,Asian,40-44,Male,5694,5597,5231,1089,1070
Auckland,Asian,40-44,Unknown/Other,43,40,15,2867,2667
Auckland,Asian,45-49,Female,4683,4597,4861,963,946
Auckland,Asian,45-49,Male,4253,4176,3985,1067,1048
Auckland,Asian,50-54,Female,4292,4211,4411,973,955
Auckland,Asian,50-54,Male,3413,3364,3467,984,970
Auckland,Asian,55-59,Female,3926,3853,4228,929,911
Auckland,Asian,55-59,Male,3354,3302,3468,967,952
Auckland,Asian,60-64,Female,3186,3139,3608,883,870
Auckland,Asian,60-64,Male,2681,2648,2922,918,906
Auckland,Asian,65-69,Female,2719,2684,2935,926,914
Auckland,Asian,65-69,Male,2276,2253,2584,881,872
Auckland,Asian,70-74,Female,1769,1747,1918,922,911
Auckland,Asian,70-74,Male,1641,1625,1743,941,932
Auckland,Asian,75-79,Female,1103,1089,1240,890,878
Auckland,Asian,75-79,Male,949,927,1080,879,858
Auckland,Asian,80-84,Female,816,795,943,865,843
Auckland,Asian,80-84,Male,698,690,819,852,842
Auckland,Asian,85-89,Female,406,384,441,921,871
Auckland,Asian,85-89,Male,393,382,420,936,910
Auckland,Asian,90+,Female,174,161,179,972,899
Auckland,Asian,90+,Male,107,102,126,849,810
Auckland,European or Other,12-15,Female,4866,4680,4934,986,949
