DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland,Asian,12-15,Female,2999,2686,2947,1018,911
Auckland,Asian,12-15,Male,3136,2815,3085,1017,912
Auckland,Asian,16-19,Female,3207,2962,2904,1104,1020
Auckland,Asian,16-19,Male,3296,3055,2826,1166,1081
Auckland,Asian,16-19,Unknown/Other,45,41,9,5000,4556
Auckland,Asian,20-24,Female,5862,5448,5122,1144,1064
Auckland,Asian,20-24,Male,6038,5517,4850,1245,1138
Auckland,Asian,20-24,Unknown/Other,80,70,12,6667,5833
Auckland,Asian,25-29,Female,7857,7482,8392,936,892
Auckland,Asian,25-29,Male,8969,8418,7740,1159,1088
Auckland,Asian,25-29,Unknown/Other,134,127,25,5360,5080
Auckland,Asian,30-34,Female,8842,8387,9316,949,900
Auckland,Asian,30-34,Male,8948,8515,8382,1068,1016
Auckland,Asian,30-34,Unknown/Other,111,101,19,5842,5316
Auckland,Asian,35-39,Female,7564,7185,8154,928,881
Auckland,Asian,35-39,Male,7626,7288,7336,1040,993
Auckland,Asian,35-39,Unknown/Other,64,62,14,4571,4429
Auckland,Asian,40-44,Female,5662,5470,5623,1007,973
Auckland,Asian,40-44,Male,5639,5466,5231,1078,1045
Auckland,Asian,40-44,Unknown/Other,47,39,15,3133,2600
Auckland,Asian,45-49,Female,4660,4484,4861,959,922
Auckland,Asian,45-49,Male,4220,4061,3985,1059,1019
Auckland,Asian,50-54,Female,4243,4077,4411,962,924
Auckland,Asian,50-54,Male,3387,3301,3467,977,952
Auckland,Asian,55-59,Female,3883,3791,4228,918,897
Auckland,Asian,55-59,Male,3318,3217,3468,957,928
Auckland,Asian,60-64,Female,3143,3047,3608,871,845
Auckland,Asian,60-64,Male,2660,2593,2922,910,887
Auckland,Asian,65-69,Female,2695,2641,2935,918,900
Auckland,Asian,65-69,Male,2253,2197,2584,872,850
Auckland,Asian,70-74,Female,1742,1705,1918,908,889
Auckland,Asian,70-74,Male,1633,1614,1743,937,926
Auckland,Asian,75-79,Female,1095,1063,1240,883,857
Auckland,Asian,75-79,Male,935,906,1080,866,839
Auckland,Asian,80-84,Female,808,785,943,857,832
Auckland,Asian,80-84,Male,688,670,819,840,818
Auckland,Asian,85-89,Female,399,370,441,905,839
Auckland,Asian,85-89,Male,385,372,420,917,886
Auckland,Asian,90+,Female,165,158,179,922,883
Auckland,Asian,90+,Male,106,103,126,841,817
Auckland,European or Other,12-15,Female,4715,4277,4934,956,867
Auckland,European or Other,12-15,Male,4838,4371,5110,947,855
Auckland,European or Other,12-15,Unknown/Other,6,6,5,1200,1200
Auckland,European or Other,16-19,Female,4657,4392,4912,948,894
Auckland,European or Other,16-19,Male,4548,4249,4777,952,889
Auckland,European or Other,16-19,Unknown/Other,9,7,12,750,583
Auckland,European or Other,20-24,Female,8195,7629,9005,910,847
Auckland,European or Other,20-24,Male,7453,6769,7930,940,854
Auckland,European or Other,20-24,Unknown/Other,35,33,29,1207,1138
Auckland,European or Other,25-29,Female,10000,9524,11855,844,803
Auckland,European or Other,25-29,Male,10079,9336,10769,936,867
Auckland,European or Other,25-29,Unknown/Other,50,48,23,2174,2087
Auckland,European or Other,30-34,Female,9183,8739,10714,857,816
Auckland,European or Other,30-34,Male,9997,9373,10361,965,905
Auckland,European or Other,30-34,Unknown/Other,46,44,22,2091,2000
Auckland,European or Other,35-39,Female,7474,7056,8521,877,828
Auckland,European or Other,35-39,Male,8015,7566,8574,935,882
Auckland,European or Other,35-39,Unknown/Other,17,16,15,1133,1067
Auckland,European or Other,40-44,Female,7030,6729,8032,875,838
Auckland,European or Other,40-44,Male,7314,6996,8027,911,872
Auckland,European or Other,45-49,Female,7905,7637,8961,882,852
Auckland,European or Other,45-49,Male,7976,7631,8951,891,853
Auckland,European or Other,50-54,Female,7950,7719,8362,951,923
Auckland,European or Other,50-54,Male,8415,8091,8858,950,913
Auckland,European or Other,50-54,Unknown/Other,9,8,5,1800,1600
Auckland,European or Other,55-59,Female,7394,7207,8093,914,891
Auckland,European or Other,55-59,Male,7922,7671,8644,916,887
Auckland,European or Other,60-64,Female,6675,6506,6988,955,931
Auckland,European or Other,60-64,Male,7110,6930,7440,956,931
Auckland,European or Other,65-69,Female,5652,5523,5985,944,923
Auckland,European or Other,65-69,Male,5821,5687,6084,957,935
Auckland,European or Other,70-74,Female,5129,5012,5399,950,928
