SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"11,490","9,546","9,016","8,158","3,832","1,113",296,83%,78%,47%,27%
Unknown,Unknown,Unknown,Maori,5-11,"1,979",596,246,NA,NA,NA,NA,30%,12%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,920",Masked,Masked,"3,647","2,001",318,79,>95%,>95%,55%,25%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,401,180,65,NA,NA,NA,NA,45%,16%,NA,NA
100100,North Cape,Northland,Maori,12+,909,778,761,692,424,216,42,86%,84%,61%,19%
100100,North Cape,Northland,Maori,5-11,145,44,16,NA,NA,NA,NA,30%,11%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,043",877,844,776,398,168,25,84%,81%,51%,15%
100200,Rangaunu Harbour,Northland,Maori,5-11,190,34,13,NA,NA,NA,NA,18%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,548,456,442,416,218,108,24,83%,81%,52%,22%
100400,Karikari Peninsula,Northland,Maori,5-11,88,20,Masked,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,591,499,487,439,251,101,13,84%,82%,57%,13%
100500,Tangonge,Northland,Maori,5-11,100,19,Masked,NA,NA,NA,NA,19%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,602,489,475,442,264,124,17,81%,79%,60%,14%
100600,Ahipara,Northland,Maori,5-11,104,35,9,NA,NA,NA,NA,34%,9%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,328","1,137","1,069",958,455,143,35,86%,80%,47%,24%
100700,Kaitaia East,Northland,Maori,5-11,297,84,23,NA,NA,NA,NA,28%,8%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,58,52,51,49,24,5,NA,90%,88%,49%,0%
100800,Kaitaia West,Northland,Maori,12+,"1,920","1,585","1,494","1,333",627,207,38,83%,78%,47%,18%
100800,Kaitaia West,Northland,Maori,5-11,372,81,28,NA,NA,NA,NA,22%,8%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,105,96,93,85,46,14,3,91%,89%,54%,21%
100900,Rangitihi,Northland,Maori,12+,408,339,326,292,144,49,6,83%,80%,49%,12%
100900,Rangitihi,Northland,Maori,5-11,56,8,Masked,NA,NA,NA,NA,14%,5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,321,246,233,215,107,45,10,77%,73%,50%,22%
101000,Oruru-Parapara,Northland,Maori,5-11,62,14,6,NA,NA,NA,NA,23%,10%,NA,NA
101100,Taumarumaru,Northland,Maori,12+,592,495,470,434,242,117,29,84%,79%,56%,25%
101100,Taumarumaru,Northland,Maori,5-11,138,34,13,NA,NA,NA,NA,25%,9%,NA,NA
