Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"29,561","27,530","27,081","25,750","18,471","11,598","5,530",93%,92%,72%,48%
Ashburton District,5-11,"3,237","1,599",847,NA,NA,NA,NA,49%,26%,NA,NA
Auckland,12+,"1,479,336","1,361,607","1,342,355","1,272,386","908,908","455,590","215,790",92%,91%,71%,47%
Auckland,5-11,"161,177","85,473","51,496",NA,Masked,NA,NA,53%,32%,>95%,NA
Buller District,12+,"8,854","7,788","7,650","7,319","5,258","4,045","1,769",88%,86%,72%,44%
Buller District,5-11,744,294,163,NA,NA,NA,NA,40%,22%,NA,NA
Carterton District,12+,"8,723","8,073","7,924","7,548","5,628","4,080","2,129",93%,91%,75%,52%
Carterton District,5-11,832,378,202,NA,NA,NA,NA,45%,24%,NA,NA
Central Hawke's Bay District,12+,"13,028","11,877","11,636","11,068","7,888","5,470","2,437",91%,89%,71%,45%
Central Hawke's Bay District,5-11,"1,483",611,278,NA,NA,NA,NA,41%,19%,NA,NA
Central Otago District,12+,"21,356","20,074","19,801","18,953","14,302","9,689","5,016",94%,93%,75%,52%
Central Otago District,5-11,"1,836",901,478,NA,NA,NA,NA,49%,26%,NA,NA
Chatham Islands Territory,12+,309,Masked,Masked,313,230,161,40,>95%,>95%,73%,25%
Chatham Islands Territory,5-11,18,10,Masked,NA,NA,NA,NA,56%,22%,NA,NA
Christchurch City,12+,"349,162","327,180","323,316","308,672","231,609","121,205","66,455",94%,93%,75%,55%
Christchurch City,5-11,"31,316","16,911","10,283",NA,Masked,NA,NA,54%,33%,>95%,NA
Clutha District,12+,"15,615","14,052","13,808","13,147","8,956","6,057","2,457",90%,88%,68%,41%
Clutha District,5-11,"1,568",653,309,NA,NA,NA,NA,42%,20%,NA,NA
Dunedin City,12+,"118,087","111,274","110,122","105,559","82,675","41,717","24,089",94%,93%,78%,58%
Dunedin City,5-11,"9,364","5,486","3,388",NA,NA,NA,NA,59%,36%,NA,NA
Far North District,12+,"60,464","50,590","48,979","46,691","30,404","23,700","9,066",84%,81%,65%,38%
Far North District,5-11,"7,118","1,764",753,NA,NA,NA,NA,25%,11%,NA,NA
Gisborne District,12+,"42,902","38,133","37,062","34,856","22,903","15,402","6,538",89%,86%,66%,42%
Gisborne District,5-11,"5,357","2,296","1,340",NA,NA,NA,NA,43%,25%,NA,NA
Gore District,12+,"11,059","9,944","9,783","9,326","6,468","4,392","1,707",90%,88%,69%,39%
Gore District,5-11,"1,030",306,173,NA,NA,NA,NA,30%,17%,NA,NA
Grey District,12+,"11,988","10,787","10,550","10,021","6,997","4,819","2,002",90%,88%,70%,42%
Grey District,5-11,"1,141",471,258,NA,NA,NA,NA,41%,23%,NA,NA
Hamilton City,12+,"149,227","136,965","134,444","127,331","85,625","41,913","19,399",92%,90%,67%,46%
Hamilton City,5-11,"17,646","7,913","4,180",NA,Masked,NA,NA,45%,24%,>95%,NA
