Vaccine,Dose number,Ethnicity,Number of doses administered
AstraZeneca,1,Maori,366
AstraZeneca,1,Other,2842
AstraZeneca,1,Pacific Peoples,112
AstraZeneca,2,Maori,361
AstraZeneca,2,Other,3038
AstraZeneca,2,Pacific Peoples,249
AstraZeneca,BOOSTER 1,Maori,105
AstraZeneca,BOOSTER 1,Other,1695
AstraZeneca,BOOSTER 1,Pacific Peoples,89
AstraZeneca,BOOSTER 2,Maori,12
AstraZeneca,BOOSTER 2,Other,160
AstraZeneca,THIRD_PRIMARY,Other,22
Novavax,1,Maori,200
Novavax,1,Other,2190
Novavax,1,Pacific Peoples,63
Novavax,2,Maori,175
Novavax,2,Other,2081
Novavax,2,Pacific Peoples,50
Novavax,BOOSTER,Other,7
Novavax,BOOSTER 1,Maori,74
Novavax,BOOSTER 1,Other,971
Novavax,BOOSTER 1,Pacific Peoples,9
Novavax,BOOSTER 2,Maori,77
Novavax,BOOSTER 2,Other,1596
Novavax,BOOSTER 2,Pacific Peoples,22
Novavax,THIRD_PRIMARY,Other,32
Pfizer BioNTech COVID-19,1,Maori,527256
Pfizer BioNTech COVID-19,1,Other,3220104
Pfizer BioNTech COVID-19,1,Pacific Peoples,277858
Pfizer BioNTech COVID-19,2,Maori,510640
Pfizer BioNTech COVID-19,2,Other,3193319
Pfizer BioNTech COVID-19,2,Pacific Peoples,274060
Pfizer BioNTech COVID-19,BOOSTER,Maori,48
Pfizer BioNTech COVID-19,BOOSTER,Other,499
Pfizer BioNTech COVID-19,BOOSTER,Pacific Peoples,12
Pfizer BioNTech COVID-19,BOOSTER 1,Maori,255716
Pfizer BioNTech COVID-19,BOOSTER 1,Other,2342132
Pfizer BioNTech COVID-19,BOOSTER 1,Pacific Peoples,155393
Pfizer BioNTech COVID-19,BOOSTER 2,Maori,58465
Pfizer BioNTech COVID-19,BOOSTER 2,Other,669060
Pfizer BioNTech COVID-19,BOOSTER 2,Pacific Peoples,27268
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Maori,2420
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Other,27622
Pfizer BioNTech COVID-19,THIRD_PRIMARY,Pacific Peoples,1132
