SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"9,697",Masked,Masked,"11,807","5,906","3,951","1,190",>95%,>95%,50%,30%
Unknown,Unknown,Unknown,Maori,5-11,"1,809",790,335,NA,NA,NA,NA,44%,19%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"4,052",Masked,Masked,"4,823","2,723","1,439",322,>95%,>95%,56%,22%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,357,225,90,NA,NA,NA,NA,63%,25%,NA,NA
100100,North Cape,Northland,Maori,12+,917,772,756,699,440,338,120,84%,82%,63%,36%
100100,North Cape,Northland,Maori,5-11,138,44,16,NA,NA,NA,NA,32%,12%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,088",882,850,798,407,326,64,81%,78%,51%,20%
100200,Rangaunu Harbour,Northland,Maori,5-11,199,33,12,NA,NA,NA,NA,17%,6%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,573,457,445,421,230,189,53,80%,78%,55%,28%
100400,Karikari Peninsula,Northland,Maori,5-11,93,20,Masked,NA,NA,NA,NA,22%,5%,NA,NA
100500,Tangonge,Northland,Maori,12+,620,509,494,452,256,184,41,82%,80%,57%,22%
100500,Tangonge,Northland,Maori,5-11,98,22,Masked,NA,NA,NA,NA,22%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,593,463,448,428,247,206,28,78%,76%,58%,14%
100600,Ahipara,Northland,Maori,5-11,100,34,9,NA,NA,NA,NA,34%,9%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,334","1,085","1,021",942,442,315,64,81%,77%,47%,20%
100700,Kaitaia East,Northland,Maori,5-11,296,80,26,NA,NA,NA,NA,27%,9%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,55,49,48,45,25,19,Masked,89%,87%,56%,5%
100800,Kaitaia West,Northland,Maori,12+,"1,923","1,570","1,481","1,349",630,461,93,82%,77%,47%,20%
100800,Kaitaia West,Northland,Maori,5-11,354,85,33,NA,NA,NA,NA,24%,9%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,110,97,94,88,45,31,9,88%,85%,51%,29%
100900,Rangitihi,Northland,Maori,12+,419,336,324,298,142,105,18,80%,77%,48%,17%
100900,Rangitihi,Northland,Maori,5-11,61,8,Masked,NA,NA,NA,NA,13%,<5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,319,227,215,200,92,78,14,71%,67%,46%,18%
101000,Oruru-Parapara,Northland,Maori,5-11,59,13,Masked,NA,NA,NA,NA,22%,8%,NA,NA
101100,Taumarumaru,Northland,Maori,12+,613,503,482,446,249,207,57,82%,79%,56%,28%
101100,Taumarumaru,Northland,Maori,5-11,127,33,13,NA,NA,NA,NA,26%,10%,NA,NA
101200,Herekino-Takahue,Northland,Maori,12+,481,348,330,304,150,125,23,72%,69%,49%,18%
101200,Herekino-Takahue,Northland,Maori,5-11,80,24,Masked,NA,NA,NA,NA,30%,5%,NA,NA
101300,Peria,Northland,Maori,12+,368,263,255,240,116,88,9,71%,69%,48%,10%
101300,Peria,Northland,Maori,5-11,90,15,Masked,NA,NA,NA,NA,17%,6%,NA,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,327,238,226,207,114,95,25,73%,69%,55%,26%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,56,16,Masked,NA,NA,NA,NA,29%,7%,NA,NA
101500,Whakapaku,Northland,Maori,12+,278,208,196,185,97,88,29,75%,71%,52%,33%
101500,Whakapaku,Northland,Maori,5-11,55,17,Masked,NA,NA,NA,NA,31%,7%,NA,NA
101600,Hokianga North,Northland,Maori,12+,699,566,549,507,333,281,62,81%,79%,66%,22%
101600,Hokianga North,Northland,Maori,5-11,114,35,13,NA,NA,NA,NA,31%,11%,NA,NA
