Week ending,Group,DHB of service,Dose number,# doses administered
21/02/2021,Group 1,Auckland Metro,1,115
21/02/2021,Group 2,Auckland Metro,1,47
28/02/2021,Group 1,Auckland Metro,1,"2,993"
28/02/2021,Group 1,Canterbury,1,544
28/02/2021,Group 1,Capital & Coast and Hutt Valley,1,140
28/02/2021,Group 1,Lakes,1,62
28/02/2021,Group 1,Northland,1,18
28/02/2021,Group 1,Tairawhiti,1,43
28/02/2021,Group 1,Waikato,1,194
28/02/2021,Group 2,Auckland Metro,1,2359
28/02/2021,Group 2,Canterbury,1,57
28/02/2021,Group 2,Capital & Coast and Hutt Valley,1,40
28/02/2021,Group 2,Hawke's Bay,1,26
28/02/2021,Group 2,Lakes,1,10
28/02/2021,Group 2,Tairawhiti,1,36
28/02/2021,Group 2,Waikato,1,26
07/03/2021,Group 1,Auckland Metro,1,2867
07/03/2021,Group 1,Bay of Plenty,1,191
07/03/2021,Group 1,Canterbury,1,946
07/03/2021,Group 1,Capital & Coast and Hutt Valley,1,162
07/03/2021,Group 1,Hawke's Bay,1,189
07/03/2021,Group 1,Lakes,1,193
07/03/2021,Group 1,Nelson Marlborough,1,337
07/03/2021,Group 1,Northland,1,158
07/03/2021,Group 1,South Canterbury,1,117
07/03/2021,Group 1,Southern,1,394
07/03/2021,Group 1,Tairawhiti,1,39
07/03/2021,Group 1,Taranaki,1,83
07/03/2021,Group 1,Waikato,1,267
07/03/2021,Group 2,Auckland Metro,1,1463
07/03/2021,Group 2,Bay of Plenty,1,17
07/03/2021,Group 2,Canterbury,1,111
07/03/2021,Group 2,Capital & Coast and Hutt Valley,1,19
07/03/2021,Group 2,Hawke's Bay,1,22
07/03/2021,Group 2,Lakes,1,54
07/03/2021,Group 2,Nelson Marlborough,1,69
07/03/2021,Group 2,South Canterbury,1,121
07/03/2021,Group 2,Southern,1,57
07/03/2021,Group 2,Tairawhiti,1,161
07/03/2021,Group 2,Taranaki,1,67
07/03/2021,Group 2,Waikato,1,797
14/03/2021,Group 1,Auckland Metro,1,2507
14/03/2021,Group 1,Auckland Metro,2,8
14/03/2021,Group 1,Bay of Plenty,1,220
