DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-15,Female,3049,2862,2947,1035,971
Auckland,Asian,12-15,Male,3184,2981,3085,1032,966
Auckland,Asian,16-19,Female,3236,3097,2904,1114,1066
Auckland,Asian,16-19,Male,3335,3191,2826,1180,1129
Auckland,Asian,16-19,Unknown/Other,45,43,9,5000,4778
Auckland,Asian,20-24,Female,5923,5695,5122,1156,1112
Auckland,Asian,20-24,Male,6106,5831,4850,1259,1202
Auckland,Asian,20-24,Unknown/Other,77,71,12,6417,5917
Auckland,Asian,25-29,Female,7895,7692,8392,941,917
Auckland,Asian,25-29,Male,9047,8713,7740,1169,1126
Auckland,Asian,25-29,Unknown/Other,131,127,25,5240,5080
Auckland,Asian,30-34,Female,8873,8622,9316,952,926
Auckland,Asian,30-34,Male,9004,8711,8382,1074,1039
Auckland,Asian,30-34,Unknown/Other,111,105,19,5842,5526
Auckland,Asian,35-39,Female,7603,7362,8154,932,903
Auckland,Asian,35-39,Male,7652,7457,7336,1043,1016
Auckland,Asian,35-39,Unknown/Other,66,63,14,4714,4500
Auckland,Asian,40-44,Female,5655,5513,5623,1006,980
Auckland,Asian,40-44,Male,5657,5522,5231,1081,1056
Auckland,Asian,40-44,Unknown/Other,47,42,15,3133,2800
Auckland,Asian,45-49,Female,4669,4541,4861,961,934
Auckland,Asian,45-49,Male,4235,4123,3985,1063,1035
Auckland,Asian,50-54,Female,4262,4160,4411,966,943
Auckland,Asian,50-54,Male,3395,3330,3467,979,960
Auckland,Asian,55-59,Female,3906,3818,4228,924,903
Auckland,Asian,55-59,Male,3342,3257,3468,964,939
Auckland,Asian,60-64,Female,3166,3094,3608,877,858
Auckland,Asian,60-64,Male,2674,2633,2922,915,901
Auckland,Asian,65-69,Female,2700,2660,2935,920,906
Auckland,Asian,65-69,Male,2259,2225,2584,874,861
Auckland,Asian,70-74,Female,1750,1721,1918,912,897
Auckland,Asian,70-74,Male,1634,1610,1743,937,924
Auckland,Asian,75-79,Female,1101,1081,1240,888,872
Auckland,Asian,75-79,Male,943,916,1080,873,848
Auckland,Asian,80-84,Female,816,793,943,865,841
Auckland,Asian,80-84,Male,693,681,819,846,832
Auckland,Asian,85-89,Female,405,381,441,918,864
Auckland,Asian,85-89,Male,390,374,420,929,890
Auckland,Asian,90+,Female,172,159,179,961,888
Auckland,Asian,90+,Male,106,101,126,841,802
Auckland,European or Other,12-15,Female,4793,4532,4934,971,919
Auckland,European or Other,12-15,Male,4904,4650,5110,960,910
Auckland,European or Other,12-15,Unknown/Other,7,7,5,1400,1400
Auckland,European or Other,16-19,Female,4688,4534,4912,954,923
Auckland,European or Other,16-19,Male,4595,4396,4777,962,920
Auckland,European or Other,16-19,Unknown/Other,9,9,12,750,750
Auckland,European or Other,20-24,Female,8285,8016,9005,920,890
Auckland,European or Other,20-24,Male,7554,7188,7930,953,906
Auckland,European or Other,20-24,Unknown/Other,34,31,29,1172,1069
Auckland,European or Other,25-29,Female,10134,9821,11855,855,828
Auckland,European or Other,25-29,Male,10211,9768,10769,948,907
Auckland,European or Other,25-29,Unknown/Other,48,47,23,2087,2043
Auckland,European or Other,30-34,Female,9298,8998,10714,868,840
Auckland,European or Other,30-34,Male,10105,9693,10361,975,936
Auckland,European or Other,30-34,Unknown/Other,46,45,22,2091,2045
Auckland,European or Other,35-39,Female,7520,7267,8521,883,853
Auckland,European or Other,35-39,Male,8101,7795,8574,945,909
Auckland,European or Other,35-39,Unknown/Other,16,14,15,1067,933
Auckland,European or Other,40-44,Female,7075,6870,8032,881,855
Auckland,European or Other,40-44,Male,7364,7143,8027,917,890
Auckland,European or Other,45-49,Female,7931,7800,8961,885,870
Auckland,European or Other,45-49,Male,8018,7824,8951,896,874
Auckland,European or Other,50-54,Female,7991,7820,8362,956,935
Auckland,European or Other,50-54,Male,8454,8257,8858,954,932
Auckland,European or Other,50-54,Unknown/Other,10,10,5,2000,2000
Auckland,European or Other,55-59,Female,7395,7266,8093,914,898
Auckland,European or Other,55-59,Male,7952,7770,8644,920,899
Auckland,European or Other,60-64,Female,6666,6554,6988,954,938
Auckland,European or Other,60-64,Male,7108,6974,7440,955,937
