Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,165,65520,NA
2021-02-28,4491,6708,141570,NA
2021-03-07,14420,15620,207090,NA
2021-03-14,21715,23165,271440,NA
2021-03-21,35595,36607,325260,NA
2021-03-28,56290,56340,396630,NA
2021-04-04,84595,84930,450450,NA
2021-04-11,117992,121478,528840,NA
2021-04-18,164107,171192,607230,NA
2021-04-25,216158,226739,685620,NA
2021-05-02,273749,284883,685620,NA
2021-05-09,338813,366540,746460,NA
2021-05-16,414824,451266,807300,NA
2021-05-23,493606,535396,868140,NA
2021-05-30,581932,637442,928980,NA
2021-06-06,680290,751214,1055790,NA
2021-06-13,793013,854038,1103760,NA
2021-06-20,909422,982326,1252900,NA
2021-06-27,1033848,1115430,1302040,NA
2021-07-04,1161952,1237847,1351180,1161952
2021-07-11,1289999,1367349,1502110,1369338
2021-07-18,1425371,1503391,1682290,1576724
2021-07-25,1633071,1692677,2032290,1750577
2021-08-01,1887555,1947381,2411370,2063064
2021-08-08,2164231,2212591,2769390,2375551
2021-08-15,2451622,2512805,3157830,2654505
2021-08-22,2754616,2797336,3602430,2932955
2021-08-29,3056599,3350421,3985020,3226921
2021-09-05,NA,3903664,4630860,3520887
2021-09-12,NA,4335934,5228730,3814853
2021-09-19,NA,4720938,5729490,4348809
2021-09-26,NA,5053945,6150690,4882765
2021-10-03,NA,5353320,6577740,5416721
2021-10-10,NA,5838445,6800430,5950677
2021-10-17,NA,6350379,7101120,6484633
2021-10-24,NA,6628403,7801560,7018589
2021-10-31,NA,6873356,9396270,7552545
2021-11-07,NA,7062143,9396270,7707286
2021-11-14,NA,7218851,9648990,7862027
2021-11-21,NA,7360100,9956142,8016768
2021-11-28,NA,7496933,10096110,8016768
2021-12-05,NA,NA,NA,8016768
