Date,Trained Vaccinator,Active Vaccinator
2021-02-28,584,135
2021-03-07,905,249
2021-03-14,1048,322
2021-03-21,1252,418
2021-03-28,1479,584
2021-04-04,1792,747
2021-04-11,2072,922
2021-04-18,2505,1153
2021-04-25,2895,1376
2021-05-02,3389,1561
2021-05-09,4448,1782
2021-05-16,5166,1992
2021-05-23,6110,2217
2021-05-30,6511,2456
2021-06-06,7141,2716
2021-06-13,7678,2935
2021-06-20,8107,3214
2021-06-27,8453,3426
2021-07-04,8622,3641
2021-07-11,8984,3832
2021-07-18,9389,3984
2021-07-25,9785,4265
2021-08-01,10214,4704
2021-08-08,10663,5192
2021-08-15,11005,5646
2021-08-22,11523,6005
2021-08-29,12461,6622
2021-09-05,13105,7221
2021-09-12,13557,7667
2021-09-19,13776,8076
2021-09-26,14094,8437
