Week ending,Group,DHB of service,Dose number,# doses administered
2021-02-21,Group 1,Auckland Metro,1,115
2021-02-21,Group 2,Auckland Metro,1,47
2021-02-28,Group 1,Auckland Metro,1,2995
2021-02-28,Group 1,Canterbury,1,544
2021-02-28,Group 1,Capital & Coast and Hutt Valley,1,140
2021-02-28,Group 1,Lakes,1,62
2021-02-28,Group 1,Northland,1,18
2021-02-28,Group 1,Tairawhiti,1,43
2021-02-28,Group 1,Waikato,1,194
2021-02-28,Group 2,Auckland Metro,1,2358
2021-02-28,Group 2,Canterbury,1,57
2021-02-28,Group 2,Capital & Coast and Hutt Valley,1,40
2021-02-28,Group 2,Hawke's Bay,1,26
2021-02-28,Group 2,Lakes,1,10
2021-02-28,Group 2,Tairawhiti,1,36
2021-02-28,Group 2,Waikato,1,26
2021-03-07,Group 1,Auckland Metro,1,2867
2021-03-07,Group 1,Bay of Plenty,1,191
2021-03-07,Group 1,Canterbury,1,946
2021-03-07,Group 1,Capital & Coast and Hutt Valley,1,162
2021-03-07,Group 1,Hawke's Bay,1,189
2021-03-07,Group 1,Lakes,1,193
2021-03-07,Group 1,Nelson Marlborough,1,337
2021-03-07,Group 1,Northland,1,158
2021-03-07,Group 1,South Canterbury,1,117
2021-03-07,Group 1,Southern,1,394
2021-03-07,Group 1,Tairawhiti,1,39
2021-03-07,Group 1,Taranaki,1,83
2021-03-07,Group 1,Waikato,1,273
2021-03-07,Group 2,Auckland Metro,1,1463
2021-03-07,Group 2,Bay of Plenty,1,17
2021-03-07,Group 2,Canterbury,1,111
2021-03-07,Group 2,Capital & Coast and Hutt Valley,1,19
2021-03-07,Group 2,Hawke's Bay,1,22
2021-03-07,Group 2,Lakes,1,54
2021-03-07,Group 2,Nelson Marlborough,1,69
2021-03-07,Group 2,South Canterbury,1,121
2021-03-07,Group 2,Southern,1,57
2021-03-07,Group 2,Tairawhiti,1,161
2021-03-07,Group 2,Taranaki,1,67
2021-03-07,Group 2,Waikato,1,791
2021-03-14,Group 1,Auckland Metro,1,2506
2021-03-14,Group 1,Auckland Metro,2,8
2021-03-14,Group 1,Bay of Plenty,1,220
2021-03-14,Group 1,Canterbury,1,819
2021-03-14,Group 1,Capital & Coast and Hutt Valley,1,84
2021-03-14,Group 1,Hawke's Bay,1,115
2021-03-14,Group 1,Lakes,1,136
2021-03-14,Group 1,Nelson Marlborough,1,209
2021-03-14,Group 1,Northland,1,116
2021-03-14,Group 1,Taranaki,1,128
2021-03-14,Group 1,Waikato,1,133
2021-03-14,Group 2,Auckland Metro,1,1530
2021-03-14,Group 2,Auckland Metro,2,13
2021-03-14,Group 2,Bay of Plenty,1,14
2021-03-14,Group 2,Canterbury,1,54
2021-03-14,Group 2,Capital & Coast and Hutt Valley,1,36
2021-03-14,Group 2,Lakes,1,37
2021-03-14,Group 2,Nelson Marlborough,1,161
2021-03-14,Group 2,Other Sites,1,472
2021-03-14,Group 2,Taranaki,1,128
2021-03-14,Group 2,Waikato,1,610
2021-03-21,Group 1,Auckland Metro,1,3427
2021-03-21,Group 1,Auckland Metro,2,2017
2021-03-21,Group 1,Bay of Plenty,1,219
2021-03-21,Group 1,Canterbury,1,255
2021-03-21,Group 1,Capital & Coast and Hutt Valley,1,51
2021-03-21,Group 1,Capital & Coast and Hutt Valley,2,116
2021-03-21,Group 1,Hawke's Bay,1,33
2021-03-21,Group 1,Lakes,1,130
2021-03-21,Group 1,Lakes,2,27
2021-03-21,Group 1,Nelson Marlborough,1,52
2021-03-21,Group 1,Northland,1,56
2021-03-21,Group 1,Other Sites,2,8
2021-03-21,Group 1,South Canterbury,1,65
2021-03-21,Group 1,Tairawhiti,1,25
2021-03-21,Group 1,Tairawhiti,2,37
2021-03-21,Group 1,Waikato,1,116
2021-03-21,Group 1,Waikato,2,13
2021-03-21,Group 2,Auckland Metro,1,472
2021-03-21,Group 2,Auckland Metro,2,1140
2021-03-21,Group 2,Bay of Plenty,1,13
2021-03-21,Group 2,Canterbury,1,46
2021-03-21,Group 2,Canterbury,2,14
2021-03-21,Group 2,Capital & Coast and Hutt Valley,1,258
2021-03-21,Group 2,Capital & Coast and Hutt Valley,2,26
2021-03-21,Group 2,Hawke's Bay,1,33
2021-03-21,Group 2,Hawke's Bay,2,19
2021-03-21,Group 2,Lakes,1,52
2021-03-21,Group 2,Nelson Marlborough,1,821
2021-03-21,Group 2,Other Sites,1,2827
2021-03-21,Group 2,South Canterbury,1,167
2021-03-21,Group 2,Tairawhiti,2,20
2021-03-21,Group 2,Waikato,1,846
2021-03-21,Group 2,Waikato,2,24
2021-03-28,Group 1,Auckland Metro,1,2448
2021-03-28,Group 1,Auckland Metro,2,2598
2021-03-28,Group 1,Bay of Plenty,1,114
2021-03-28,Group 1,Bay of Plenty,2,99
2021-03-28,Group 1,Canterbury,1,420
2021-03-28,Group 1,Canterbury,2,679
2021-03-28,Group 1,Capital & Coast and Hutt Valley,1,306
2021-03-28,Group 1,Capital & Coast and Hutt Valley,2,155
2021-03-28,Group 1,Hawke's Bay,1,76
2021-03-28,Group 1,Hawke's Bay,2,164
2021-03-28,Group 1,Lakes,1,57
2021-03-28,Group 1,Lakes,2,172
2021-03-28,Group 1,MidCentral,1,12
2021-03-28,Group 1,Nelson Marlborough,1,54
2021-03-28,Group 1,Nelson Marlborough,2,250
2021-03-28,Group 1,Northland,1,97
2021-03-28,Group 1,Northland,2,148
2021-03-28,Group 1,Other Sites,2,254
2021-03-28,Group 1,South Canterbury,2,106
2021-03-28,Group 1,Southern,1,433
2021-03-28,Group 1,Southern,2,358
2021-03-28,Group 1,Tairawhiti,1,18
2021-03-28,Group 1,Tairawhiti,2,40
2021-03-28,Group 1,Taranaki,1,101
2021-03-28,Group 1,Taranaki,2,61
2021-03-28,Group 1,Waikato,1,142
2021-03-28,Group 1,Waikato,2,185
2021-03-28,Group 2,Auckland Metro,1,1011
2021-03-28,Group 2,Auckland Metro,2,1839
2021-03-28,Group 2,Bay of Plenty,1,82
2021-03-28,Group 2,Canterbury,1,62
2021-03-28,Group 2,Canterbury,2,37
2021-03-28,Group 2,Capital & Coast and Hutt Valley,1,1596
2021-03-28,Group 2,Capital & Coast and Hutt Valley,2,29
2021-03-28,Group 2,Hawke's Bay,1,315
2021-03-28,Group 2,Hawke's Bay,2,20
2021-03-28,Group 2,Lakes,1,108
2021-03-28,Group 2,Lakes,2,51
2021-03-28,Group 2,MidCentral,1,17
2021-03-28,Group 2,Nelson Marlborough,1,563
2021-03-28,Group 2,Nelson Marlborough,2,55
2021-03-28,Group 2,Northland,1,51
2021-03-28,Group 2,Other Sites,1,2753
2021-03-28,Group 2,Other Sites,2,11
2021-03-28,Group 2,South Canterbury,1,17
2021-03-28,Group 2,South Canterbury,2,108
2021-03-28,Group 2,Southern,1,178
2021-03-28,Group 2,Southern,2,51
2021-03-28,Group 2,Tairawhiti,1,37
2021-03-28,Group 2,Tairawhiti,2,149
2021-03-28,Group 2,Taranaki,1,207
2021-03-28,Group 2,Taranaki,2,14
2021-03-28,Group 2,Waikato,1,345
2021-03-28,Group 2,Waikato,2,452
2021-04-04,Group 1,Auckland Metro,1,1779
2021-04-04,Group 1,Auckland Metro,2,2291
2021-04-04,Group 1,Bay of Plenty,1,88
2021-04-04,Group 1,Bay of Plenty,2,113
2021-04-04,Group 1,Canterbury,1,631
2021-04-04,Group 1,Canterbury,2,679
2021-04-04,Group 1,Capital & Coast and Hutt Valley,1,372
2021-04-04,Group 1,Capital & Coast and Hutt Valley,2,80
2021-04-04,Group 1,Hawke's Bay,1,28
2021-04-04,Group 1,Hawke's Bay,2,105
2021-04-04,Group 1,Lakes,1,52
2021-04-04,Group 1,Lakes,2,105
2021-04-04,Group 1,MidCentral,1,79
2021-04-04,Group 1,Nelson Marlborough,1,42
2021-04-04,Group 1,Nelson Marlborough,2,195
2021-04-04,Group 1,Northland,1,99
2021-04-04,Group 1,Northland,2,125
2021-04-04,Group 1,Other Sites,2,120
2021-04-04,Group 1,South Canterbury,1,49
2021-04-04,Group 1,South Canterbury,2,5
2021-04-04,Group 1,Southern,1,45
2021-04-04,Group 1,Southern,2,15
2021-04-04,Group 1,Taranaki,1,21
2021-04-04,Group 1,Taranaki,2,66
2021-04-04,Group 1,Waikato,1,81
2021-04-04,Group 1,Waikato,2,188
2021-04-04,Group 2,Auckland Metro,1,7645
2021-04-04,Group 2,Auckland Metro,2,1182
2021-04-04,Group 2,Bay of Plenty,1,354
2021-04-04,Group 2,Bay of Plenty,2,21
2021-04-04,Group 2,Canterbury,1,54
2021-04-04,Group 2,Canterbury,2,19
2021-04-04,Group 2,Capital & Coast and Hutt Valley,1,3478
2021-04-04,Group 2,Capital & Coast and Hutt Valley,2,37
2021-04-04,Group 2,Hawke's Bay,1,64
2021-04-04,Group 2,Lakes,1,45
2021-04-04,Group 2,Lakes,2,38
2021-04-04,Group 2,MidCentral,1,11
2021-04-04,Group 2,Nelson Marlborough,1,1255
2021-04-04,Group 2,Nelson Marlborough,2,90
2021-04-04,Group 2,Northland,1,190
2021-04-04,Group 2,Northland,2,7
2021-04-04,Group 2,Other Sites,1,1210
2021-04-04,Group 2,Other Sites,2,70
2021-04-04,Group 2,South Canterbury,1,459
2021-04-04,Group 2,South Canterbury,2,12
2021-04-04,Group 2,Southern,1,2416
2021-04-04,Group 2,Taranaki,1,303
2021-04-04,Group 2,Taranaki,2,88
2021-04-04,Group 2,Waikato,1,864
2021-04-04,Group 2,Waikato,2,383
2021-04-04,Group 2,Whanganui,1,90
2021-04-04,Group 3,Capital & Coast and Hutt Valley,1,21
2021-04-04,Group 3,Nelson Marlborough,1,678
2021-04-04,Group 3,Southern,1,12
2021-04-11,Group 1,Auckland Metro,1,1691
2021-04-11,Group 1,Auckland Metro,2,3255
2021-04-11,Group 1,Bay of Plenty,1,79
2021-04-11,Group 1,Bay of Plenty,2,165
2021-04-11,Group 1,Canterbury,1,684
2021-04-11,Group 1,Canterbury,2,702
2021-04-11,Group 1,Capital & Coast and Hutt Valley,1,548
2021-04-11,Group 1,Capital & Coast and Hutt Valley,2,51
2021-04-11,Group 1,Hawke's Bay,1,22
2021-04-11,Group 1,Hawke's Bay,2,39
2021-04-11,Group 1,Lakes,1,102
2021-04-11,Group 1,Lakes,2,114
2021-04-11,Group 1,MidCentral,1,164
2021-04-11,Group 1,Nelson Marlborough,1,76
2021-04-11,Group 1,Nelson Marlborough,2,100
2021-04-11,Group 1,Northland,1,50
2021-04-11,Group 1,Northland,2,60
2021-04-11,Group 1,Other Sites,2,28
2021-04-11,Group 1,South Canterbury,1,59
2021-04-11,Group 1,South Canterbury,2,61
2021-04-11,Group 1,Southern,1,506
2021-04-11,Group 1,Southern,2,7
2021-04-11,Group 1,Taranaki,1,11
2021-04-11,Group 1,Taranaki,2,67
2021-04-11,Group 1,Waikato,1,68
2021-04-11,Group 1,Waikato,2,100
2021-04-11,Group 1,West Coast,1,10
2021-04-11,Group 2,Auckland Metro,1,9506
2021-04-11,Group 2,Auckland Metro,2,609
2021-04-11,Group 2,Bay of Plenty,1,579
2021-04-11,Group 2,Bay of Plenty,2,15
2021-04-11,Group 2,Canterbury,1,72
2021-04-11,Group 2,Canterbury,2,26
2021-04-11,Group 2,Capital & Coast and Hutt Valley,1,3619
2021-04-11,Group 2,Capital & Coast and Hutt Valley,2,195
2021-04-11,Group 2,Hawke's Bay,1,509
2021-04-11,Group 2,Hawke's Bay,2,25
2021-04-11,Group 2,Lakes,1,566
2021-04-11,Group 2,Lakes,2,49
2021-04-11,Group 2,MidCentral,1,13
2021-04-11,Group 2,Nelson Marlborough,1,906
2021-04-11,Group 2,Nelson Marlborough,2,672
2021-04-11,Group 2,Northland,1,1582
2021-04-11,Group 2,Northland,2,5
2021-04-11,Group 2,Other Sites,1,421
2021-04-11,Group 2,Other Sites,2,2108
2021-04-11,Group 2,South Canterbury,1,287
2021-04-11,Group 2,South Canterbury,2,140
