Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,265","25,793","18,507","10,818","3,683",>95%,94%,72%,34%
Ashburton District,5-11,"3,235","1,751",861,NA,NA,NA,NA,54%,27%,NA,NA
Auckland,12+,"1,468,419","1,363,670","1,346,930","1,271,019","906,204","403,534","151,065",93%,92%,71%,37%
Auckland,5-11,"161,323","92,302","53,692",NA,Masked,NA,NA,57%,33%,>95%,NA
Buller District,12+,"8,707","7,775","7,647","7,298","5,257","3,755","1,285",89%,88%,72%,34%
Buller District,5-11,740,326,179,NA,NA,NA,NA,44%,24%,NA,NA
Carterton District,12+,"8,651","8,154","8,022","7,599","5,688","3,868","1,578",94%,93%,75%,41%
Carterton District,5-11,832,430,218,NA,NA,NA,NA,52%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,710","11,076","7,926","4,979","1,679",>95%,94%,72%,34%
Central Hawke's Bay District,5-11,"1,456",658,286,NA,NA,NA,NA,45%,20%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,906","14,271","9,010","3,717",>95%,>95%,75%,41%
Central Otago District,5-11,"1,816","1,016",526,NA,NA,NA,NA,56%,29%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,301,226,137,23,>95%,>95%,75%,17%
Chatham Islands Territory,5-11,14,10,Masked,NA,NA,NA,NA,71%,36%,NA,NA
Christchurch City,12+,"343,918","326,411","323,069","307,258","230,400","111,078","44,911",95%,94%,75%,40%
Christchurch City,5-11,"31,208","18,286","10,740",NA,Masked,NA,NA,59%,34%,>95%,NA
Clutha District,12+,"15,517","14,176","13,976","13,245","9,069","5,647","1,794",91%,90%,68%,32%
Clutha District,5-11,"1,567",714,323,NA,NA,NA,NA,46%,21%,NA,NA
Dunedin City,12+,"114,950",Masked,Masked,"106,100","83,792","39,390","17,031",>95%,>95%,79%,43%
Dunedin City,5-11,"9,480","5,949","3,620",NA,NA,NA,NA,63%,38%,NA,NA
Far North District,12+,"59,649","50,793","49,259","46,571","30,414","20,782","6,681",85%,83%,65%,32%
Far North District,5-11,"7,197","1,952",787,NA,NA,NA,NA,27%,11%,NA,NA
Gisborne District,12+,"42,561","38,560","37,569","35,108","23,154","13,221","4,734",91%,88%,66%,36%
Gisborne District,5-11,"5,401","2,557","1,424",NA,NA,NA,NA,47%,26%,NA,NA
Gore District,12+,"11,003","9,985","9,843","9,319","6,491","4,123","1,254",91%,89%,70%,30%
Gore District,5-11,"1,073",346,194,NA,NA,NA,NA,32%,18%,NA,NA
Grey District,12+,"11,872","10,856","10,641","10,077","7,060","4,462","1,440",91%,90%,70%,32%
Grey District,5-11,"1,138",514,274,NA,NA,NA,NA,45%,24%,NA,NA
Hamilton City,12+,"147,441","137,421","135,176","127,470","85,398","37,125","14,035",93%,92%,67%,38%
Hamilton City,5-11,"17,497","8,610","4,343",NA,NA,NA,NA,49%,25%,NA,NA
Hastings District,12+,"74,221","70,451","69,141","65,025","44,684","24,747","8,248",95%,93%,69%,33%
Hastings District,5-11,"8,650","3,804","1,760",NA,NA,NA,NA,44%,20%,NA,NA
Hauraki District,12+,"18,063","15,880","15,534","14,781","10,004","6,931","2,368",88%,86%,68%,34%
Hauraki District,5-11,"1,779",599,275,NA,NA,NA,NA,34%,15%,NA,NA
Horowhenua District,12+,"30,027","27,747","27,215","25,788","18,315","12,463","5,322",92%,91%,71%,43%
Horowhenua District,5-11,"3,095","1,254",562,NA,NA,NA,NA,41%,18%,NA,NA
Hurunui District,12+,"11,490","10,541","10,367","9,839","7,060","4,446","1,521",92%,90%,72%,34%
Hurunui District,5-11,"1,158",543,291,NA,NA,NA,NA,47%,25%,NA,NA
Invercargill City,12+,"47,368","44,179","43,488","41,088","28,995","16,548","5,930",93%,92%,71%,36%
Invercargill City,5-11,"5,029","2,359","1,225",NA,NA,NA,NA,47%,24%,NA,NA
Kaikoura District,12+,"3,527","3,210","3,176","3,044","2,255","1,568",559,91%,90%,74%,36%
Kaikoura District,5-11,296,134,78,NA,NA,NA,NA,45%,26%,NA,NA
Kaipara District,12+,"21,487","18,179","17,702","16,966","11,154","7,686","2,280",85%,82%,66%,30%
Kaipara District,5-11,"2,339",664,283,NA,NA,NA,NA,28%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,818","45,303","42,979","33,840","22,162","10,706",94%,93%,79%,48%
Kapiti Coast District,5-11,"4,477","2,384","1,467",NA,NA,NA,NA,53%,33%,NA,NA
Kawerau District,12+,"6,360","5,493","5,279","4,975","2,973","2,048",752,86%,83%,60%,37%
Kawerau District,5-11,806,188,47,NA,NA,NA,NA,23%,6%,NA,NA
Lower Hutt City,12+,"94,100","88,337","87,178","82,297","61,543","29,390","12,160",94%,93%,75%,41%
Lower Hutt City,5-11,"10,256","6,124","3,716",NA,NA,NA,NA,60%,36%,NA,NA
Mackenzie District,12+,"4,339","3,887","3,834","3,655","2,592","1,494",486,90%,88%,71%,33%
Mackenzie District,5-11,379,169,74,NA,NA,NA,NA,45%,20%,NA,NA
Manawatu District,12+,"27,110","25,256","24,908","23,344","16,495","9,779","3,632",93%,92%,71%,37%
Manawatu District,5-11,"3,203","1,546",822,NA,NA,NA,NA,48%,26%,NA,NA
Marlborough District,12+,"44,461","41,302","40,751","38,826","28,772","17,909","7,464",93%,92%,74%,42%
Marlborough District,5-11,"4,100","2,043","1,079",NA,NA,NA,NA,50%,26%,NA,NA
Masterton District,12+,"23,589","22,041","21,628","20,505","14,385","9,200","3,503",93%,92%,70%,38%
Masterton District,5-11,"2,356","1,059",438,NA,NA,NA,NA,45%,19%,NA,NA
Matamata-Piako District,12+,"30,444","28,155","27,648","26,203","16,923","10,864","3,713",92%,91%,65%,34%
Matamata-Piako District,5-11,"3,427","1,252",503,NA,NA,NA,NA,37%,15%,NA,NA
Napier City,12+,"56,989","52,486","51,609","48,774","34,588","21,003","7,777",92%,91%,71%,37%
Napier City,5-11,"5,980","2,705","1,229",NA,NA,NA,NA,45%,21%,NA,NA
Nelson City,12+,"47,440","43,904","43,264","41,063","30,504","18,131","7,777",93%,91%,74%,43%
Nelson City,5-11,"4,405","2,453","1,224",NA,NA,NA,NA,56%,28%,NA,NA
New Plymouth District,12+,"71,868","66,495","65,479","61,671","42,522","25,176","8,680",93%,91%,69%,34%
New Plymouth District,5-11,"8,328","3,695","2,046",NA,NA,NA,NA,44%,25%,NA,NA
Opotiki District,12+,"7,637","6,755","6,478","6,138","3,868","2,602",849,88%,85%,63%,33%
Opotiki District,5-11,987,238,82,NA,NA,NA,NA,24%,8%,NA,NA
Otorohanga District,12+,"8,310","7,387","7,218","6,774","3,981","2,431",735,89%,87%,59%,30%
Otorohanga District,5-11,"1,097",304,126,NA,NA,NA,NA,28%,11%,NA,NA
Palmerston North City,12+,"74,774","70,541","69,672","65,641","48,030","23,016","10,003",94%,93%,73%,43%
Palmerston North City,5-11,"8,389","4,518","2,583",NA,NA,NA,NA,54%,31%,NA,NA
Porirua City,12+,"50,123","46,959","46,243","43,201","31,252","15,102","6,066",94%,92%,72%,40%
Porirua City,5-11,"6,610","3,630","1,901",NA,NA,NA,NA,55%,29%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,697","39,046","37,343","23,676","9,918","3,420",93%,92%,63%,34%
Queenstown-Lakes District,5-11,"3,481","1,954","1,082",NA,NA,NA,NA,56%,31%,NA,NA
Rangitikei District,12+,"13,122","11,861","11,657","11,060","7,781","4,856","1,703",90%,89%,70%,35%
Rangitikei District,5-11,"1,496",638,275,NA,NA,NA,NA,43%,18%,NA,NA
Rotorua District,12+,"61,354","55,472","54,237","50,875","33,565","18,725","6,984",90%,88%,66%,37%
Rotorua District,5-11,"7,635","3,028","1,372",NA,NA,NA,NA,40%,18%,NA,NA
Ruapehu District,12+,"10,400","8,905","8,623","8,165","5,203","3,280","1,087",86%,83%,64%,33%
Ruapehu District,5-11,"1,369",388,186,NA,NA,NA,NA,28%,14%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,574","40,863","19,901","6,901",>95%,>95%,75%,35%
Selwyn District,5-11,"7,241","4,753","2,879",NA,NA,NA,NA,66%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,331","19,140","12,367","7,525","2,222",>95%,93%,65%,30%
South Taranaki District,5-11,"2,758","1,053",528,NA,NA,NA,NA,38%,19%,NA,NA
South Waikato District,12+,"20,420","18,162","17,694","16,664","10,082","6,325","2,160",89%,87%,61%,34%
South Waikato District,5-11,"2,641",873,371,NA,NA,NA,NA,33%,14%,NA,NA
