SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"10,536","8,758","8,262","7,482","3,514","1,482",404,83%,78%,47%,27%
Unknown,Unknown,Unknown,Maori,5-11,"1,853",551,228,NA,NA,NA,NA,30%,12%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,608",Masked,Masked,"3,439","1,935",441,94,>95%,>95%,56%,21%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,363,163,60,NA,NA,NA,NA,45%,17%,NA,NA
100100,North Cape,Northland,Maori,12+,912,783,767,698,431,267,85,86%,84%,62%,32%
100100,North Cape,Northland,Maori,5-11,145,44,16,NA,NA,NA,NA,30%,11%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,057",892,858,795,405,241,37,84%,81%,51%,15%
100200,Rangaunu Harbour,Northland,Maori,5-11,192,34,14,NA,NA,NA,NA,18%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,546,452,438,412,221,148,31,83%,80%,54%,21%
100400,Karikari Peninsula,Northland,Maori,5-11,88,20,Masked,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,593,499,486,440,253,144,22,84%,82%,57%,15%
100500,Tangonge,Northland,Maori,5-11,100,20,Masked,NA,NA,NA,NA,20%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,600,488,473,442,266,165,20,81%,79%,60%,12%
100600,Ahipara,Northland,Maori,5-11,104,36,9,NA,NA,NA,NA,35%,9%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,323","1,130","1,064",963,449,214,44,85%,80%,47%,21%
100700,Kaitaia East,Northland,Maori,5-11,294,81,23,NA,NA,NA,NA,28%,8%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,58,52,51,48,24,7,NA,90%,88%,50%,0%
100800,Kaitaia West,Northland,Maori,12+,"1,923","1,582","1,492","1,340",629,335,56,82%,78%,47%,17%
100800,Kaitaia West,Northland,Maori,5-11,372,82,28,NA,NA,NA,NA,22%,8%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,106,97,94,86,46,22,Masked,92%,89%,53%,18%
100900,Rangitihi,Northland,Maori,12+,410,339,326,294,148,75,8,83%,80%,50%,11%
100900,Rangitihi,Northland,Maori,5-11,55,8,Masked,NA,NA,NA,NA,15%,5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,318,243,230,211,106,66,12,76%,72%,50%,18%
101000,Oruru-Parapara,Northland,Maori,5-11,64,14,6,NA,NA,NA,NA,22%,9%,NA,NA
101100,Taumarumaru,Northland,Maori,12+,587,493,469,434,244,150,36,84%,80%,56%,24%
101100,Taumarumaru,Northland,Maori,5-11,135,33,13,NA,NA,NA,NA,24%,10%,NA,NA
101100,Taumarumaru,Northland,Pacific Peoples,12+,41,35,34,30,14,12,Masked,85%,83%,47%,42%
101200,Herekino-Takahue,Northland,Maori,12+,451,355,334,306,155,102,18,79%,74%,51%,18%
101200,Herekino-Takahue,Northland,Maori,5-11,81,25,Masked,NA,NA,NA,NA,31%,<5%,NA,NA
101300,Peria,Northland,Maori,12+,356,257,247,229,108,61,9,72%,69%,47%,15%
101300,Peria,Northland,Maori,5-11,89,16,6,NA,NA,NA,NA,18%,7%,NA,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,324,242,229,206,109,73,18,75%,71%,53%,25%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,69,19,Masked,NA,NA,NA,NA,28%,6%,NA,NA
101500,Whakapaku,Northland,Maori,12+,269,206,195,181,102,67,24,77%,72%,56%,36%
101500,Whakapaku,Northland,Maori,5-11,60,18,Masked,NA,NA,NA,NA,30%,7%,NA,NA
101600,Hokianga North,Northland,Maori,12+,687,565,548,499,332,216,20,82%,80%,67%,9%
101600,Hokianga North,Northland,Maori,5-11,124,35,10,NA,NA,NA,NA,28%,8%,NA,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,377,287,282,262,163,114,32,76%,75%,62%,28%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,50,13,Masked,NA,NA,NA,NA,26%,6%,NA,NA
101800,Whakarara,Northland,Maori,12+,575,485,468,436,279,159,56,84%,81%,64%,35%
