SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"9,097",Masked,Masked,"12,018","6,097","5,005","1,413",>95%,>95%,51%,28%
Unknown,Unknown,Unknown,Maori,5-11,"1,679",807,324,NA,NA,NA,NA,48%,19%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,833",Masked,Masked,"4,825","2,745","2,116",360,>95%,>95%,57%,17%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,332,213,87,NA,NA,NA,NA,64%,26%,NA,NA
100100,North Cape,Northland,Maori,12+,914,763,748,698,435,385,121,83%,82%,62%,31%
100100,North Cape,Northland,Maori,5-11,137,45,18,NA,NA,NA,NA,33%,13%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,090",882,851,802,402,360,71,81%,78%,50%,20%
100200,Rangaunu Harbour,Northland,Maori,5-11,200,33,13,NA,NA,NA,NA,16%,6%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,577,459,445,423,236,216,53,80%,77%,56%,25%
100400,Karikari Peninsula,Northland,Maori,5-11,93,21,Masked,NA,NA,NA,NA,23%,5%,NA,NA
100500,Tangonge,Northland,Maori,12+,622,503,486,449,249,215,47,81%,78%,55%,22%
100500,Tangonge,Northland,Maori,5-11,98,22,Masked,NA,NA,NA,NA,22%,5%,NA,NA
100600,Ahipara,Northland,Maori,12+,591,459,442,422,241,217,29,78%,75%,57%,13%
100600,Ahipara,Northland,Maori,5-11,105,35,9,NA,NA,NA,NA,33%,9%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,328","1,076","1,011",938,449,393,71,81%,76%,48%,18%
100700,Kaitaia East,Northland,Maori,5-11,290,78,26,NA,NA,NA,NA,27%,9%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,56,49,48,45,26,23,Masked,88%,86%,58%,4%
100800,Kaitaia West,Northland,Maori,12+,"1,910","1,554","1,468","1,346",629,554,101,81%,77%,47%,18%
100800,Kaitaia West,Northland,Maori,5-11,346,85,33,NA,NA,NA,NA,25%,10%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,108,95,92,86,44,38,10,88%,85%,51%,26%
100900,Rangitihi,Northland,Maori,12+,414,334,321,298,144,119,19,81%,78%,48%,16%
100900,Rangitihi,Northland,Maori,5-11,61,8,Masked,NA,NA,NA,NA,13%,<5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,317,226,214,200,93,85,15,71%,68%,46%,18%
101000,Oruru-Parapara,Northland,Maori,5-11,59,13,Masked,NA,NA,NA,NA,22%,8%,NA,NA
101100,Taumarumaru,Northland,Maori,12+,618,508,485,450,255,237,65,82%,78%,57%,27%
101100,Taumarumaru,Northland,Maori,5-11,128,34,13,NA,NA,NA,NA,27%,10%,NA,NA
101200,Herekino-Takahue,Northland,Maori,12+,484,357,338,312,151,139,26,74%,70%,48%,19%
101200,Herekino-Takahue,Northland,Maori,5-11,78,24,Masked,NA,NA,NA,NA,31%,5%,NA,NA
