SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"10,876","9,035","8,526","7,701","3,610","1,372",365,83%,78%,47%,27%
Unknown,Unknown,Unknown,Maori,5-11,"1,924",580,242,NA,NA,NA,NA,30%,13%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,703",Masked,Masked,"3,485","1,946",395,88,>95%,>95%,56%,22%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,398,181,69,NA,NA,NA,NA,45%,17%,NA,NA
100100,North Cape,Northland,Maori,12+,913,783,767,698,427,243,75,86%,84%,61%,31%
100100,North Cape,Northland,Maori,5-11,145,44,16,NA,NA,NA,NA,30%,11%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,049",885,852,786,402,205,33,84%,81%,51%,16%
100200,Rangaunu Harbour,Northland,Maori,5-11,191,34,14,NA,NA,NA,NA,18%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,545,452,438,413,218,138,29,83%,80%,53%,21%
100400,Karikari Peninsula,Northland,Maori,5-11,88,20,Masked,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,597,503,490,444,253,132,15,84%,82%,57%,11%
100500,Tangonge,Northland,Maori,5-11,101,19,Masked,NA,NA,NA,NA,19%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,600,488,473,441,266,152,18,81%,79%,60%,12%
100600,Ahipara,Northland,Maori,5-11,102,35,9,NA,NA,NA,NA,34%,9%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,331","1,139","1,071",965,455,185,43,86%,80%,47%,23%
100700,Kaitaia East,Northland,Maori,5-11,296,83,23,NA,NA,NA,NA,28%,8%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,58,52,51,48,24,6,NA,90%,88%,50%,0%
100800,Kaitaia West,Northland,Maori,12+,"1,916","1,580","1,489","1,335",626,280,47,82%,78%,47%,17%
100800,Kaitaia West,Northland,Maori,5-11,373,81,28,NA,NA,NA,NA,22%,8%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,106,97,94,86,46,18,Masked,92%,89%,53%,22%
100900,Rangitihi,Northland,Maori,12+,407,338,325,292,145,62,6,83%,80%,50%,10%
100900,Rangitihi,Northland,Maori,5-11,55,8,Masked,NA,NA,NA,NA,15%,5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,318,243,230,213,106,57,12,76%,72%,50%,21%
101000,Oruru-Parapara,Northland,Maori,5-11,63,14,6,NA,NA,NA,NA,22%,10%,NA,NA
101100,Taumarumaru,Northland,Maori,12+,592,497,471,435,244,136,33,84%,80%,56%,24%
101100,Taumarumaru,Northland,Maori,5-11,138,34,13,NA,NA,NA,NA,25%,9%,NA,NA
101100,Taumarumaru,Northland,Pacific Peoples,12+,40,35,34,30,14,12,Masked,88%,85%,47%,25%
101200,Herekino-Takahue,Northland,Maori,12+,451,354,332,304,154,91,18,78%,74%,51%,20%
101200,Herekino-Takahue,Northland,Maori,5-11,81,25,Masked,NA,NA,NA,NA,31%,<5%,NA,NA
101300,Peria,Northland,Maori,12+,352,256,246,226,107,53,8,73%,70%,47%,15%
101300,Peria,Northland,Maori,5-11,89,16,6,NA,NA,NA,NA,18%,7%,NA,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,328,245,231,208,110,64,17,75%,70%,53%,27%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,68,19,Masked,NA,NA,NA,NA,28%,<5%,NA,NA
101500,Whakapaku,Northland,Maori,12+,268,207,196,182,102,64,23,77%,73%,56%,36%
101500,Whakapaku,Northland,Maori,5-11,61,18,Masked,NA,NA,NA,NA,30%,7%,NA,NA
101600,Hokianga North,Northland,Maori,12+,688,565,548,497,329,177,9,82%,80%,66%,5%
101600,Hokianga North,Northland,Maori,5-11,122,35,8,NA,NA,NA,NA,29%,7%,NA,NA
101700,Kohukohu-Broadwood,Northland,Maori,12+,377,290,285,265,165,106,25,77%,76%,62%,24%
101700,Kohukohu-Broadwood,Northland,Maori,5-11,50,12,Masked,NA,NA,NA,NA,24%,<5%,NA,NA
101800,Whakarara,Northland,Maori,12+,568,478,461,428,276,150,43,84%,81%,64%,29%
101800,Whakarara,Northland,Maori,5-11,67,33,19,NA,NA,NA,NA,49%,28%,NA,NA
101900,Kaeo,Northland,Maori,12+,476,372,353,329,188,97,29,78%,74%,57%,30%
101900,Kaeo,Northland,Maori,5-11,112,37,17,NA,NA,NA,NA,33%,15%,NA,NA
102000,Omahuta Forest-Horeke,Northland,Maori,12+,659,454,427,401,214,143,25,69%,65%,53%,17%
102000,Omahuta Forest-Horeke,Northland,Maori,5-11,124,14,9,NA,NA,NA,NA,11%,7%,NA,NA
102100,Hokianga South,Northland,Maori,12+,738,546,516,478,291,158,53,74%,70%,61%,34%
102100,Hokianga South,Northland,Maori,5-11,105,28,13,NA,NA,NA,NA,27%,12%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,Maori,12+,266,211,202,179,92,54,8,79%,76%,51%,15%
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,63,18,Masked,NA,NA,NA,NA,29%,<5%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,12+,57,53,51,50,32,6,Masked,93%,89%,64%,50%
102300,Okaihau,Northland,Maori,12+,320,263,250,228,109,62,12,82%,78%,48%,19%
102300,Okaihau,Northland,Maori,5-11,59,13,Masked,NA,NA,NA,NA,22%,7%,NA,NA
102400,Rangitane-Purerua,Northland,Maori,12+,374,315,296,268,150,93,23,84%,79%,56%,25%
102400,Rangitane-Purerua,Northland,Maori,5-11,62,13,Masked,NA,NA,NA,NA,21%,8%,NA,NA
102500,Waipapa,Northland,Maori,12+,137,112,106,97,49,24,12,82%,77%,51%,50%
102600,Puketotara,Northland,Maori,12+,247,206,200,177,97,46,9,83%,81%,55%,20%
102600,Puketotara,Northland,Maori,5-11,52,23,Masked,NA,NA,NA,NA,44%,<5%,NA,NA
102600,Puketotara,Northland,Pacific Peoples,12+,40,Masked,Masked,38,18,9,NA,>95%,>95%,47%,0%
102700,Waima Forest,Northland,Maori,12+,804,600,573,535,275,142,26,75%,71%,51%,18%
102700,Waima Forest,Northland,Maori,5-11,134,21,7,NA,NA,NA,NA,16%,5%,NA,NA
102800,Riverview,Northland,Maori,12+,247,219,212,189,109,54,12,89%,86%,58%,22%
102800,Riverview,Northland,Maori,5-11,51,22,Masked,NA,NA,NA,NA,43%,8%,NA,NA
102900,Waipoua Forest,Northland,Maori,12+,655,512,492,470,293,170,34,78%,75%,62%,20%
102900,Waipoua Forest,Northland,Maori,5-11,95,16,Masked,NA,NA,NA,NA,17%,5%,NA,NA
103000,Kerikeri Central,Northland,Maori,12+,471,404,387,357,170,65,13,86%,82%,48%,20%
103000,Kerikeri Central,Northland,Maori,5-11,101,28,9,NA,NA,NA,NA,28%,9%,NA,NA
103000,Kerikeri Central,Northland,Pacific Peoples,12+,95,Masked,Masked,91,26,7,Masked,>95%,>95%,29%,43%
103100,Kerikeri South,Northland,Maori,12+,256,205,196,184,108,52,18,80%,77%,59%,35%
103100,Kerikeri South,Northland,Maori,5-11,53,20,Masked,NA,NA,NA,NA,38%,9%,NA,NA
103200,Ohaeawai-Waimate North,Northland,Maori,12+,421,349,332,306,175,103,9,83%,79%,57%,9%
103200,Ohaeawai-Waimate North,Northland,Maori,5-11,74,13,7,NA,NA,NA,NA,18%,9%,NA,NA
103300,Puketona-Waitangi,Northland,Maori,12+,291,245,241,229,137,74,14,84%,83%,60%,19%
103300,Puketona-Waitangi,Northland,Maori,5-11,44,22,Masked,NA,NA,NA,NA,50%,7%,NA,NA
103400,Ngapuhi,Northland,Maori,12+,990,774,736,680,337,194,26,78%,74%,50%,13%
103400,Ngapuhi,Northland,Maori,5-11,168,33,7,NA,NA,NA,NA,20%,<5%,NA,NA
103500,Kaikohe,Northland,Maori,12+,"2,799","2,191","2,069","1,900",920,453,106,78%,74%,48%,23%
103500,Kaikohe,Northland,Maori,5-11,620,149,48,NA,NA,NA,NA,24%,8%,NA,NA
103500,Kaikohe,Northland,Pacific Peoples,12+,108,96,94,90,38,16,Masked,89%,87%,42%,31%
103600,Pakaraka,Northland,Maori,12+,154,133,128,119,62,29,Masked,86%,83%,52%,17%
103700,Haruru,Northland,Maori,12+,226,195,192,175,95,45,10,86%,85%,54%,22%
103700,Haruru,Northland,Maori,5-11,59,28,6,NA,NA,NA,NA,47%,10%,NA,NA
103800,Russell,Northland,Maori,12+,141,126,125,116,81,54,17,89%,89%,70%,31%
103900,Paihia,Northland,Maori,12+,516,420,403,376,183,102,28,81%,78%,49%,27%
103900,Paihia,Northland,Maori,5-11,74,16,Masked,NA,NA,NA,NA,22%,7%,NA,NA
104000,Mataraua Forest,Northland,Maori,12+,346,254,236,210,120,68,23,73%,68%,57%,34%
