Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,251","25,764","18,481","10,124","3,081",>95%,94%,72%,30%
Ashburton District,5-11,"3,235","1,757",855,NA,NA,NA,NA,54%,26%,NA,NA
Auckland,12+,"1,468,419","1,362,526","1,345,983","1,269,539","904,201","380,422","136,809",93%,92%,71%,36%
Auckland,5-11,"161,323","92,645","53,577",NA,Masked,NA,NA,57%,33%,>95%,NA
Buller District,12+,"8,707","7,771","7,642","7,295","5,251","3,494","1,121",89%,88%,72%,32%
Buller District,5-11,740,327,176,NA,NA,NA,NA,44%,24%,NA,NA
Carterton District,12+,"8,651","8,143","8,013","7,583","5,670","3,696","1,451",94%,93%,75%,39%
Carterton District,5-11,832,436,218,NA,NA,NA,NA,52%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,699","11,058","7,903","4,624","1,427",>95%,94%,71%,31%
Central Hawke's Bay District,5-11,"1,456",660,286,NA,NA,NA,NA,45%,20%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,854","14,235","8,724","3,423",>95%,>95%,76%,39%
Central Otago District,5-11,"1,816","1,017",527,NA,NA,NA,NA,56%,29%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,295,222,126,20,>95%,>95%,75%,16%
Chatham Islands Territory,5-11,14,10,Masked,NA,NA,NA,NA,71%,36%,NA,NA
Christchurch City,12+,"343,918","326,101","322,787","306,835","229,954","103,574","39,722",95%,94%,75%,38%
Christchurch City,5-11,"31,208","18,378","10,719",NA,Masked,NA,NA,59%,34%,>95%,NA
Clutha District,12+,"15,517","14,179","13,982","13,243","9,056","5,289","1,584",91%,90%,68%,30%
Clutha District,5-11,"1,567",717,317,NA,Masked,NA,NA,46%,20%,>95%,NA
Dunedin City,12+,"114,950",Masked,Masked,"106,038","83,732","38,003","15,428",>95%,>95%,79%,41%
Dunedin City,5-11,"9,480","5,987","3,631",NA,NA,NA,NA,63%,38%,NA,NA
Far North District,12+,"59,649","50,741","49,207","46,474","30,323","19,319","5,936",85%,82%,65%,31%
Far North District,5-11,"7,197","1,961",778,NA,NA,NA,NA,27%,11%,NA,NA
Gisborne District,12+,"42,561","38,536","37,560","35,084","23,097","12,425","4,287",91%,88%,66%,35%
Gisborne District,5-11,"5,401","2,564","1,395",NA,NA,NA,NA,47%,26%,NA,NA
Gore District,12+,"11,003","9,976","9,835","9,309","6,487","3,979","1,132",91%,89%,70%,28%
Gore District,5-11,"1,073",349,194,NA,NA,NA,NA,33%,18%,NA,NA
Grey District,12+,"11,872","10,851","10,637","10,065","7,046","4,197","1,272",91%,90%,70%,30%
Grey District,5-11,"1,138",514,276,NA,NA,NA,NA,45%,24%,NA,NA
Hamilton City,12+,"147,441","137,299","135,091","127,320","85,092","35,223","12,690",93%,92%,67%,36%
Hamilton City,5-11,"17,497","8,647","4,301",NA,NA,NA,NA,49%,25%,NA,NA
Hastings District,12+,"74,221","70,342","69,038","64,887","44,516","23,438","7,480",95%,93%,69%,32%
Hastings District,5-11,"8,650","3,830","1,760",NA,NA,NA,NA,44%,20%,NA,NA
Hauraki District,12+,"18,063","15,877","15,532","14,770","9,982","6,354","2,065",88%,86%,68%,32%
Hauraki District,5-11,"1,779",603,273,NA,NA,NA,NA,34%,15%,NA,NA
Horowhenua District,12+,"30,027","27,731","27,205","25,771","18,286","11,842","4,839",92%,91%,71%,41%
Horowhenua District,5-11,"3,095","1,270",562,NA,NA,NA,NA,41%,18%,NA,NA
Hurunui District,12+,"11,490","10,544","10,377","9,843","7,054","4,113","1,257",92%,90%,72%,31%
Hurunui District,5-11,"1,158",549,294,NA,NA,NA,NA,47%,25%,NA,NA
Invercargill City,12+,"47,368","44,126","43,446","41,017","28,942","15,752","5,313",93%,92%,71%,34%
Invercargill City,5-11,"5,029","2,371","1,224",NA,NA,NA,NA,47%,24%,NA,NA
Kaikoura District,12+,"3,527","3,199","3,165","3,032","2,248","1,525",502,91%,90%,74%,33%
Kaikoura District,5-11,296,134,77,NA,NA,NA,NA,45%,26%,NA,NA
Kaipara District,12+,"21,487","18,160","17,684","16,933","11,131","7,191","1,992",85%,82%,66%,28%
Kaipara District,5-11,"2,339",668,285,NA,NA,NA,NA,29%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,732","45,217","42,878","33,752","21,199","9,766",94%,93%,79%,46%
Kapiti Coast District,5-11,"4,477","2,382","1,459",NA,NA,NA,NA,53%,33%,NA,NA
Kawerau District,12+,"6,360","5,496","5,280","4,969","2,962","1,882",680,86%,83%,60%,36%
Kawerau District,5-11,806,190,45,NA,NA,NA,NA,24%,6%,NA,NA
Lower Hutt City,12+,"94,100","88,307","87,168","82,233","61,447","27,820","10,918",94%,93%,75%,39%
Lower Hutt City,5-11,"10,256","6,144","3,708",NA,NA,NA,NA,60%,36%,NA,NA
Mackenzie District,12+,"4,339","3,885","3,832","3,648","2,585","1,373",406,90%,88%,71%,30%
Mackenzie District,5-11,379,172,75,NA,NA,NA,NA,45%,20%,NA,NA
Manawatu District,12+,"27,110","25,228","24,887","23,309","16,454","9,247","2,657",93%,92%,71%,29%
Manawatu District,5-11,"3,203","1,557",817,NA,NA,NA,NA,49%,26%,NA,NA
Marlborough District,12+,"44,461","41,270","40,728","38,785","28,702","17,250","6,810",93%,92%,74%,39%
Marlborough District,5-11,"4,100","2,051","1,078",NA,NA,NA,NA,50%,26%,NA,NA
Masterton District,12+,"23,589","22,002","21,599","20,463","14,351","8,805","3,231",93%,92%,70%,37%
Masterton District,5-11,"2,356","1,058",436,NA,NA,NA,NA,45%,19%,NA,NA
Matamata-Piako District,12+,"30,444","28,146","27,647","26,176","16,888","10,110","3,145",92%,91%,65%,31%
Matamata-Piako District,5-11,"3,427","1,262",502,NA,NA,NA,NA,37%,15%,NA,NA
Napier City,12+,"56,989","52,465","51,591","48,735","34,544","19,974","7,048",92%,91%,71%,35%
Napier City,5-11,"5,980","2,718","1,225",NA,NA,NA,NA,45%,20%,NA,NA
Nelson City,12+,"47,440","43,872","43,237","41,002","30,446","17,504","7,087",92%,91%,74%,40%
Nelson City,5-11,"4,405","2,471","1,230",NA,NA,NA,NA,56%,28%,NA,NA
New Plymouth District,12+,"71,868","66,431","65,424","61,577","42,415","23,330","7,516",92%,91%,69%,32%
New Plymouth District,5-11,"8,328","3,716","2,040",NA,NA,NA,NA,45%,24%,NA,NA
Opotiki District,12+,"7,637","6,742","6,463","6,118","3,852","2,388",763,88%,85%,63%,32%
Opotiki District,5-11,987,241,81,NA,NA,NA,NA,24%,8%,NA,NA
Otorohanga District,12+,"8,310","7,378","7,215","6,769","3,974","2,257",630,89%,87%,59%,28%
Otorohanga District,5-11,"1,097",308,129,NA,NA,NA,NA,28%,12%,NA,NA
Palmerston North City,12+,"74,774","70,526","69,666","65,599","47,968","21,896","9,124",94%,93%,73%,42%
Palmerston North City,5-11,"8,389","4,546","2,584",NA,NA,NA,NA,54%,31%,NA,NA
Porirua City,12+,"50,123","46,939","46,240","43,173","31,193","14,192","5,436",94%,92%,72%,38%
Porirua City,5-11,"6,610","3,655","1,896",NA,NA,NA,NA,55%,29%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,587","38,938","37,224","23,589","9,539","3,133",93%,92%,63%,33%
Queenstown-Lakes District,5-11,"3,481","1,961","1,077",NA,NA,NA,NA,56%,31%,NA,NA
Rangitikei District,12+,"13,122","11,867","11,662","11,050","7,780","4,531","1,496",90%,89%,70%,33%
Rangitikei District,5-11,"1,496",637,279,NA,NA,NA,NA,43%,19%,NA,NA
Rotorua District,12+,"61,354","55,441","54,226","50,810","33,513","17,625","6,369",90%,88%,66%,36%
Rotorua District,5-11,"7,635","3,038","1,365",NA,NA,NA,NA,40%,18%,NA,NA
Ruapehu District,12+,"10,400","8,891","8,615","8,153","5,193","3,017",947,85%,83%,64%,31%
Ruapehu District,5-11,"1,369",391,185,NA,NA,NA,NA,29%,14%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,421","40,732","18,302","6,045",>95%,>95%,75%,33%
Selwyn District,5-11,"7,241","4,775","2,872",NA,NA,NA,NA,66%,40%,NA,NA
South Taranaki District,12+,"21,826","20,714","20,298","19,102","12,349","6,921","1,933",95%,93%,65%,28%
South Taranaki District,5-11,"2,758","1,061",526,NA,NA,NA,NA,38%,19%,NA,NA
South Waikato District,12+,"20,420","18,174","17,708","16,659","10,066","5,822","1,838",89%,87%,60%,32%
South Waikato District,5-11,"2,641",875,367,NA,NA,NA,NA,33%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,522","9,377","8,901","6,720","4,132","1,489",95%,93%,75%,36%
South Wairarapa District,5-11,975,525,264,NA,NA,NA,NA,54%,27%,NA,NA
Southland District,12+,"25,968","23,391","23,013","21,668","14,564","8,038","2,011",90%,89%,67%,25%
Southland District,5-11,"2,981","1,254",624,NA,NA,NA,NA,42%,21%,NA,NA
Stratford District,12+,"7,772","7,203","7,071","6,652","4,398","2,533",700,93%,91%,66%,28%
Stratford District,5-11,960,432,217,NA,NA,NA,NA,45%,23%,NA,NA
Tararua District,12+,"15,623","13,983","13,695","12,896","8,684","5,265","1,609",90%,88%,67%,31%
Tararua District,5-11,"1,887",719,331,NA,NA,NA,NA,38%,18%,NA,NA
Tasman District,12+,"49,220","44,859","44,107","41,884","29,980","18,847","7,264",91%,90%,72%,39%
Tasman District,5-11,"4,677","2,020","1,091",NA,NA,NA,NA,43%,23%,NA,NA
Taupo District,12+,"33,772","30,627","30,037","28,423","18,560","11,442","4,063",91%,89%,65%,36%
Taupo District,5-11,"3,743","1,350",622,NA,Masked,NA,NA,36%,17%,>95%,NA
Tauranga City,12+,"131,025","120,154","118,173","111,851","74,641","41,056","15,582",92%,90%,67%,38%
Tauranga City,5-11,"14,283","6,235","2,690",NA,NA,NA,NA,44%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,806","24,395","23,480","17,407","12,445","4,444",90%,89%,74%,36%
Thames-Coromandel District,5-11,"2,163",811,404,NA,NA,NA,NA,37%,19%,NA,NA
Timaru District,12+,"42,396","39,200","38,719","36,642","27,252","16,520","5,459",92%,91%,74%,33%
Timaru District,5-11,"4,148","2,113",985,NA,NA,NA,NA,51%,24%,NA,NA
Unknown,12+,"129,781","57,584","55,679","52,429","31,882","13,433","4,503",44%,43%,61%,34%
Unknown,5-11,"9,527","2,857","1,516",NA,NA,NA,NA,30%,16%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,384","34,272","25,889","12,672","4,988",>95%,95%,76%,39%
Upper Hutt City,5-11,"4,202","2,667","1,553",NA,NA,NA,NA,63%,37%,NA,NA
Waikato District,12+,"67,392","62,859","61,761","57,675","37,690","19,556","5,872",93%,92%,65%,30%
Waikato District,5-11,"8,729","4,034","1,867",NA,NA,NA,NA,46%,21%,NA,NA
Waimakariri District,12+,"55,522","52,343","51,778","49,012","35,747","21,031","7,200",94%,93%,73%,34%
Waimakariri District,5-11,"5,443","2,727","1,590",NA,NA,NA,NA,50%,29%,NA,NA
Waimate District,12+,"7,173","6,464","6,373","6,058","4,336","2,663",791,90%,89%,72%,30%
Waimate District,5-11,667,262,122,NA,NA,NA,NA,39%,18%,NA,NA
Waipa District,12+,"48,972","45,879","45,310","42,486","29,590","16,399","5,597",94%,93%,70%,34%
Waipa District,5-11,"5,522","2,746","1,452",NA,NA,NA,NA,50%,26%,NA,NA
Wairoa District,12+,"6,748","5,967","5,747","5,404","3,600","2,122",865,88%,85%,67%,41%
Wairoa District,5-11,876,260,79,NA,NA,NA,NA,30%,9%,NA,NA
Waitaki District,12+,"19,993","18,400","18,132","17,171","12,484","7,694","2,359",92%,91%,73%,31%
Waitaki District,5-11,"1,935",933,409,NA,NA,NA,NA,48%,21%,NA,NA
Waitomo District,12+,"8,061","7,209","7,003","6,446","3,977","2,364",481,89%,87%,62%,20%
Waitomo District,5-11,937,313,125,NA,NA,NA,NA,33%,13%,NA,NA
Wellington City,12+,"188,336",Masked,"178,846","170,001","139,288","50,354","21,842",>95%,95%,82%,43%
Wellington City,5-11,"15,438","11,365","8,240",NA,NA,NA,NA,74%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,194","43,371","41,202","27,121","16,887","5,781",89%,87%,66%,34%
Western Bay of Plenty District,5-11,"4,834","1,755",699,NA,NA,NA,NA,36%,14%,NA,NA
