Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,617","18,340",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,920",825,NA,NA,60%,26%,NA
Auckland,12+,"1,383,359",Masked,Masked,"1,265,352","889,580",>95%,>95%,70%
Auckland,5-11,"163,730","98,850","51,034",NA,Masked,60%,31%,>95%
Buller District,12+,"8,270","7,750","7,645","7,260","5,216",94%,92%,72%
Buller District,5-11,719,352,172,NA,NA,49%,24%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,521","5,559",>95%,>95%,74%
Carterton District,5-11,834,470,211,NA,NA,56%,25%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,963","7,783",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",715,284,NA,NA,48%,19%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,790","14,093",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,119",523,NA,NA,61%,29%,NA
Chatham Islands Territory,12+,180,Masked,Masked,284,216,>95%,>95%,76%
Chatham Islands Territory,5-11,10,9,Masked,NA,NA,90%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"305,667","226,960",>95%,>95%,74%
Christchurch City,5-11,"31,517","19,632","10,098",NA,NA,62%,32%,NA
Clutha District,12+,"14,979","14,199","14,045","13,242","9,030",95%,94%,68%
Clutha District,5-11,"1,658",774,306,NA,NA,47%,18%,NA
Dunedin City,12+,"110,451",Masked,Masked,"106,038","83,143",>95%,>95%,78%
Dunedin City,5-11,"9,730","6,467","3,634",NA,NA,66%,37%,NA
Far North District,12+,"56,393","50,710","49,308","46,213","29,903",90%,87%,65%
Far North District,5-11,"7,086","2,139",733,NA,NA,30%,10%,NA
Gisborne District,12+,"40,629","38,503","37,624","34,986","22,714",95%,93%,65%
Gisborne District,5-11,"5,498","2,752","1,255",NA,NA,50%,23%,NA
Gore District,12+,"10,754","9,972","9,854","9,291","6,470",93%,92%,70%
Gore District,5-11,"1,139",386,188,NA,NA,34%,17%,NA
Grey District,12+,"11,405","10,800","10,618","10,007","7,006",95%,93%,70%
Grey District,5-11,"1,238",571,293,NA,NA,46%,24%,NA
Hamilton City,12+,"137,508",Masked,Masked,"126,961","83,765",>95%,>95%,66%
