Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,276232,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,241237,Maori
Pfizer BioNTech COVID-19,2,917,European or other
Pfizer BioNTech COVID-19,Third primary,357,Unknown
AstraZeneca,Booster,95,Unknown
AstraZeneca,1,47,Unknown
Pfizer BioNTech COVID-19,1,521246,Maori
Paediatric Pfizer,1,60018,Asian
Pfizer BioNTech COVID-19,2,32473,Unknown
AstraZeneca,2,2704,European or other
AstraZeneca,2,240,Pacific Peoples
Paediatric Pfizer,2,654,Unknown
Novavax,Booster,36,Asian
Pfizer BioNTech COVID-19,Booster,434697,Asian
Pfizer BioNTech COVID-19,2,504367,Maori
Paediatric Pfizer,2,72731,European or other
Paediatric Pfizer,1,24119,Pacific Peoples
Novavax,1,1538,European or other
AstraZeneca,2,350,Maori
AstraZeneca,Booster,99,Maori
AstraZeneca,Booster,1295,European or other
Novavax,1,23,Unknown
Novavax,Third primary,26,European or other
Pfizer BioNTech COVID-19,2,39,Maori
Paediatric Pfizer,Booster,17,European or other
Pfizer BioNTech COVID-19,1,2559925,European or other
Paediatric Pfizer,1,136925,European or other
Pfizer BioNTech COVID-19,Booster,144729,Pacific Peoples
AstraZeneca,1,2576,European or other
Novavax,2,1325,European or other
AstraZeneca,1,365,Maori
Pfizer BioNTech COVID-19,2,6,Unknown
Novavax,2,19,Unknown
Novavax,Booster,5,Unknown
Pfizer BioNTech COVID-19,2,272309,Pacific Peoples
Novavax,1,163,Maori
AstraZeneca,2,231,Asian
Novavax,2,34,Pacific Peoples
AstraZeneca,1,107,Pacific Peoples
Pfizer BioNTech COVID-19,2,76,Asian
Paediatric Pfizer,Third primary,7,Maori
Pfizer BioNTech COVID-19,2,2536409,European or other
Paediatric Pfizer,2,15394,Maori
Paediatric Pfizer,2,33701,Asian
Pfizer BioNTech COVID-19,Booster,27127,Unknown
Pfizer BioNTech COVID-19,Third primary,2458,Maori
Pfizer BioNTech COVID-19,Third primary,2022,Asian
AstraZeneca,1,217,Asian
Paediatric Pfizer,Third primary,9,Asian
AstraZeneca,Booster,261,Asian
AstraZeneca,Third primary,5,Asian
Novavax,Third primary,6,Asian
Pfizer BioNTech COVID-19,2,628471,Asian
Pfizer BioNTech COVID-19,1,632095,Asian
Pfizer BioNTech COVID-19,Third primary,26732,European or other
Paediatric Pfizer,2,8416,Pacific Peoples
Novavax,1,357,Asian
Novavax,2,302,Asian
Paediatric Pfizer,Third primary,35,European or other
AstraZeneca,Booster,95,Pacific Peoples
AstraZeneca,2,91,Unknown
Novavax,1,47,Pacific Peoples
Pfizer BioNTech COVID-19,Booster,1825770,European or other
Paediatric Pfizer,1,41650,Maori
Pfizer BioNTech COVID-19,1,33320,Unknown
Pfizer BioNTech COVID-19,Third primary,1168,Pacific Peoples
Paediatric Pfizer,1,1153,Unknown
Novavax,Booster,247,European or other
Novavax,2,125,Maori
Novavax,Booster,15,Maori
AstraZeneca,Third primary,22,European or other
Pfizer BioNTech COVID-19,2,15,Pacific Peoples
